train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.05783582,0.03544776,0.07089552,0.8358209
100,1,0.099644125,0.053380784,0.049822062,0.797153
200,2,0.11386862,0.13576642,0.096350364,0.6540146
300,3,0.16136114,0.4917673,0.14270033,0.20417124
400,4,0.080314964,0.7055118,0.03464567,0.17952757
500,5,0.08635578,0.77374786,0.055267703,0.08462867
600,6,0.10666667,0.74666667,0.033333335,0.11333334
700,7,0.45220965,0.46043167,0.033915725,0.05344296
800,8,0.46185568,0.36597937,0.039175257,0.13298969
900,9,0.46715328,0.11887383,0.22940563,0.18456726
1000,10,0.43792766,0.13587488,0.038123168,0.38807428
1100,11,0.4516129,0.20866935,0.025201613,0.31451613
1200,12,0.39746094,0.1953125,0.033203125,0.37402344
1300,13,0.3864542,0.1434263,0.023904383,0.44621515
1400,14,0.46861926,0.031380754,0.031380754,0.46861926
1500,15,0.4647303,0.04253112,0.057053942,0.43568465
1600,16,0.47357294,0.023255814,0.029598309,0.47357294
1700,17,0.4623323,0.086687304,0.026831785,0.42414862
1800,18,0.46521288,0.07788162,0.019730011,0.43717548
