train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.035714287,0.022727273,0.064935066,0.72727275,0.029220778,0.0097402595,0.048701297,0.06168831
100,1,0.044303797,0.025316456,0.056962024,0.70886075,0.015822785,0.0664557,0.03797468,0.044303797
200,2,0.022653721,0.01618123,0.07119741,0.7249191,0.03883495,0.06472492,0.03236246,0.029126214
300,3,0.022435898,0.0064102565,0.08012821,0.71794873,0.028846154,0.041666668,0.060897436,0.041666668
400,4,0.04901961,0.006535948,0.0751634,0.73202616,0.019607844,0.05882353,0.022875817,0.035947714
500,5,0.022151899,0.006329114,0.0664557,0.70886075,0.028481012,0.11392405,0.025316456,0.028481012
600,6,0.024691358,0.012345679,0.074074075,0.69135803,0.012345679,0.09876543,0.037037037,0.049382716
700,7,0.041401275,0.0031847134,0.070063695,0.7133758,0.050955415,0.05732484,0.035031848,0.02866242
800,8,0.01775148,0.00591716,0.085798815,0.6627219,0.03846154,0.06213018,0.041420117,0.085798815
900,9,0.01618123,0.009708738,0.07119741,0.7249191,0.045307443,0.0776699,0.029126214,0.025889968
1000,10,0.025723472,0.0,0.057877813,0.7202572,0.03858521,0.09967846,0.03215434,0.025723472
1100,11,0.03257329,0.0032573289,0.078175895,0.7296417,0.029315962,0.07491857,0.009771987,0.042345278
1200,12,0.031347964,0.0,0.04075235,0.70219433,0.03448276,0.10971787,0.031347964,0.05015674
1300,13,0.03797468,0.012658228,0.03797468,0.70886075,0.012658228,0.16455697,0.025316456,0.0
1400,14,0.027522936,0.0,0.0795107,0.68501526,0.027522936,0.070336394,0.033639144,0.0764526
1500,15,0.031347964,0.0,0.06583072,0.70219433,0.03448276,0.11598746,0.021943573,0.028213166
1600,16,0.021604938,0.0030864198,0.07098766,0.69135803,0.037037037,0.09259259,0.021604938,0.061728396
1700,17,0.0127795525,0.0,0.08626198,0.71565497,0.038338657,0.08626198,0.015974442,0.044728436
1800,18,0.032786883,0.0,0.07213115,0.7344262,0.036065575,0.07540984,0.029508196,0.019672131
