layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.57482237
input_transformers.layers.0.ffn.gate,1,0.42517763
input_transformers.layers.1.ffn.gate,0,0.8154679
input_transformers.layers.1.ffn.gate,1,0.18453214
input_transformers.layers.2.ffn.gate,0,0.118942
input_transformers.layers.2.ffn.gate,1,0.88105804
input_transformers.layers.3.ffn.gate,0,0.8000452
input_transformers.layers.3.ffn.gate,1,0.19995485
input_transformers.layers.4.ffn.gate,0,0.45995632
input_transformers.layers.4.ffn.gate,1,0.54004365
input_transformers.layers.5.ffn.gate,0,0.087522894
input_transformers.layers.5.ffn.gate,1,0.9124772
input_transformers.layers.6.ffn.gate,0,0.048722778
input_transformers.layers.6.ffn.gate,1,0.9512772
input_transformers.layers.7.ffn.gate,0,0.8702422
input_transformers.layers.7.ffn.gate,1,0.12975784
input_transformers.layers.8.ffn.gate,0,0.89468455
input_transformers.layers.8.ffn.gate,1,0.10531541
input_transformers.layers.9.ffn.gate,0,0.928521
input_transformers.layers.9.ffn.gate,1,0.071478985
input_transformers.layers.10.ffn.gate,0,0.49163833
input_transformers.layers.10.ffn.gate,1,0.50836164
input_transformers.layers.11.ffn.gate,0,0.05630173
input_transformers.layers.11.ffn.gate,1,0.9436983
