train_step,log_step_index,expert_0,expert_1
0,0,0.0,1.0
100,1,0.89869606,0.10130391
200,2,0.105788425,0.8942116
300,3,0.6328125,0.3671875
400,4,0.3251953,0.6748047
500,5,0.25,0.75
600,6,0.24609375,0.75390625
700,7,0.12328767,0.8767123
800,8,0.125,0.875
900,9,0.05485232,0.9451477
1000,10,0.0753354,0.9246646
1100,11,0.09677419,0.9032258
1200,12,0.04883227,0.9511677
1300,13,0.05485232,0.9451477
1400,14,0.08571429,0.9142857
1500,15,0.06569343,0.93430656
1600,16,0.1031031,0.8968969
1700,17,0.07053942,0.9294606
1800,18,0.06374086,0.93625915
