train_step,log_step_index,expert_0,expert_1
0,0,0.44886976,0.55113024
100,1,0.17152104,0.828479
200,2,0.1365936,0.8634064
300,3,0.13804714,0.86195284
400,4,0.1409396,0.8590604
500,5,0.1592775,0.8407225
600,6,0.1633987,0.8366013
700,7,0.17817014,0.82182986
800,8,0.18471338,0.81528664
900,9,0.19749217,0.8025078
1000,10,0.1409396,0.8590604
1100,11,0.16476347,0.83523655
1200,12,0.18600954,0.8139905
1300,13,0.16883117,0.83116883
1400,14,0.20124805,0.79875195
1500,15,0.19242902,0.807571
1600,16,0.18210863,0.81789136
1700,17,0.19370079,0.8062992
1800,18,0.2,0.8
