train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.1253406,0.0027247956,0.8719346,0.0
100,1,0.11835749,0.062801935,0.77294683,0.04589372
200,2,0.15023474,0.061032865,0.75117373,0.037558686
300,3,0.0920398,0.0721393,0.7960199,0.039800994
400,4,0.07360406,0.0786802,0.8121827,0.035532996
500,5,0.09045226,0.07788945,0.8040201,0.027638191
600,6,0.07920792,0.0990099,0.7920792,0.02970297
700,7,0.101265825,0.053164557,0.8101266,0.035443038
800,8,0.104218364,0.074441686,0.7940447,0.027295286
900,9,0.06994819,0.059585493,0.82901555,0.041450776
1000,10,0.072164945,0.074742265,0.82474226,0.028350515
1100,11,0.08051948,0.051948052,0.83116883,0.036363635
1200,12,0.0964467,0.055837564,0.8121827,0.035532996
1300,13,0.05263158,0.06315789,0.84210527,0.042105265
1400,14,0.07751938,0.062015504,0.82687336,0.033591732
1500,15,0.066313,0.0530504,0.8488064,0.03183024
1600,16,0.061827958,0.04032258,0.86021507,0.03763441
1700,17,0.071240105,0.047493402,0.84432715,0.036939315
1800,18,0.07532468,0.064935066,0.83116883,0.028571429
