step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,10.302685499191284,-13.989372,
2,10.990834712982178,-14.113556,
3,11.625116348266602,-13.179438,
4,12.258673191070557,-11.639125,
5,12.894906759262085,-9.61618,
6,13.533859491348267,-6.653989,
7,14.012044906616211,-3.6600952,
8,15.371593952178955,-1.4618683,
9,16.00686264038086,-1.1328022,
10,16.645264387130737,-1.35595,
11,17.28589677810669,-1.7339232,
12,17.925710678100586,-1.9677495,
13,18.556060314178467,-2.4156637,
14,18.95191478729248,-2.3994055,
15,20.389357089996338,-2.638579,
16,20.998602151870728,-2.9562235,
17,21.610384464263916,-3.0306156,
18,22.220711946487427,-3.3808022,
19,22.831653118133545,-3.3763814,
20,23.442296028137207,-3.7499495,
21,23.821202993392944,-3.3760204,
22,25.203996181488037,-3.5247545,
23,25.80078363418579,-3.7747586,
24,26.396280765533447,-3.7419024,
25,26.994452238082886,-4.0788107,
26,27.586795330047607,-4.0281534,
27,28.17540216445923,-4.432618,
28,28.543686151504517,-3.9710464,
29,29.845438718795776,-4.122433,
30,30.43123173713684,-4.394172,
31,31.01496195793152,-4.334337,
32,31.597886085510254,-4.689024,
33,32.17802166938782,-4.5952773,
34,32.759345293045044,-5.0167723,
35,33.12229871749878,-4.4645934,
36,34.46711730957031,-4.604966,
37,35.04685354232788,-4.8787146,
38,35.62719011306763,-4.775836,
39,36.20482659339905,-5.13351,
40,36.78408718109131,-4.9874153,
41,37.36335062980652,-5.3947096,
42,37.72320365905762,-4.7451744,
43,39.14717888832092,-4.854807,
44,39.72054839134216,-5.0823326,
45,40.29373550415039,-4.931963,
46,40.863935470581055,-5.239622,
47,41.43365168571472,-5.0342717,
48,41.999276638031006,-5.3943505,
49,42.35677671432495,-4.6806664,
50,43.79689145088196,-4.7547245,
51,44.35929799079895,-4.9375286,
52,44.92306137084961,-4.762024,
53,45.48489427566528,-5.041398,
54,46.04356622695923,-4.823617,
55,46.606552600860596,-5.160795,
56,46.95815706253052,-4.4741144,
57,48.27114391326904,-4.54789,
58,48.834295988082886,-4.75138,
59,49.396172523498535,-4.6040015,
60,49.96214294433594,-4.908591,
61,50.5206778049469,-4.719165,
62,51.07851195335388,-5.0608983,
63,51.42977595329285,-4.399336,
64,52.84175753593445,-4.4771566,
65,53.40340447425842,-4.6949034,
66,53.965484857559204,-4.5327682,
67,54.529746294021606,-4.832427,
68,55.09547305107117,-4.6690307,
69,55.65793037414551,-4.9876394,
70,56.010908126831055,-4.3664703,
71,57.446940660476685,-4.426588,
72,58.007447957992554,-4.646263,
73,58.57416343688965,-4.44934,
74,59.13380265235901,-4.695223,
75,59.69281077384949,-4.445219,
76,60.25436019897461,-4.582718,
77,60.60752582550049,-3.951044,
78,61.998680114746094,-3.852006,
79,62.5634241104126,-4.156356,
80,63.127442359924316,-4.312158,
81,63.69088888168335,-5.04456,
82,64.25717496871948,-5.1803613,
83,64.8219141960144,-5.5079255,
84,65.17665386199951,-4.684621,
85,66.46290230751038,-4.705776,
86,67.02247166633606,-4.846887,
87,67.58690810203552,-4.6780977,
88,68.15289640426636,-4.972519,
89,68.71567249298096,-4.795953,
90,69.28161215782166,-5.1657825,
91,69.63540863990784,-4.517831,
92,71.0035011768341,-4.6127267,
93,71.57059693336487,-4.8317537,
94,72.13855075836182,-4.6856,
95,72.70824408531189,-4.98728,
96,73.27796149253845,-4.8001266,
97,73.84602236747742,-5.151566,
98,74.2018370628357,-4.504552,
99,75.56503176689148,-4.5970716,
100,76.64317393302917,-4.824003,
101,77.21488857269287,-4.6973686,
102,77.79115843772888,-5.018443,
103,78.36368656158447,-4.844582,
104,78.93557620048523,-5.213911,
105,79.29476547241211,-4.5564,
106,80.7218804359436,-4.651824,
107,81.29335808753967,-4.868894,
108,81.86632895469666,-4.7237606,
109,82.43823885917664,-5.025322,
110,83.00892543792725,-4.8305864,
111,83.58271551132202,-5.1826262,
112,83.9433240890503,-4.516464,
113,85.28776049613953,-4.6075315,
114,85.85652446746826,-4.8258057,
115,86.42294120788574,-4.688114,
116,86.99101567268372,-4.9950323,
117,87.55717515945435,-4.807708,
118,88.12149715423584,-5.1637287,
119,88.479651927948,-4.4994764,
120,89.8471827507019,-4.5973873,
121,90.41481137275696,-4.8198576,
122,90.98390364646912,-4.6855726,
123,91.5501275062561,-4.9974375,
124,92.1174488067627,-4.8150787,
125,92.6853575706482,-5.1757,
126,93.0425477027893,-4.5073524,
127,94.41282963752747,-4.609213,
128,94.98203229904175,-4.82999,
129,95.55022525787354,-4.6901703,
130,96.11825656890869,-4.995119,
131,96.68810677528381,-4.8035827,
