layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.25140336
input_transformers.layers.0.ffn.gate,1,0.23120311
input_transformers.layers.0.ffn.gate,2,0.18275361
input_transformers.layers.0.ffn.gate,3,0.33463994
input_transformers.layers.1.ffn.gate,0,0.2928785
input_transformers.layers.1.ffn.gate,1,0.12242534
input_transformers.layers.1.ffn.gate,2,0.29188213
input_transformers.layers.1.ffn.gate,3,0.29281405
input_transformers.layers.2.ffn.gate,0,0.29601648
input_transformers.layers.2.ffn.gate,1,0.23041986
input_transformers.layers.2.ffn.gate,2,0.23254684
input_transformers.layers.2.ffn.gate,3,0.24101683
input_transformers.layers.3.ffn.gate,0,0.527419
input_transformers.layers.3.ffn.gate,1,0.042574443
input_transformers.layers.3.ffn.gate,2,0.2907008
input_transformers.layers.3.ffn.gate,3,0.13930583
input_transformers.layers.4.ffn.gate,0,0.21055463
input_transformers.layers.4.ffn.gate,1,0.08684989
input_transformers.layers.4.ffn.gate,2,0.5097491
input_transformers.layers.4.ffn.gate,3,0.19284633
input_transformers.layers.5.ffn.gate,0,0.093970224
input_transformers.layers.5.ffn.gate,1,0.07877826
input_transformers.layers.5.ffn.gate,2,0.7669113
input_transformers.layers.5.ffn.gate,3,0.060340192
input_transformers.layers.6.ffn.gate,0,0.38223937
input_transformers.layers.6.ffn.gate,1,0.08053367
input_transformers.layers.6.ffn.gate,2,0.18200603
input_transformers.layers.6.ffn.gate,3,0.35522088
input_transformers.layers.7.ffn.gate,0,0.0753784
input_transformers.layers.7.ffn.gate,1,0.04139204
input_transformers.layers.7.ffn.gate,2,0.46483627
input_transformers.layers.7.ffn.gate,3,0.41839334
input_transformers.layers.8.ffn.gate,0,0.050230455
input_transformers.layers.8.ffn.gate,1,0.73673207
input_transformers.layers.8.ffn.gate,2,0.15315229
input_transformers.layers.8.ffn.gate,3,0.05988517
input_transformers.layers.9.ffn.gate,0,0.03570748
input_transformers.layers.9.ffn.gate,1,0.08781185
input_transformers.layers.9.ffn.gate,2,0.79485273
input_transformers.layers.9.ffn.gate,3,0.08162798
input_transformers.layers.10.ffn.gate,0,0.09129658
input_transformers.layers.10.ffn.gate,1,0.07390182
input_transformers.layers.10.ffn.gate,2,0.71986467
input_transformers.layers.10.ffn.gate,3,0.114936955
input_transformers.layers.11.ffn.gate,0,0.6893443
input_transformers.layers.11.ffn.gate,1,0.06884888
input_transformers.layers.11.ffn.gate,2,0.20139778
input_transformers.layers.11.ffn.gate,3,0.040409103
