train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.0,1.0,0.0,0.0
100,1,0.048295453,0.72727275,0.21022727,0.014204546
200,2,0.025114154,0.58447486,0.12785389,0.2625571
300,3,0.050724637,0.6183575,0.14492753,0.18599033
400,4,0.03206997,0.7463557,0.19241983,0.029154519
500,5,0.048710603,0.7335244,0.18911175,0.028653296
600,6,0.057471264,0.7356322,0.20689656,0.0
700,7,0.053475935,0.684492,0.1631016,0.09893048
800,8,0.06005222,0.6684073,0.14882506,0.122715406
900,9,0.03125,0.72727275,0.18181819,0.05965909
1000,10,0.04956268,0.7463557,0.14868805,0.055393588
1100,11,0.07317073,0.7804878,0.12804878,0.018292682
1200,12,0.078947365,0.748538,0.15789473,0.014619883
1300,13,0.071428575,0.7619048,0.13095239,0.035714287
1400,14,0.05202312,0.7398844,0.15895954,0.049132947
1500,15,0.064896755,0.75516224,0.16224189,0.017699115
1600,16,0.040935673,0.748538,0.16666667,0.04385965
1700,17,0.06267806,0.7293447,0.14245014,0.06552707
1800,18,0.05357143,0.7619048,0.14880952,0.035714287
