train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.045783132,0.0,0.0,0.53975904,0.0,0.0024096386,0.0,0.4120482
100,1,0.036923077,0.02153846,0.06769231,0.68923074,0.03076923,0.04307692,0.046153847,0.064615384
200,2,0.024922118,0.028037382,0.040498443,0.6978193,0.046728972,0.021806853,0.06542056,0.07476635
300,3,0.047923323,0.0127795525,0.060702875,0.71565497,0.044728436,0.015974442,0.0543131,0.047923323
400,4,0.021875,0.01875,0.053125,0.7,0.03125,0.03125,0.0625,0.08125
500,5,0.027355623,0.012158055,0.06382979,0.68085104,0.039513677,0.06382979,0.03343465,0.079027355
600,6,0.023529412,0.0,0.07058824,0.65882355,0.047058824,0.05882353,0.05882353,0.08235294
700,7,0.037037037,0.009259259,0.058641974,0.69135803,0.040123455,0.046296295,0.06481481,0.052469134
800,8,0.048929665,0.018348623,0.0764526,0.68501526,0.03975535,0.033639144,0.048929665,0.048929665
900,9,0.021472393,0.015337423,0.064417176,0.68711656,0.042944785,0.027607363,0.064417176,0.07668712
1000,10,0.041666668,0.011904762,0.05357143,0.6666667,0.038690478,0.023809524,0.05654762,0.10714286
1100,11,0.028846154,0.009615385,0.07692308,0.71794873,0.044871796,0.028846154,0.041666668,0.051282052
1200,12,0.012121212,0.012121212,0.06666667,0.6787879,0.054545455,0.027272727,0.07575758,0.07272727
1300,13,0.0625,0.0125,0.0625,0.7,0.05,0.0625,0.025,0.025
1400,14,0.034375,0.009375,0.096875,0.7,0.040625,0.034375,0.05625,0.028125
1500,15,0.0375,0.009375,0.075,0.7,0.053125,0.0625,0.034375,0.028125
1600,16,0.023738872,0.014836796,0.09495549,0.6646884,0.044510387,0.041543026,0.038575668,0.077151336
1700,17,0.034375,0.003125,0.078125,0.7,0.040625,0.05,0.040625,0.053125
1800,18,0.02208202,0.0031545742,0.07255521,0.7066246,0.041009463,0.041009463,0.05362776,0.059936907
