train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.24521072,0.09770115,0.12068965,0.15134099,0.021072797,0.07662835,0.24521072,0.042145595
100,1,0.11005693,0.026565464,0.0455408,0.24288425,0.06831119,0.020872865,0.24288425,0.24288425
200,2,0.09139785,0.048387095,0.0609319,0.22939068,0.08064516,0.03046595,0.22939068,0.22939068
300,3,0.055702917,0.010610079,0.00795756,0.1591512,0.050397877,0.037135277,0.33952254,0.33952254
400,4,0.033653848,0.016826924,0.012019231,0.24759616,0.03846154,0.036057692,0.30769232,0.30769232
500,5,0.056034483,0.019396551,0.01724138,0.22844827,0.0625,0.06465517,0.27586207,0.27586207
600,6,0.09090909,0.0,0.01010101,0.11111111,0.11111111,0.030303031,0.32323232,0.32323232
700,7,0.05859375,0.017578125,0.052734375,0.25,0.0625,0.05859375,0.25,0.25
800,8,0.077617325,0.03068592,0.045126352,0.23104693,0.11732852,0.036101084,0.23104693,0.23104693
900,9,0.047227927,0.016427105,0.057494868,0.26283368,0.030800821,0.059548255,0.26283368,0.26283368
1000,10,0.03966597,0.018789144,0.02296451,0.2672234,0.035490606,0.081419624,0.2672234,0.2672234
1100,11,0.053078555,0.014861995,0.031847134,0.27176222,0.027600849,0.05732484,0.27176222,0.27176222
1200,12,0.061601643,0.01026694,0.04312115,0.26283368,0.04312115,0.05338809,0.26283368,0.26283368
1300,13,0.08045977,0.0,0.0,0.09195402,0.03448276,0.057471264,0.3678161,0.3678161
1400,14,0.03409091,0.018181818,0.022727273,0.23863636,0.029545454,0.075,0.29090908,0.29090908
1500,15,0.05699482,0.0025906735,0.010362694,0.16062176,0.025906736,0.08031088,0.3316062,0.3316062
1600,16,0.04347826,0.018306635,0.0389016,0.1853547,0.016018307,0.112128146,0.29290617,0.29290617
1700,17,0.041493777,0.0186722,0.0373444,0.26556018,0.022821577,0.082987554,0.26556018,0.26556018
1800,18,0.023109244,0.016806724,0.018907564,0.26890758,0.027310925,0.10714286,0.26890758,0.26890758
