train_step,log_step_index,expert_0,expert_1
0,0,0.0,1.0
100,1,0.12806539,0.8719346
200,2,0.12328767,0.8767123
300,3,0.0,1.0
400,4,0.049034175,0.9509658
500,5,0.072463766,0.92753625
600,6,0.053254437,0.9467456
700,7,0.0461997,0.9538003
800,8,0.04191617,0.9580838
900,9,0.04191617,0.9580838
1000,10,0.043348283,0.95665175
1100,11,0.031770047,0.96822995
1200,12,0.0346908,0.9653092
1300,13,0.04761905,0.95238096
1400,14,0.043348283,0.95665175
1500,15,0.05465288,0.94534713
1600,16,0.04047976,0.9595202
1700,17,0.031770047,0.96822995
1800,18,0.04191617,0.9580838
