layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.2203002
input_transformers.layers.0.ffn.gate,1,0.2132603
input_transformers.layers.0.ffn.gate,2,0.14519934
input_transformers.layers.0.ffn.gate,3,0.42124015
input_transformers.layers.1.ffn.gate,0,0.3484272
input_transformers.layers.1.ffn.gate,1,0.13630757
input_transformers.layers.1.ffn.gate,2,0.18965872
input_transformers.layers.1.ffn.gate,3,0.3256065
input_transformers.layers.2.ffn.gate,0,0.3620503
input_transformers.layers.2.ffn.gate,1,0.19602679
input_transformers.layers.2.ffn.gate,2,0.2002981
input_transformers.layers.2.ffn.gate,3,0.2416248
input_transformers.layers.3.ffn.gate,0,0.7084296
input_transformers.layers.3.ffn.gate,1,0.023552313
input_transformers.layers.3.ffn.gate,2,0.17715299
input_transformers.layers.3.ffn.gate,3,0.09086516
input_transformers.layers.4.ffn.gate,0,0.16964288
input_transformers.layers.4.ffn.gate,1,0.06292453
input_transformers.layers.4.ffn.gate,2,0.66114616
input_transformers.layers.4.ffn.gate,3,0.10628643
input_transformers.layers.5.ffn.gate,0,0.054074306
input_transformers.layers.5.ffn.gate,1,0.043766707
input_transformers.layers.5.ffn.gate,2,0.8673753
input_transformers.layers.5.ffn.gate,3,0.034783617
input_transformers.layers.6.ffn.gate,0,0.675332
input_transformers.layers.6.ffn.gate,1,0.09986799
input_transformers.layers.6.ffn.gate,2,0.06289981
input_transformers.layers.6.ffn.gate,3,0.16190033
input_transformers.layers.7.ffn.gate,0,0.32189915
input_transformers.layers.7.ffn.gate,1,0.028851803
input_transformers.layers.7.ffn.gate,2,0.082829386
input_transformers.layers.7.ffn.gate,3,0.5664197
input_transformers.layers.8.ffn.gate,0,0.053801388
input_transformers.layers.8.ffn.gate,1,0.8476995
input_transformers.layers.8.ffn.gate,2,0.07309972
input_transformers.layers.8.ffn.gate,3,0.02539942
input_transformers.layers.9.ffn.gate,0,0.020008052
input_transformers.layers.9.ffn.gate,1,0.06127434
input_transformers.layers.9.ffn.gate,2,0.862907
input_transformers.layers.9.ffn.gate,3,0.05581057
input_transformers.layers.10.ffn.gate,0,0.0819713
input_transformers.layers.10.ffn.gate,1,0.0517205
input_transformers.layers.10.ffn.gate,2,0.7817851
input_transformers.layers.10.ffn.gate,3,0.08452318
input_transformers.layers.11.ffn.gate,0,0.7845461
input_transformers.layers.11.ffn.gate,1,0.033438694
input_transformers.layers.11.ffn.gate,2,0.14901896
input_transformers.layers.11.ffn.gate,3,0.03299625
