train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.0022271716,0.9977728,0.0,0.0
100,1,0.6540146,0.018978102,0.14160584,0.18540145
200,2,0.56352204,0.071698114,0.08301887,0.28176102
300,3,0.7887324,0.03521127,0.049295776,0.12676056
400,4,0.83738315,0.057943925,0.029906543,0.07476635
500,5,0.8101266,0.045207955,0.07052441,0.07414105
600,6,0.7671233,0.04109589,0.05479452,0.1369863
700,7,0.7516779,0.07550336,0.04865772,0.12416107
800,8,0.730832,0.057096247,0.07340946,0.13866232
900,9,0.7887324,0.075704224,0.07394366,0.061619718
1000,10,0.64833575,0.03617945,0.033285093,0.2821997
1100,11,0.5430303,0.042424243,0.021818181,0.3927273
1200,12,0.7225807,0.06451613,0.04032258,0.17258064
1300,13,0.7724138,0.027586207,0.055172414,0.14482759
1400,14,0.6436782,0.04454023,0.07183908,0.23994254
1500,15,0.738056,0.036243822,0.1169687,0.10873146
1600,16,0.738056,0.056013178,0.11861614,0.087314665
1700,17,0.698908,0.06864274,0.06396256,0.16848674
1800,18,0.6318759,0.045133993,0.047954865,0.27503526
