layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.24047005
input_transformers.layers.0.ffn.gate,1,0.23079315
input_transformers.layers.0.ffn.gate,2,0.1683048
input_transformers.layers.0.ffn.gate,3,0.36043197
input_transformers.layers.1.ffn.gate,0,0.30594134
input_transformers.layers.1.ffn.gate,1,0.13573045
input_transformers.layers.1.ffn.gate,2,0.24921916
input_transformers.layers.1.ffn.gate,3,0.30910897
input_transformers.layers.2.ffn.gate,0,0.32299113
input_transformers.layers.2.ffn.gate,1,0.22427705
input_transformers.layers.2.ffn.gate,2,0.11716638
input_transformers.layers.2.ffn.gate,3,0.33556548
input_transformers.layers.3.ffn.gate,0,0.6594112
input_transformers.layers.3.ffn.gate,1,0.023712322
input_transformers.layers.3.ffn.gate,2,0.24327584
input_transformers.layers.3.ffn.gate,3,0.07360068
input_transformers.layers.4.ffn.gate,0,0.15817691
input_transformers.layers.4.ffn.gate,1,0.08750609
input_transformers.layers.4.ffn.gate,2,0.6662039
input_transformers.layers.4.ffn.gate,3,0.08811313
input_transformers.layers.5.ffn.gate,0,0.08729774
input_transformers.layers.5.ffn.gate,1,0.060788054
input_transformers.layers.5.ffn.gate,2,0.81869125
input_transformers.layers.5.ffn.gate,3,0.03322296
input_transformers.layers.6.ffn.gate,0,0.40777838
input_transformers.layers.6.ffn.gate,1,0.17504895
input_transformers.layers.6.ffn.gate,2,0.12797838
input_transformers.layers.6.ffn.gate,3,0.28919426
input_transformers.layers.7.ffn.gate,0,0.24070802
input_transformers.layers.7.ffn.gate,1,0.030997546
input_transformers.layers.7.ffn.gate,2,0.18439463
input_transformers.layers.7.ffn.gate,3,0.54389995
input_transformers.layers.8.ffn.gate,0,0.067298524
input_transformers.layers.8.ffn.gate,1,0.8190613
input_transformers.layers.8.ffn.gate,2,0.07287648
input_transformers.layers.8.ffn.gate,3,0.04076365
input_transformers.layers.9.ffn.gate,0,0.024722911
input_transformers.layers.9.ffn.gate,1,0.09954203
input_transformers.layers.9.ffn.gate,2,0.8224652
input_transformers.layers.9.ffn.gate,3,0.053269863
input_transformers.layers.10.ffn.gate,0,0.059369557
input_transformers.layers.10.ffn.gate,1,0.066486076
input_transformers.layers.10.ffn.gate,2,0.7631729
input_transformers.layers.10.ffn.gate,3,0.11097136
input_transformers.layers.11.ffn.gate,0,0.7447508
input_transformers.layers.11.ffn.gate,1,0.04893439
input_transformers.layers.11.ffn.gate,2,0.1612101
input_transformers.layers.11.ffn.gate,3,0.04510467
