train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.3316062,0.0642487,0.3316062,0.27253887
100,1,0.3203203,0.18718718,0.24924925,0.24324325
200,2,0.32520324,0.16260162,0.24186991,0.2703252
300,3,0.31054688,0.20605469,0.20605469,0.27734375
400,4,0.280198,0.16732673,0.23564357,0.31683168
500,5,0.28808594,0.13574219,0.26367188,0.3125
600,6,0.27710843,0.15662651,0.24497992,0.32128513
700,7,0.32160804,0.12060302,0.25527638,0.30251256
800,8,0.31527093,0.13694581,0.23251231,0.31527093
900,9,0.3161546,0.1456888,0.22101091,0.31714568
1000,10,0.31714568,0.13776016,0.22794846,0.31714568
1100,11,0.28237793,0.13481954,0.2430998,0.33970276
1200,12,0.33368093,0.12304484,0.20959333,0.33368093
1300,13,0.27155173,0.112068966,0.27155173,0.3448276
1400,14,0.31054688,0.13378906,0.2578125,0.29785156
1500,15,0.2867647,0.09978992,0.27731094,0.33613446
1600,16,0.30425754,0.113187954,0.2502596,0.3322949
1700,17,0.31936127,0.11676647,0.26047903,0.30339321
1800,18,0.3010967,0.12462612,0.2552343,0.31904286
