train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.0,0.0,0.0,0.0,0.42895442,0.0,0.42895442,0.14209116
100,1,0.062015504,0.034883723,0.07751938,0.08139535,0.007751938,0.023255814,0.62015504,0.093023255
200,2,0.031620555,0.05533597,0.11857708,0.0513834,0.023715414,0.019762846,0.63241106,0.06719368
300,3,0.044176705,0.016064256,0.07630522,0.06827309,0.016064256,0.064257026,0.64257026,0.072289154
400,4,0.020242915,0.032388665,0.08906882,0.08097166,0.016194332,0.032388665,0.64777327,0.08097166
500,5,0.023529412,0.03137255,0.14509805,0.078431375,0.007843138,0.02745098,0.627451,0.05882353
600,6,0.015873017,0.031746034,0.11111111,0.07936508,0.015873017,0.0,0.63492066,0.11111111
700,7,0.015686275,0.011764706,0.16078432,0.07058824,0.003921569,0.03529412,0.627451,0.07450981
800,8,0.03088803,0.0038610038,0.17374517,0.057915058,0.015444015,0.015444015,0.6177606,0.08494209
900,9,0.023809524,0.01984127,0.13095239,0.055555556,0.011904762,0.043650795,0.63492066,0.07936508
1000,10,0.016064256,0.02811245,0.10843374,0.08032128,0.016064256,0.02008032,0.64257026,0.08835341
1100,11,0.016393442,0.012295082,0.15163934,0.06557377,0.008196721,0.012295082,0.6557377,0.07786885
1200,12,0.019607844,0.015686275,0.17254902,0.06666667,0.0,0.011764706,0.627451,0.08627451
1300,13,0.015873017,0.04761905,0.11111111,0.07936508,0.0,0.015873017,0.63492066,0.0952381
1400,14,0.007905139,0.015810277,0.16205534,0.06324111,0.0039525693,0.015810277,0.63241106,0.09881423
1500,15,0.015503876,0.015503876,0.17829457,0.065891474,0.0,0.007751938,0.62015504,0.09689923
1600,16,0.027559055,0.01968504,0.15748031,0.05905512,0.003937008,0.011811024,0.62992126,0.09055118
1700,17,0.016064256,0.02008032,0.15261044,0.08032128,0.004016064,0.012048192,0.64257026,0.072289154
1800,18,0.028688524,0.008196721,0.14344262,0.06147541,0.0040983604,0.020491803,0.6557377,0.07786885
