layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.45769942
input_transformers.layers.0.ffn.gate,1,0.5423006
input_transformers.layers.1.ffn.gate,0,0.67562705
input_transformers.layers.1.ffn.gate,1,0.32437295
input_transformers.layers.2.ffn.gate,0,0.46756783
input_transformers.layers.2.ffn.gate,1,0.53243214
input_transformers.layers.3.ffn.gate,0,0.49568257
input_transformers.layers.3.ffn.gate,1,0.50431746
input_transformers.layers.4.ffn.gate,0,0.6373869
input_transformers.layers.4.ffn.gate,1,0.36261308
input_transformers.layers.5.ffn.gate,0,0.20358758
input_transformers.layers.5.ffn.gate,1,0.7964124
input_transformers.layers.6.ffn.gate,0,0.36179072
input_transformers.layers.6.ffn.gate,1,0.6382093
input_transformers.layers.7.ffn.gate,0,0.43431333
input_transformers.layers.7.ffn.gate,1,0.5656867
input_transformers.layers.8.ffn.gate,0,0.33254522
input_transformers.layers.8.ffn.gate,1,0.6674548
input_transformers.layers.9.ffn.gate,0,0.31157485
input_transformers.layers.9.ffn.gate,1,0.6884252
input_transformers.layers.10.ffn.gate,0,0.4346731
input_transformers.layers.10.ffn.gate,1,0.56532687
input_transformers.layers.11.ffn.gate,0,0.33290502
input_transformers.layers.11.ffn.gate,1,0.667095
