train_step,log_step_index,expert_0,expert_1
0,0,0.3720703,0.6279297
100,1,0.5019531,0.49804688
200,2,0.42578125,0.57421875
300,3,0.3359375,0.6640625
400,4,0.26464844,0.73535156
500,5,0.27441406,0.72558594
600,6,0.33203125,0.66796875
700,7,0.2919922,0.7080078
800,8,0.3076172,0.6923828
900,9,0.36035156,0.63964844
1000,10,0.2890625,0.7109375
1100,11,0.28222656,0.71777344
1200,12,0.23730469,0.7626953
1300,13,0.37597656,0.62402344
1400,14,0.29589844,0.70410156
1500,15,0.3642578,0.6357422
1600,16,0.38378906,0.61621094
1700,17,0.38476562,0.6152344
1800,18,0.23828125,0.76171875
