step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,4.55081844329834,-15.295822,
2,8.047451496124268,-15.278236,
3,11.457966327667236,-14.825926,
4,14.904971837997437,-13.701553,
5,18.38321566581726,-12.912122,
6,21.82146406173706,-11.691868,
7,25.291260957717896,-10.385956,
8,28.751720905303955,-8.468411,
9,32.22566747665405,-9.815857,
10,35.6947968006134,-10.081217,
11,39.13718390464783,-12.487259,
12,42.59955048561096,-17.592161,
13,46.048556089401245,-15.198834,
14,49.48428273200989,-20.099424,
15,52.97146010398865,-17.721329,
16,56.418357849121094,-21.604282,
17,59.33321714401245,-21.180338,
18,62.728580713272095,-19.968552,
19,66.11643624305725,-19.965271,
20,69.51700353622437,-18.126019,
21,72.93835353851318,-18.1354,
22,76.34741282463074,-17.013294,
23,79.7489583492279,-20.418688,
24,83.1596577167511,-21.163265,
25,86.58800315856934,-17.958508,
26,89.97735404968262,-17.428942,
27,93.32858633995056,-17.087727,
28,96.71698427200317,-15.829908,
29,100.11982154846191,-12.650257,
30,103.54021096229553,-10.99712,
31,106.99024438858032,-12.347557,
32,110.4385678768158,-9.518581,
33,113.8663592338562,-10.034226,
34,117.30903553962708,-15.427235,
35,120.73417067527771,-16.247147,
36,124.16629433631897,-7.9238696,
37,127.61583018302917,-6.417693,
38,131.04470872879028,-6.2660575,
39,134.4561996459961,-8.881477,
40,137.86512804031372,-12.522203,
41,141.40491437911987,-9.782647,
42,144.05331087112427,-6.004874,
43,147.48481965065002,-6.414179,
44,150.9062466621399,-6.2857103,
45,154.32712173461914,-7.901468,
46,157.72923302650452,-7.954778,
47,161.14354729652405,-5.731217,
48,164.55673933029175,-5.7641726,
49,167.95891547203064,-5.3567076,
50,171.37920236587524,-5.9410915,
51,174.8147211074829,-5.951456,
52,178.2268168926239,-5.084319,
53,181.6427309513092,-5.1698565,
54,185.08756256103516,-7.1656775,
55,188.5176601409912,-6.2718325,
56,191.91980481147766,-5.118886,
57,195.32222151756287,-5.062976,
58,198.72755432128906,-6.9479976,
59,202.13543319702148,-6.6059093,
60,205.54645681381226,-4.8034935,
61,208.94551348686218,-5.713949,
62,212.34506249427795,-6.606625,
63,215.74997115135193,-6.7876406,
64,219.18195366859436,-5.169786,
65,222.5869905948639,-5.844143,
66,224.81031727790833,-5.338398,
67,225.6293113231659,-5.8396254,
68,228.56923580169678,-5.973858,
69,232.86062145233154,-6.0559816,
70,237.16274285316467,-5.273291,
71,241.443097114563,-5.5913205,
72,245.7397439479828,-5.3003345,
73,250.02356481552124,-5.18738,
74,254.30344986915588,-4.879684,
75,258.6120357513428,-4.8243575,
76,262.90775990486145,-5.7771883,
77,267.23927640914917,-8.388105,
78,271.5349600315094,-5.4823275,
79,275.84687757492065,-4.4836006,
80,280.1586546897888,-5.182726,
81,284.44364070892334,-4.704279,
82,288.74361300468445,-4.389784,
83,293.03281474113464,-3.9284158,
84,297.3366229534149,-4.953113,
85,301.61330008506775,-4.10775,
86,305.93699526786804,-5.9262414,
87,310.24434208869934,-3.9985027,
88,314.53906512260437,-3.3567848,
89,318.83215498924255,-3.1409554,
90,323.11752438545227,-4.5882545,
91,327.4320664405823,-3.5086565,
92,331.7358522415161,-4.237224,
93,336.0307562351227,-4.8666143,
94,340.3299558162689,-6.971363,
95,344.6346974372864,-2.7997773,
96,348.95647048950195,-3.04699,
97,353.241735458374,-4.1496987,
98,357.5374011993408,-4.173707,
99,361.8362283706665,-2.2261374,
100,367.0244164466858,-3.5429397,
101,369.44659876823425,-5.742909,
