layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.26007402
input_transformers.layers.0.ffn.gate,1,0.17372532
input_transformers.layers.0.ffn.gate,2,0.1928968
input_transformers.layers.0.ffn.gate,3,0.37330386
input_transformers.layers.1.ffn.gate,0,0.437943
input_transformers.layers.1.ffn.gate,1,0.12744044
input_transformers.layers.1.ffn.gate,2,0.20549954
input_transformers.layers.1.ffn.gate,3,0.22911702
input_transformers.layers.2.ffn.gate,0,0.15207157
input_transformers.layers.2.ffn.gate,1,0.2862644
input_transformers.layers.2.ffn.gate,2,0.39674056
input_transformers.layers.2.ffn.gate,3,0.16492347
input_transformers.layers.3.ffn.gate,0,0.18651624
input_transformers.layers.3.ffn.gate,1,0.12888445
input_transformers.layers.3.ffn.gate,2,0.38571233
input_transformers.layers.3.ffn.gate,3,0.29888698
input_transformers.layers.4.ffn.gate,0,0.12143765
input_transformers.layers.4.ffn.gate,1,0.2370292
input_transformers.layers.4.ffn.gate,2,0.38154587
input_transformers.layers.4.ffn.gate,3,0.25998726
input_transformers.layers.5.ffn.gate,0,0.29472467
input_transformers.layers.5.ffn.gate,1,0.13409111
input_transformers.layers.5.ffn.gate,2,0.46164235
input_transformers.layers.5.ffn.gate,3,0.10954183
input_transformers.layers.6.ffn.gate,0,0.3747087
input_transformers.layers.6.ffn.gate,1,0.40574753
input_transformers.layers.6.ffn.gate,2,0.12897769
input_transformers.layers.6.ffn.gate,3,0.09056607
input_transformers.layers.7.ffn.gate,0,0.16948426
input_transformers.layers.7.ffn.gate,1,0.13030778
input_transformers.layers.7.ffn.gate,2,0.27452025
input_transformers.layers.7.ffn.gate,3,0.42568773
input_transformers.layers.8.ffn.gate,0,0.116031826
input_transformers.layers.8.ffn.gate,1,0.50150084
input_transformers.layers.8.ffn.gate,2,0.20891623
input_transformers.layers.8.ffn.gate,3,0.17355111
input_transformers.layers.9.ffn.gate,0,0.21321927
input_transformers.layers.9.ffn.gate,1,0.18610269
input_transformers.layers.9.ffn.gate,2,0.4863335
input_transformers.layers.9.ffn.gate,3,0.11434456
input_transformers.layers.10.ffn.gate,0,0.08477672
input_transformers.layers.10.ffn.gate,1,0.5277211
input_transformers.layers.10.ffn.gate,2,0.08283183
input_transformers.layers.10.ffn.gate,3,0.3046703
input_transformers.layers.11.ffn.gate,0,0.45706785
input_transformers.layers.11.ffn.gate,1,0.05362759
input_transformers.layers.11.ffn.gate,2,0.15787828
input_transformers.layers.11.ffn.gate,3,0.33142626
