train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.45252526,0.076767676,0.24343434,0.22727273
100,1,0.48854962,0.08833151,0.174482,0.24863686
200,2,0.5423729,0.09443099,0.15375303,0.20944309
300,3,0.4853738,0.058504876,0.17226435,0.283857
400,4,0.5276796,0.040047113,0.12603062,0.30624264
500,5,0.51141554,0.03652968,0.14383562,0.30821916
600,6,0.42578125,0.038085938,0.12890625,0.40722656
700,7,0.517321,0.030023094,0.15127021,0.30138567
800,8,0.48432434,0.052972972,0.15135135,0.31135136
900,9,0.4345703,0.07324219,0.16210938,0.33007812
1000,10,0.46376812,0.056935817,0.11904762,0.36024845
1100,11,0.46666667,0.045833334,0.16875,0.31875
1200,12,0.49122807,0.03399123,0.13157895,0.34320176
1300,13,0.3623047,0.06347656,0.17285156,0.4013672
1400,14,0.4580777,0.037832312,0.12985685,0.37423313
1500,15,0.3561508,0.03968254,0.15972222,0.44444445
1600,16,0.3798828,0.06738281,0.18652344,0.36621094
1700,17,0.3671875,0.04296875,0.16894531,0.42089844
1800,18,0.46910995,0.041884817,0.15497382,0.3340314
