layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.1485403
input_transformers.layers.0.ffn.gate,1,0.07966694
input_transformers.layers.0.ffn.gate,2,0.056178045
input_transformers.layers.0.ffn.gate,3,0.13692434
input_transformers.layers.0.ffn.gate,4,0.17151521
input_transformers.layers.0.ffn.gate,5,0.16534746
input_transformers.layers.0.ffn.gate,6,0.11924342
input_transformers.layers.0.ffn.gate,7,0.12258429
input_transformers.layers.1.ffn.gate,0,0.23578614
input_transformers.layers.1.ffn.gate,1,0.21165858
input_transformers.layers.1.ffn.gate,2,0.030285243
input_transformers.layers.1.ffn.gate,3,0.16445178
input_transformers.layers.1.ffn.gate,4,0.091942444
input_transformers.layers.1.ffn.gate,5,0.046186633
input_transformers.layers.1.ffn.gate,6,0.15082927
input_transformers.layers.1.ffn.gate,7,0.06885991
input_transformers.layers.2.ffn.gate,0,0.0992162
input_transformers.layers.2.ffn.gate,1,0.12295818
input_transformers.layers.2.ffn.gate,2,0.11227729
input_transformers.layers.2.ffn.gate,3,0.17539865
input_transformers.layers.2.ffn.gate,4,0.15281993
input_transformers.layers.2.ffn.gate,5,0.07882225
input_transformers.layers.2.ffn.gate,6,0.09382702
input_transformers.layers.2.ffn.gate,7,0.16468044
input_transformers.layers.3.ffn.gate,0,0.13528486
input_transformers.layers.3.ffn.gate,1,0.055263273
input_transformers.layers.3.ffn.gate,2,0.15129627
input_transformers.layers.3.ffn.gate,3,0.12661509
input_transformers.layers.3.ffn.gate,4,0.14061344
input_transformers.layers.3.ffn.gate,5,0.06951493
input_transformers.layers.3.ffn.gate,6,0.13551132
input_transformers.layers.3.ffn.gate,7,0.1859008
input_transformers.layers.4.ffn.gate,0,0.09709682
input_transformers.layers.4.ffn.gate,1,0.052781574
input_transformers.layers.4.ffn.gate,2,0.14892416
input_transformers.layers.4.ffn.gate,3,0.17016698
input_transformers.layers.4.ffn.gate,4,0.21022089
input_transformers.layers.4.ffn.gate,5,0.15209122
input_transformers.layers.4.ffn.gate,6,0.12306659
input_transformers.layers.4.ffn.gate,7,0.045651745
input_transformers.layers.5.ffn.gate,0,0.20662917
input_transformers.layers.5.ffn.gate,1,0.07279079
input_transformers.layers.5.ffn.gate,2,0.19210036
input_transformers.layers.5.ffn.gate,3,0.13353013
input_transformers.layers.5.ffn.gate,4,0.06815993
input_transformers.layers.5.ffn.gate,5,0.073770225
input_transformers.layers.5.ffn.gate,6,0.1648801
input_transformers.layers.5.ffn.gate,7,0.088139325
input_transformers.layers.6.ffn.gate,0,0.122441456
input_transformers.layers.6.ffn.gate,1,0.08017316
input_transformers.layers.6.ffn.gate,2,0.05573169
input_transformers.layers.6.ffn.gate,3,0.08052753
input_transformers.layers.6.ffn.gate,4,0.2589563
input_transformers.layers.6.ffn.gate,5,0.10173542
input_transformers.layers.6.ffn.gate,6,0.0958506
input_transformers.layers.6.ffn.gate,7,0.20458384
input_transformers.layers.7.ffn.gate,0,0.019436719
input_transformers.layers.7.ffn.gate,1,0.21512973
input_transformers.layers.7.ffn.gate,2,0.13984053
input_transformers.layers.7.ffn.gate,3,0.035869874
input_transformers.layers.7.ffn.gate,4,0.051563986
input_transformers.layers.7.ffn.gate,5,0.12407152
input_transformers.layers.7.ffn.gate,6,0.19650549
input_transformers.layers.7.ffn.gate,7,0.21758218
input_transformers.layers.8.ffn.gate,0,0.10908424
input_transformers.layers.8.ffn.gate,1,0.0344175
input_transformers.layers.8.ffn.gate,2,0.11371717
input_transformers.layers.8.ffn.gate,3,0.19856365
input_transformers.layers.8.ffn.gate,4,0.09640152
input_transformers.layers.8.ffn.gate,5,0.056550276
input_transformers.layers.8.ffn.gate,6,0.16741161
input_transformers.layers.8.ffn.gate,7,0.22385402
input_transformers.layers.9.ffn.gate,0,0.2808039
input_transformers.layers.9.ffn.gate,1,0.13235702
input_transformers.layers.9.ffn.gate,2,0.1117857
input_transformers.layers.9.ffn.gate,3,0.120379336
input_transformers.layers.9.ffn.gate,4,0.035354603
input_transformers.layers.9.ffn.gate,5,0.13521615
input_transformers.layers.9.ffn.gate,6,0.109414555
input_transformers.layers.9.ffn.gate,7,0.07468877
input_transformers.layers.10.ffn.gate,0,0.013599396
input_transformers.layers.10.ffn.gate,1,0.12657887
input_transformers.layers.10.ffn.gate,2,0.07401433
input_transformers.layers.10.ffn.gate,3,0.16106243
input_transformers.layers.10.ffn.gate,4,0.17471488
input_transformers.layers.10.ffn.gate,5,0.15660697
input_transformers.layers.10.ffn.gate,6,0.09358185
input_transformers.layers.10.ffn.gate,7,0.19984123
input_transformers.layers.11.ffn.gate,0,0.05928608
input_transformers.layers.11.ffn.gate,1,0.11909679
input_transformers.layers.11.ffn.gate,2,0.025439931
input_transformers.layers.11.ffn.gate,3,0.10677978
input_transformers.layers.11.ffn.gate,4,0.25273436
input_transformers.layers.11.ffn.gate,5,0.19334514
input_transformers.layers.11.ffn.gate,6,0.1592383
input_transformers.layers.11.ffn.gate,7,0.08407963
