train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.06587473,0.11987041,0.03671706,0.14146869,0.10691145,0.24190065,0.24190065,0.04535637
100,1,0.055622734,0.13059251,0.020556228,0.14026602,0.11729141,0.18863362,0.27085853,0.07617896
200,2,0.051344745,0.112469435,0.030562347,0.09535452,0.2176039,0.12469438,0.27383864,0.09413203
300,3,0.05536723,0.108474575,0.030508475,0.07909604,0.21920905,0.17062147,0.25310734,0.08361582
400,4,0.03809524,0.12738095,0.020238096,0.09642857,0.26666668,0.11309524,0.26666668,0.071428575
500,5,0.060526315,0.13289474,0.028947368,0.065789476,0.29473683,0.1513158,0.17631578,0.08947369
600,6,0.06242906,0.15437004,0.04199773,0.12826334,0.25425652,0.13961408,0.09194098,0.12712826
700,7,0.052878965,0.09400705,0.022326674,0.071680374,0.26321974,0.19858989,0.24441834,0.052878965
800,8,0.071753986,0.10933941,0.010250569,0.06378132,0.25512528,0.16856492,0.25512528,0.066059224
900,9,0.048423424,0.12274775,0.02364865,0.10472973,0.25225225,0.23648648,0.14076577,0.07094595
1000,10,0.060714286,0.12142857,0.026190476,0.1,0.26666668,0.17380953,0.15833333,0.092857145
1100,11,0.04359313,0.10568032,0.018494055,0.109643325,0.29590487,0.22192867,0.12417437,0.08058124
1200,12,0.036890645,0.10144927,0.022397893,0.09486166,0.29512516,0.22002634,0.14888011,0.080368906
1300,13,0.06475716,0.12079701,0.03362391,0.1494396,0.2789539,0.18555418,0.08592777,0.08094645
1400,14,0.0589651,0.09747292,0.025270758,0.13598074,0.26955476,0.24789411,0.07821901,0.0866426
1500,15,0.069167644,0.11137163,0.033997655,0.10082063,0.26260257,0.25087926,0.075029306,0.0961313
1600,16,0.09673367,0.12060302,0.027638191,0.11557789,0.28140703,0.22361809,0.03517588,0.09924623
1700,17,0.0776583,0.12903225,0.011947432,0.15292712,0.26762247,0.20430107,0.059737157,0.09677419
1800,18,0.0556391,0.14285715,0.018045112,0.082706764,0.33684212,0.21203007,0.04511278,0.10676692
