train_step,log_step_index,expert_0,expert_1
0,0,0.34960938,0.6503906
100,1,0.41210938,0.5878906
200,2,0.57910156,0.42089844
300,3,0.6796875,0.3203125
400,4,0.7402344,0.25976562
500,5,0.39257812,0.6074219
600,6,0.46972656,0.53027344
700,7,0.7080078,0.2919922
800,8,0.7089844,0.29101562
900,9,0.67089844,0.32910156
1000,10,0.73828125,0.26171875
1100,11,0.7128906,0.28710938
1200,12,0.734375,0.265625
1300,13,0.71875,0.28125
1400,14,0.7050781,0.29492188
1500,15,0.6621094,0.33789062
1600,16,0.6621094,0.33789062
1700,17,0.6464844,0.35351562
1800,18,0.70703125,0.29296875
