layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.26655015
input_transformers.layers.0.ffn.gate,1,0.18400493
input_transformers.layers.0.ffn.gate,2,0.19212583
input_transformers.layers.0.ffn.gate,3,0.3573191
input_transformers.layers.1.ffn.gate,0,0.418854
input_transformers.layers.1.ffn.gate,1,0.12390291
input_transformers.layers.1.ffn.gate,2,0.1953723
input_transformers.layers.1.ffn.gate,3,0.26187077
input_transformers.layers.2.ffn.gate,0,0.15953948
input_transformers.layers.2.ffn.gate,1,0.33115748
input_transformers.layers.2.ffn.gate,2,0.3723273
input_transformers.layers.2.ffn.gate,3,0.13697574
input_transformers.layers.3.ffn.gate,0,0.22420695
input_transformers.layers.3.ffn.gate,1,0.13489328
input_transformers.layers.3.ffn.gate,2,0.35705256
input_transformers.layers.3.ffn.gate,3,0.28384724
input_transformers.layers.4.ffn.gate,0,0.13041466
input_transformers.layers.4.ffn.gate,1,0.23265795
input_transformers.layers.4.ffn.gate,2,0.38707018
input_transformers.layers.4.ffn.gate,3,0.24985714
input_transformers.layers.5.ffn.gate,0,0.31249103
input_transformers.layers.5.ffn.gate,1,0.121765755
input_transformers.layers.5.ffn.gate,2,0.4508926
input_transformers.layers.5.ffn.gate,3,0.11485067
input_transformers.layers.6.ffn.gate,0,0.38041422
input_transformers.layers.6.ffn.gate,1,0.38931558
input_transformers.layers.6.ffn.gate,2,0.12392268
input_transformers.layers.6.ffn.gate,3,0.10634754
input_transformers.layers.7.ffn.gate,0,0.12864856
input_transformers.layers.7.ffn.gate,1,0.13485645
input_transformers.layers.7.ffn.gate,2,0.33143905
input_transformers.layers.7.ffn.gate,3,0.40505594
input_transformers.layers.8.ffn.gate,0,0.14553224
input_transformers.layers.8.ffn.gate,1,0.4639782
input_transformers.layers.8.ffn.gate,2,0.22207215
input_transformers.layers.8.ffn.gate,3,0.16841741
input_transformers.layers.9.ffn.gate,0,0.2510236
input_transformers.layers.9.ffn.gate,1,0.17627653
input_transformers.layers.9.ffn.gate,2,0.44730574
input_transformers.layers.9.ffn.gate,3,0.12539423
input_transformers.layers.10.ffn.gate,0,0.1344281
input_transformers.layers.10.ffn.gate,1,0.48465738
input_transformers.layers.10.ffn.gate,2,0.09160843
input_transformers.layers.10.ffn.gate,3,0.2893061
input_transformers.layers.11.ffn.gate,0,0.43966395
input_transformers.layers.11.ffn.gate,1,0.07262025
input_transformers.layers.11.ffn.gate,2,0.15250935
input_transformers.layers.11.ffn.gate,3,0.33520648
