train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.27441406,0.20898438,0.21191406,0.3046875
100,1,0.27441406,0.2109375,0.18457031,0.33007812
200,2,0.23046875,0.203125,0.18066406,0.3857422
300,3,0.25683594,0.20214844,0.20605469,0.33496094
400,4,0.2783203,0.20800781,0.17285156,0.3408203
500,5,0.2578125,0.21386719,0.16992188,0.35839844
600,6,0.23046875,0.2109375,0.20410156,0.3544922
700,7,0.2919922,0.19238281,0.17871094,0.33691406
800,8,0.2529297,0.19042969,0.16992188,0.38671875
900,9,0.2685547,0.18554688,0.17578125,0.3701172
1000,10,0.27539062,0.15429688,0.18847656,0.38183594
1100,11,0.29101562,0.16699219,0.16796875,0.37402344
1200,12,0.2890625,0.140625,0.1875,0.3828125
1300,13,0.2939453,0.15527344,0.20800781,0.34277344
1400,14,0.2421875,0.15429688,0.21191406,0.39160156
1500,15,0.2626953,0.19433594,0.21875,0.32421875
1600,16,0.2685547,0.17773438,0.2109375,0.34277344
1700,17,0.24707031,0.16503906,0.22558594,0.3623047
1800,18,0.2783203,0.16113281,0.17675781,0.38378906
