train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.19921875,0.10449219,0.076171875,0.18164062,0.10546875,0.11230469,0.11621094,0.10449219
100,1,0.2109375,0.13769531,0.05859375,0.17382812,0.10644531,0.08886719,0.1328125,0.09082031
200,2,0.23236515,0.11721992,0.06120332,0.19502075,0.08713693,0.11307054,0.10788382,0.08609959
300,3,0.23212436,0.13782384,0.05388601,0.1626943,0.119170986,0.07772021,0.11606218,0.10051814
400,4,0.24060151,0.15145005,0.0386681,0.20622987,0.08700322,0.07196563,0.132116,0.07196563
500,5,0.23931624,0.13247864,0.030982906,0.20192307,0.10897436,0.088675216,0.12179487,0.075854704
600,6,0.23021583,0.23021583,0.034943473,0.17060637,0.12332991,0.02774923,0.11921891,0.06372045
700,7,0.23728813,0.13241525,0.044491526,0.16525424,0.09957627,0.097457625,0.14194915,0.081567794
800,8,0.23236515,0.20850623,0.034232367,0.17946059,0.114107884,0.049792532,0.1026971,0.07883818
900,9,0.23855165,0.23855165,0.024494143,0.17891374,0.10010649,0.021299254,0.13205537,0.066027686
1000,10,0.23906083,0.21237993,0.019210245,0.19743863,0.112059765,0.022411954,0.12913553,0.06830309
1100,11,0.24916574,0.22135706,0.036707453,0.16573972,0.08676307,0.032258064,0.12347052,0.08453838
1200,12,0.25,0.22991072,0.02455357,0.18861607,0.08035714,0.03348214,0.123883925,0.069196425
1300,13,0.24427481,0.24427481,0.027262814,0.18538713,0.098146126,0.029443838,0.12540895,0.045801528
1400,14,0.23779193,0.23779193,0.03927813,0.1656051,0.09023354,0.033970278,0.12101911,0.07430998
1500,15,0.16616315,0.22557905,0.03121853,0.17824773,0.12487412,0.040281974,0.1550856,0.07854985
1600,16,0.23678647,0.23678647,0.041226216,0.13742071,0.11099366,0.028541226,0.13424948,0.07399577
1700,17,0.23855165,0.23855165,0.019169329,0.14483494,0.115015976,0.020234292,0.15228967,0.071352504
1800,18,0.2416397,0.21035598,0.02373247,0.17044228,0.10787486,0.0399137,0.13700108,0.06903991
