step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.024458885192871,-15.921219,
2,1.4828517436981201,-15.7184925,
3,1.9793503284454346,-15.169845,
4,2.4759681224823,-13.426882,
5,2.971548080444336,-11.2395935,
6,3.4689078330993652,-8.566927,
7,3.9660210609436035,-5.110398,
8,4.461661100387573,-2.4081776,
9,4.959118127822876,-2.1456997,
10,5.456573009490967,-2.5624528,
11,5.9521543979644775,-3.218305,
12,6.449621915817261,-4.3023825,
13,6.947532892227173,-4.3550878,
14,7.444151878356934,-4.4658437,
15,7.94228982925415,-4.9679623,
16,8.438208103179932,-5.703172,
17,8.934805393218994,-6.4304857,
18,9.433499813079834,-5.9272113,
19,9.931371688842773,-7.141759,
20,10.43572449684143,-6.143742,
21,10.901857137680054,-6.6672792,
22,11.574341773986816,-6.9256425,
23,12.067362070083618,-6.6240473,
24,12.56430983543396,-7.2258997,
25,13.060180425643921,-7.5047607,
26,13.560123920440674,-8.146417,
27,14.052704334259033,-8.300522,
28,14.548262596130371,-8.322662,
29,15.04067611694336,-7.799113,
30,15.530850410461426,-8.05105,
31,16.022171020507812,-8.381089,
32,16.511834859848022,-8.824163,
33,17.004024267196655,-10.28093,
34,17.496704816818237,-9.314774,
35,17.987435817718506,-8.698425,
36,18.47889804840088,-9.0947895,
37,18.968943119049072,-9.740885,
38,19.459295749664307,-10.349409,
39,19.949764490127563,-9.166162,
40,20.44000244140625,-10.59515,
41,20.928150177001953,-8.782986,
42,21.38637661933899,-9.265453,
43,22.06316351890564,-9.31813,
44,22.552307605743408,-8.645281,
45,23.043341636657715,-9.142685,
46,23.532013177871704,-9.237869,
47,24.019280433654785,-9.749785,
48,24.509551525115967,-9.6664295,
49,25.00019359588623,-9.430738,
50,25.486719846725464,-8.596819,
51,25.976240396499634,-8.6480465,
52,26.46308422088623,-8.763116,
53,26.951449155807495,-9.046414,
54,27.438241004943848,-10.322928,
55,27.925105810165405,-9.153408,
56,28.412503480911255,-8.428268,
57,28.899770498275757,-8.7258835,
58,29.387858867645264,-9.278118,
59,29.874948501586914,-9.795323,
60,30.3631694316864,-8.639082,
61,30.851805448532104,-10.025028,
62,31.340571403503418,-8.304806,
63,31.794904470443726,-8.775462,
64,32.46460723876953,-8.8228655,
65,32.94798398017883,-8.214428,
66,33.43919777870178,-8.740917,
67,33.922478675842285,-8.866247,
68,34.41129922866821,-9.424889,
69,34.90089297294617,-9.34777,
70,35.39192867279053,-9.136423,
71,35.88332176208496,-8.272356,
72,36.37438654899597,-8.361525,
73,36.86233139038086,-8.536932,
74,37.35380268096924,-8.823559,
75,37.84360146522522,-10.107686,
76,38.33573055267334,-8.700029,
77,38.82749891281128,-7.711644,
78,39.32140016555786,-8.142019,
79,39.81490731239319,-8.597133,
80,40.30950570106506,-7.856683,
81,40.80695176124573,-6.4053097,
82,41.305129051208496,-8.230421,
83,41.80477476119995,-4.241149,
84,42.271660566329956,-5.5495253,
85,42.94941997528076,-4.259504,
86,43.44563174247742,-1.8726993,
87,43.94577479362488,-1.6163732,
88,44.44652724266052,-1.428175,
89,44.94674563407898,-2.6851878,
90,45.44602870941162,-3.4230173,
91,45.94733548164368,-3.122183,
92,46.44741940498352,-1.6277866,
93,46.947646617889404,-1.3712356,
94,47.448161602020264,-1.1264819,
95,47.94863963127136,-1.1099272,
96,48.44873833656311,-2.058848,
97,48.95087552070618,-1.2294935,
98,49.45220422744751,-1.086009,
99,49.954479455947876,-1.1504357,
100,50.45629668235779,-1.6960754,
101,50.95742702484131,-1.3800644,
102,51.45836639404297,-1.168916,
103,51.95819020271301,-1.3137252,
104,52.45936346054077,-1.0562582,
105,52.92834162712097,-1.7530543,
106,53.61584973335266,-1.9743955,
107,54.11491775512695,-1.6966586,
108,54.61565279960632,-1.8545479,
109,55.11809253692627,-1.653841,
110,55.62002968788147,-1.846782,
111,56.12239098548889,-1.7531292,
112,56.62477350234985,-1.7216637,
113,57.12411689758301,-1.4614027,
114,57.62509727478027,-1.4341629,
115,58.12627053260803,-1.5593996,
116,58.62768578529358,-1.2578287,
117,59.12840414047241,-1.9840074,
118,59.63060164451599,-1.4913799,
119,60.13155698776245,-1.1503881,
120,60.631747245788574,-1.2627945,
121,61.132694482803345,-1.7945888,
122,61.63414931297302,-1.7741168,
123,62.136066913604736,-1.2584505,
124,62.63745331764221,-1.3843164,
125,63.13959789276123,-1.3595325,
126,63.6080060005188,-1.4977944,
127,64.26884269714355,-1.680164,
128,64.76902365684509,-1.3136545,
129,65.27062225341797,-1.5316386,
130,65.77200198173523,-1.2415822,
131,66.27396440505981,-1.2684109,
132,66.77375602722168,-1.6257704,
133,67.27484631538391,-1.5436218,
134,67.77675557136536,-1.3660767,
135,68.27890253067017,-1.5414119,
136,68.77802968025208,-1.0690453,
137,69.27811002731323,-1.32548,
138,69.77918910980225,-1.4900792,
139,70.28117036819458,-1.4983515,
140,70.78175044059753,-0.95985174,
141,71.28444528579712,-1.2532129,
142,71.78562498092651,-1.3815018,
143,72.28608393669128,-1.1165466,
144,72.78841090202332,-1.3530257,
145,73.29088354110718,-0.7355912,
146,73.79246211051941,-0.9374098,
147,74.2619879245758,-1.4068866,
148,74.93008160591125,-1.0299045,
149,75.43052911758423,-0.88002926,
150,75.93295884132385,-1.2983532,
151,76.43481111526489,-1.3643376,
152,76.9376711845398,-1.0243267,
153,77.43846154212952,-1.0112774,
154,77.94053435325623,-1.4943072,
155,78.4420576095581,-1.0716584,
156,78.94469237327576,-1.3880181,
157,79.4467043876648,-0.7651645,
158,79.94821977615356,-1.3903906,
159,80.44984269142151,-1.271868,
160,80.95251250267029,-1.0735016,
161,81.45550513267517,-0.9580496,
162,81.95856356620789,-0.9523296,
163,82.46056294441223,-1.051589,
164,82.9634063243866,-1.1697075,
165,83.46560859680176,-1.0642557,
166,83.96712708473206,-1.0227165,
167,84.46999096870422,-1.0735826,
168,84.94121837615967,-1.068773,
169,85.61384344100952,-1.4357765,
170,86.11424803733826,-0.8933829,
171,86.61505675315857,-1.037685,
172,87.11598491668701,-1.0910892,
173,87.61893963813782,-0.81504,
174,88.12119245529175,-1.1938536,
175,88.623450756073,-1.1524923,
176,89.12632727622986,-0.876559,
177,89.62976503372192,-1.1424029,
178,90.13240051269531,-0.898764,
179,90.63598847389221,-1.0998679,
180,91.13688611984253,-2.169023,
181,91.64137601852417,-1.043675,
182,92.1424412727356,-0.933349,
183,92.64471435546875,-0.9896283,
184,93.146897315979,-1.2654749,
185,93.65004110336304,-1.2198894,
186,94.1511402130127,-0.93779784,
187,94.65236520767212,-1.0876184,
188,95.1537492275238,-1.004595,
189,95.62260913848877,-1.1873119,
190,96.31539678573608,-1.1391215,
191,96.81589651107788,-0.86676085,
192,97.31927919387817,-1.2972275,
193,97.82090973854065,-1.2281235,
194,98.32285284996033,-0.89061254,
195,98.82524728775024,-0.8896282,
196,99.3292031288147,-0.7097477,
197,99.82951045036316,-1.1631895,
198,100.33284592628479,-0.6967565,
199,100.83436107635498,-0.6956567,
200,101.3386492729187,-0.9025829,
201,101.84112691879272,-1.3798429,
202,102.34459495544434,-1.1430254,
203,102.84673976898193,-1.3557978,
204,103.34969353675842,-0.74272966,
205,103.85184478759766,-0.8874489,
