step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,23.5478515625,-14.235105,
2,25.057678699493408,-14.040554,
3,26.324475288391113,-13.642029,
4,27.581915616989136,-12.61599,
5,28.83447241783142,-10.477791,
6,30.097927570343018,-7.569348,
7,31.364625930786133,-4.570044,
8,32.637171506881714,-1.7626358,
9,33.91244339942932,-0.46310386,
10,35.694358825683594,-0.5490967,
11,36.98566675186157,-2.1104732,
12,38.257338523864746,-2.6033053,
13,39.517818450927734,-0.82994735,
14,40.78169775009155,-2.7647014,
15,42.02457046508789,-3.4582639,
16,43.27442026138306,-3.8993092,
17,44.52059459686279,-5.3637805,
18,45.77392649650574,-1.2214035,
19,47.010050773620605,-3.8984232,
20,48.24384808540344,-1.4242377,
21,49.474356174468994,-1.4031341,
22,50.70289874076843,-3.8497767,
23,51.911672830581665,-4.2338886,
24,53.13686180114746,-9.097084,
25,54.33870244026184,-4.4297013,
26,55.53397274017334,-0.96244955,
27,56.739240884780884,-4.621296,
28,57.933252573013306,-1.6373603,
29,59.13444805145264,-5.7994924,
30,60.33608865737915,-1.2171499,
31,61.55502271652222,-6.13064,
32,62.76888155937195,-0.561191,
33,64.00468397140503,-0.8350609,
34,65.23850464820862,-1.1257164,
35,66.49717140197754,-1.8499107,
36,67.75328469276428,-1.5513631,
37,69.07176804542542,-1.0094926,
38,70.33772349357605,-0.7269838,
39,71.60370326042175,-1.1488364,
40,72.87339687347412,-4.624063,
41,74.13516569137573,-1.165431,
42,75.39870238304138,-1.5141417,
43,76.68330025672913,-2.620592,
44,77.98167657852173,-0.39699346,
45,79.26914668083191,-0.62878776,
46,80.55604314804077,-1.2177916,
47,81.83976340293884,-1.9255105,
48,83.13590407371521,-0.7655225,
49,84.43939518928528,-1.8501555,
50,85.7259566783905,-1.2761816,
51,87.00195384025574,-2.5397809,
52,88.28420066833496,-0.45945263,
53,89.57994771003723,-0.7111971,
54,90.85069417953491,-1.7744317,
55,92.15303945541382,-1.9512663,
56,93.48835802078247,-1.6154392,
57,94.77303695678711,-1.5325199,
58,96.06545543670654,-7.3106303,
59,97.35787534713745,-0.9535346,
60,98.63539552688599,-1.6150739,
61,99.92775821685791,-0.6024398,
62,101.21900606155396,-0.16279903,
63,102.507572889328,-0.42108026,
64,103.79784607887268,-0.6944212,
65,105.07867765426636,-3.6374023,
66,106.39435148239136,-0.6780648,
67,107.69859838485718,-0.73726934,
68,109.00050854682922,-0.83505374,
69,110.31572985649109,-0.90901554,
70,111.6227502822876,-5.6611404,
71,112.92537117004395,-0.491044,
72,114.22569727897644,-2.1710534,
73,115.52422189712524,-0.746083,
74,116.80990195274353,-1.2058822,
75,118.13200640678406,-1.2459984,
76,119.41492938995361,-0.8354934,
77,120.72962784767151,-0.3369048,
78,122.01540637016296,-0.26982644,
79,123.32968044281006,-0.35420057,
80,124.63763904571533,-0.37126148,
81,125.9697916507721,-1.66095,
82,127.28922271728516,-0.24775146,
83,128.5883355140686,-0.96755403,
84,129.8751676082611,-0.2687831,
85,131.17532920837402,-0.50549674,
86,132.4799222946167,-0.93552303,
87,133.7915289402008,-0.25126934,
88,135.095623254776,-0.27003103,
89,136.39251017570496,-0.23762019,
90,137.71311211585999,-0.2924545,
91,139.0038845539093,-0.28668916,
92,140.31117701530457,-0.20447093,
93,141.60933899879456,-0.2582356,
94,142.9234824180603,-0.36772412,
95,144.22025108337402,-0.3164007,
96,145.51845741271973,-0.60879153,
97,146.84730339050293,-0.4021787,
98,148.17012667655945,-0.2908783,
99,149.47481989860535,-0.25166827,
100,152.3282744884491,-0.13855325,
101,153.63997769355774,-1.311919,
102,154.9361605644226,-2.0650535,
103,156.24194073677063,-0.30515927,
104,157.53960251808167,-0.38996863,
105,158.83687806129456,-0.483105,
106,160.1479468345642,-0.22797999,
107,161.44511890411377,-1.1426023,
108,162.75459122657776,-0.28496435,
109,164.07941913604736,-0.21857513,
110,165.43466925621033,-0.22791362,
111,166.74162530899048,-0.16692781,
112,168.05222702026367,-0.38584733,
113,169.3555657863617,-0.21529487,
114,170.66486501693726,-1.5228602,
115,171.97561287879944,-0.52994484,
116,173.28216338157654,-0.7696615,
117,174.59961605072021,-0.23940516,
118,175.89445209503174,-0.21597597,
119,177.21701955795288,-0.076242,
120,178.55139589309692,-0.22630574,
121,179.86939406394958,-0.6774674,
122,181.18580722808838,-0.24601567,
123,182.5002784729004,-0.09380056,
124,183.81660866737366,-0.16060977,
125,185.12752509117126,-0.08756593,
126,186.4378650188446,-5.0652685,
127,187.75740957260132,-0.20516652,
128,189.08619594573975,-0.07281393,
129,190.39236760139465,-0.08981886,
130,191.7750380039215,-0.31127048,
131,193.08392238616943,-0.03974655,
132,194.40115118026733,-0.06033449,
133,195.75922417640686,-0.16815193,
134,197.09206008911133,-0.2800526,
135,198.47814178466797,-0.15140058,
136,199.82694554328918,-0.17490938,
137,201.15184330940247,-0.503659,
138,202.5094199180603,-0.6883499,
139,203.84782099723816,-0.011046229,
140,205.16754412651062,-0.20311145,
141,206.47749972343445,-0.43134126,
142,207.8011176586151,-1.054483,
143,209.1238043308258,-0.16756944,
144,210.43422842025757,-0.13806805,
145,211.74562525749207,-0.28413025,
146,213.0550093650818,-0.1539346,
147,214.3779377937317,-0.12981132,
148,215.68905687332153,-0.4916841,
149,216.98437809944153,-0.7847642,
150,218.311776638031,-0.26945728,
151,219.62787008285522,-0.65168357,
152,220.9492266178131,-0.18076576,
153,222.26243948936462,-1.0441949,
154,223.62705993652344,-0.35770002,
155,224.9486119747162,-0.48492658,
156,226.2534372806549,-0.6631789,
157,227.55750513076782,-0.21271685,
158,228.86621594429016,-0.13261393,
159,230.1717405319214,-0.47196963,
160,231.4870662689209,-0.4299974,
161,232.79878449440002,-0.12451256,
162,234.10319876670837,-0.15048304,
163,235.40349078178406,-0.28979847,
