step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.0136468410491943,-14.525855,
2,3.2594709396362305,-14.54745,
3,4.550191402435303,-14.40488,
4,5.841404438018799,-13.693594,
5,7.106827735900879,-13.431045,
6,8.402438402175903,-11.927248,
7,9.682206392288208,-10.001038,
8,10.955983400344849,-9.217936,
9,12.241544485092163,-9.3255415,
10,13.522216081619263,-8.992941,
11,14.804076194763184,-13.406102,
12,16.088584661483765,-10.701799,
13,17.376120805740356,-14.740315,
14,18.658721208572388,-17.174429,
15,19.940483331680298,-17.06253,
16,21.226420640945435,-17.158606,
17,22.516275644302368,-16.967474,
18,23.800536632537842,-21.240328,
19,25.088855266571045,-13.291152,
20,26.378477811813354,-19.602962,
21,27.665745496749878,-23.26052,
22,28.956143379211426,-19.209106,
23,30.24481463432312,-22.103811,
24,31.534521341323853,-28.68012,
25,32.82289910316467,-19.698051,
26,34.11332106590271,-15.663219,
27,35.39903283119202,-19.202366,
28,36.68953490257263,-21.666943,
29,37.97557830810547,-18.936962,
30,39.26501393318176,-19.488838,
31,40.5526340007782,-23.337172,
32,41.84036564826965,-20.735264,
33,43.130173206329346,-23.950798,
34,44.41598987579346,-19.400673,
35,45.707701206207275,-23.039064,
36,46.99409508705139,-15.028081,
37,48.28408885002136,-16.293766,
38,49.57112646102905,-18.279888,
39,50.8612322807312,-12.806465,
40,52.150367736816406,-21.084375,
41,53.4413366317749,-17.703354,
42,54.730045795440674,-13.365709,
43,56.02069425582886,-20.154568,
44,57.308990478515625,-8.010879,
45,58.60101628303528,-11.56472,
46,59.89012360572815,-8.7034235,
47,61.18179965019226,-13.251627,
48,62.468568563461304,-9.483874,
49,63.759828090667725,-11.345325,
50,65.04776644706726,-6.3943014,
51,66.34075546264648,-8.757305,
52,67.62908554077148,-8.332174,
53,68.92178750038147,-6.999623,
54,70.20814895629883,-7.1923857,
55,71.50113153457642,-6.363695,
56,72.79156684875488,-7.26884,
57,74.08408117294312,-7.8164682,
58,75.37551188468933,-7.0778704,
59,76.66543364524841,-5.9779067,
