step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,5.614215135574341,-14.828984,
2,6.494584798812866,-14.890425,
3,7.354708671569824,-14.845773,
4,8.21414065361023,-14.679296,
5,9.075369596481323,-14.675062,
6,9.936521530151367,-14.412592,
7,10.795426607131958,-14.046289,
8,11.770610570907593,-13.976549,
9,12.633958578109741,-13.465755,
10,13.497440338134766,-13.137256,
11,14.360282897949219,-12.758915,
12,15.221593856811523,-12.3761635,
13,16.080477714538574,-11.775835,
14,16.93905472755432,-11.472864,
15,17.80107831954956,-11.095148,
16,18.666584730148315,-10.261087,
17,19.526076078414917,-9.423671,
18,20.389873027801514,-10.277128,
19,21.256125450134277,-9.241319,
20,22.122302532196045,-8.673637,
21,22.986522912979126,-8.885467,
22,23.84922957420349,-10.150753,
23,24.71433687210083,-10.073173,
24,25.579648971557617,-10.798548,
25,26.441080331802368,-10.767975,
26,27.304672956466675,-13.132174,
27,28.240612268447876,-12.054812,
28,29.105282068252563,-13.096507,
29,29.965059518814087,-12.954077,
30,30.826292753219604,-14.925045,
31,31.68628430366516,-16.6657,
32,32.54481315612793,-16.611038,
33,33.40257906913757,-17.73149,
34,34.25354552268982,-17.378239,
35,35.105401039123535,-17.277185,
36,35.947298765182495,-19.178001,
37,36.7814359664917,-20.137794,
38,37.611393451690674,-18.957506,
39,38.43501877784729,-20.334667,
40,39.25568962097168,-18.503187,
41,40.0760178565979,-19.422243,
42,40.889798164367676,-18.909275,
43,41.69932556152344,-20.332594,
44,42.50845408439636,-17.803724,
45,43.302167892456055,-21.014416,
46,44.09019136428833,-21.778852,
47,44.874255895614624,-21.138847,
48,45.65294337272644,-21.916447,
49,46.41431379318237,-21.057285,
50,47.1773784160614,-22.528578,
51,47.9349365234375,-20.222424,
52,48.69248652458191,-20.28456,
53,49.43917393684387,-22.050945,
54,50.18233776092529,-21.219349,
55,50.925037145614624,-18.63542,
56,51.664284229278564,-21.028374,
57,52.39614748954773,-19.822186,
58,53.12570762634277,-20.470406,
59,53.85809373855591,-20.417324,
60,54.58116054534912,-17.614548,
61,55.30926775932312,-19.041368,
62,56.03680896759033,-18.934628,
63,56.76625299453735,-20.763954,
64,57.4898407459259,-19.034504,
65,58.226223945617676,-19.645317,
66,58.95302724838257,-16.650784,
67,59.69329762458801,-15.377037,
68,60.43522930145264,-14.3447,
69,61.18202304840088,-13.777398,
70,61.93120312690735,-12.931556,
71,62.68370795249939,-15.271897,
72,63.43610501289368,-19.525763,
73,64.18982529640198,-12.982459,
74,64.94770956039429,-12.950221,
75,65.70922255516052,-15.43404,
76,66.47457981109619,-13.343166,
77,67.23379445075989,-10.71587,
78,67.9981918334961,-16.675179,
79,68.75308418273926,-11.563707,
80,69.51775574684143,-10.714663,
81,70.27141904830933,-10.993418,
82,71.03719305992126,-13.022153,
83,71.79062533378601,-10.375818,
84,72.55903172492981,-11.177189,
85,73.31684398651123,-10.09584,
86,74.07403874397278,-11.597733,
87,74.81613373756409,-10.103034,
88,75.5687141418457,-12.228532,
89,76.32061958312988,-12.510984,
90,77.07001996040344,-8.833846,
91,77.82356524467468,-8.617238,
92,78.56496334075928,-8.340893,
93,79.30800771713257,-10.466448,
94,80.04846596717834,-11.33897,
95,80.777184009552,-9.770139,
96,81.50354528427124,-11.365729,
97,82.23900175094604,-9.2369995,
98,82.97202634811401,-11.372522,
99,83.70219349861145,-9.479173,
100,86.10288429260254,-8.710122,
101,86.83639621734619,-8.567007,
102,87.56707167625427,-8.364561,
103,88.28615260124207,-9.821682,
104,89.01039576530457,-7.148607,
105,89.73497462272644,-6.7955947,
106,90.45458602905273,-8.177722,
107,91.18622612953186,-8.640868,
108,91.90966391563416,-8.80298,
109,92.63276743888855,-7.0944467,
110,93.36451482772827,-8.701788,
111,94.08778214454651,-6.9991856,
112,94.80034041404724,-8.111635,
113,95.51473927497864,-7.717966,
114,96.22954988479614,-7.9752235,
115,96.95087718963623,-9.221353,
116,97.67041301727295,-6.528605,
117,98.39096331596375,-8.535887,
118,99.10017013549805,-7.867722,
119,99.8167793750763,-9.362019,
120,100.54723596572876,-8.1813965,
121,101.26366114616394,-7.353574,
122,101.98241639137268,-7.559022,
123,102.70334219932556,-8.014698,
124,103.4197289943695,-7.100445,
125,104.13811802864075,-7.236455,
126,104.86274433135986,-7.997879,
127,105.57646918296814,-7.492179,
128,106.28962826728821,-6.1318426,
129,107.01035141944885,-6.010945,
130,107.73751926422119,-7.733777,
131,108.463937997818,-7.634301,
132,109.18568658828735,-7.9127274,
133,109.92001008987427,-8.611593,
134,110.67481088638306,-7.1974764,
135,111.41080451011658,-7.2930574,
136,112.14148330688477,-6.694672,
137,112.88605260848999,-7.359543,
138,113.5878312587738,-6.4174976,
139,114.29766583442688,-6.429719,
140,114.99291181564331,-7.784701,
141,115.7126317024231,-6.737221,
142,116.44384622573853,-10.073702,
143,117.20800590515137,-7.490389,
144,117.9633162021637,-6.908858,
145,118.69922184944153,-6.15253,
146,119.43221735954285,-6.462091,
147,120.14915227890015,-6.4755664,
148,120.86668920516968,-6.6795764,
149,121.56645059585571,-5.846523,
150,122.27747702598572,-7.240672,
151,123.00641655921936,-7.3067183,
152,123.73930048942566,-7.3047643,
153,124.48163747787476,-7.1435204,
154,125.21658563613892,-6.260868,
