train_step,log_step_index,expert_0,expert_1
0,0,0.08571429,0.9142857
100,1,0.11111111,0.8888889
200,2,0.11111111,0.8888889
300,3,0.09677419,0.9032258
400,4,0.11811024,0.88188976
500,5,0.104,0.896
600,6,0.050847456,0.9491525
700,7,0.06666667,0.93333334
800,8,0.07053942,0.9294606
900,9,0.05882353,0.9411765
1000,10,0.05882353,0.9411765
1100,11,0.09311741,0.9068826
1200,12,0.08943089,0.91056913
1300,13,0.042735044,0.95726496
1400,14,0.05882353,0.9411765
1500,15,0.0781893,0.9218107
1600,16,0.08571429,0.9142857
1700,17,0.05485232,0.9451477
1800,18,0.03862661,0.9613734
