layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.22286786
input_transformers.layers.0.ffn.gate,1,0.20360926
input_transformers.layers.0.ffn.gate,2,0.14271775
input_transformers.layers.0.ffn.gate,3,0.43080515
input_transformers.layers.1.ffn.gate,0,0.3894184
input_transformers.layers.1.ffn.gate,1,0.074798726
input_transformers.layers.1.ffn.gate,2,0.19465005
input_transformers.layers.1.ffn.gate,3,0.34113282
input_transformers.layers.2.ffn.gate,0,0.17314255
input_transformers.layers.2.ffn.gate,1,0.45128125
input_transformers.layers.2.ffn.gate,2,0.06414248
input_transformers.layers.2.ffn.gate,3,0.31143373
input_transformers.layers.3.ffn.gate,0,0.41883573
input_transformers.layers.3.ffn.gate,1,0.023212612
input_transformers.layers.3.ffn.gate,2,0.11894459
input_transformers.layers.3.ffn.gate,3,0.43900704
input_transformers.layers.4.ffn.gate,0,0.20719664
input_transformers.layers.4.ffn.gate,1,0.07205174
input_transformers.layers.4.ffn.gate,2,0.6678446
input_transformers.layers.4.ffn.gate,3,0.052907016
input_transformers.layers.5.ffn.gate,0,0.11012917
input_transformers.layers.5.ffn.gate,1,0.06872014
input_transformers.layers.5.ffn.gate,2,0.79661566
input_transformers.layers.5.ffn.gate,3,0.02453508
input_transformers.layers.6.ffn.gate,0,0.402639
input_transformers.layers.6.ffn.gate,1,0.043213826
input_transformers.layers.6.ffn.gate,2,0.12256142
input_transformers.layers.6.ffn.gate,3,0.4315857
input_transformers.layers.7.ffn.gate,0,0.07544794
input_transformers.layers.7.ffn.gate,1,0.5075733
input_transformers.layers.7.ffn.gate,2,0.032768793
input_transformers.layers.7.ffn.gate,3,0.38420996
input_transformers.layers.8.ffn.gate,0,0.072599776
input_transformers.layers.8.ffn.gate,1,0.81162953
input_transformers.layers.8.ffn.gate,2,0.07124556
input_transformers.layers.8.ffn.gate,3,0.044525106
input_transformers.layers.9.ffn.gate,0,0.036285788
input_transformers.layers.9.ffn.gate,1,0.099878006
input_transformers.layers.9.ffn.gate,2,0.84412843
input_transformers.layers.9.ffn.gate,3,0.019707717
input_transformers.layers.10.ffn.gate,0,0.5059816
input_transformers.layers.10.ffn.gate,1,0.05853088
input_transformers.layers.10.ffn.gate,2,0.3752972
input_transformers.layers.10.ffn.gate,3,0.060190227
input_transformers.layers.11.ffn.gate,0,0.78244567
input_transformers.layers.11.ffn.gate,1,0.055036727
input_transformers.layers.11.ffn.gate,2,0.121787734
input_transformers.layers.11.ffn.gate,3,0.04072987
