train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.11038961,0.103896104,0.72727275,0.058441557
100,1,0.12751678,0.060402684,0.7516779,0.060402684
200,2,0.17682926,0.07317073,0.68292683,0.067073174
300,3,0.34913793,0.10775862,0.4827586,0.060344826
400,4,0.38325992,0.039647575,0.49339208,0.08370044
500,5,0.35714287,0.03809524,0.53333336,0.071428575
600,6,0.4385965,0.04385965,0.49122807,0.02631579
700,7,0.37254903,0.05882353,0.54901963,0.019607844
800,8,0.24581006,0.06703911,0.6256983,0.061452515
900,9,0.083333336,0.083333336,0.7777778,0.055555556
1000,10,0.050724637,0.10869565,0.8115942,0.028985508
1100,11,0.08163265,0.08163265,0.7619048,0.07482993
1200,12,0.10135135,0.08108108,0.7567568,0.06081081
1300,13,0.086330935,0.05755396,0.8057554,0.05035971
1400,14,0.19760479,0.077844314,0.6706587,0.053892214
1500,15,0.26256984,0.05027933,0.6256983,0.061452515
1600,16,0.29166666,0.041666668,0.5833333,0.083333336
1700,17,0.08695652,0.0942029,0.8115942,0.007246377
1800,18,0.13333334,0.1,0.74666667,0.02
