layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.23892553
input_transformers.layers.0.ffn.gate,1,0.03594731
input_transformers.layers.0.ffn.gate,2,0.021203727
input_transformers.layers.0.ffn.gate,3,0.09411756
input_transformers.layers.0.ffn.gate,4,0.13879848
input_transformers.layers.0.ffn.gate,5,0.10634408
input_transformers.layers.0.ffn.gate,6,0.13659042
input_transformers.layers.0.ffn.gate,7,0.22807287
input_transformers.layers.1.ffn.gate,0,0.4088436
input_transformers.layers.1.ffn.gate,1,0.036181044
input_transformers.layers.1.ffn.gate,2,0.041543573
input_transformers.layers.1.ffn.gate,3,0.15169378
input_transformers.layers.1.ffn.gate,4,0.06030857
input_transformers.layers.1.ffn.gate,5,0.104809776
input_transformers.layers.1.ffn.gate,6,0.11665687
input_transformers.layers.1.ffn.gate,7,0.07996284
input_transformers.layers.2.ffn.gate,0,0.18926087
input_transformers.layers.2.ffn.gate,1,0.0704421
input_transformers.layers.2.ffn.gate,2,0.057264082
input_transformers.layers.2.ffn.gate,3,0.1422192
input_transformers.layers.2.ffn.gate,4,0.051483348
input_transformers.layers.2.ffn.gate,5,0.03158125
input_transformers.layers.2.ffn.gate,6,0.08183476
input_transformers.layers.2.ffn.gate,7,0.3759144
input_transformers.layers.3.ffn.gate,0,0.048083656
input_transformers.layers.3.ffn.gate,1,0.012734611
input_transformers.layers.3.ffn.gate,2,0.06953503
input_transformers.layers.3.ffn.gate,3,0.20772748
input_transformers.layers.3.ffn.gate,4,0.025675824
input_transformers.layers.3.ffn.gate,5,0.121942006
input_transformers.layers.3.ffn.gate,6,0.2343897
input_transformers.layers.3.ffn.gate,7,0.27991176
input_transformers.layers.4.ffn.gate,0,0.043203644
input_transformers.layers.4.ffn.gate,1,0.028705643
input_transformers.layers.4.ffn.gate,2,0.5433523
input_transformers.layers.4.ffn.gate,3,0.0702356
input_transformers.layers.4.ffn.gate,4,0.09403719
input_transformers.layers.4.ffn.gate,5,0.11180712
input_transformers.layers.4.ffn.gate,6,0.046457358
input_transformers.layers.4.ffn.gate,7,0.06220123
input_transformers.layers.5.ffn.gate,0,0.6354349
input_transformers.layers.5.ffn.gate,1,0.035036493
input_transformers.layers.5.ffn.gate,2,0.053054698
input_transformers.layers.5.ffn.gate,3,0.058049668
input_transformers.layers.5.ffn.gate,4,0.05703629
input_transformers.layers.5.ffn.gate,5,0.046952676
input_transformers.layers.5.ffn.gate,6,0.03745978
input_transformers.layers.5.ffn.gate,7,0.07697553
input_transformers.layers.6.ffn.gate,0,0.0517046
input_transformers.layers.6.ffn.gate,1,0.03849542
input_transformers.layers.6.ffn.gate,2,0.042317938
input_transformers.layers.6.ffn.gate,3,0.022697242
input_transformers.layers.6.ffn.gate,4,0.62630975
input_transformers.layers.6.ffn.gate,5,0.015197951
input_transformers.layers.6.ffn.gate,6,0.055181704
input_transformers.layers.6.ffn.gate,7,0.14809544
input_transformers.layers.7.ffn.gate,0,0.076682076
input_transformers.layers.7.ffn.gate,1,0.045437112
input_transformers.layers.7.ffn.gate,2,0.02805924
input_transformers.layers.7.ffn.gate,3,0.042021424
input_transformers.layers.7.ffn.gate,4,0.08724017
input_transformers.layers.7.ffn.gate,5,0.039053943
input_transformers.layers.7.ffn.gate,6,0.060482804
input_transformers.layers.7.ffn.gate,7,0.62102324
input_transformers.layers.8.ffn.gate,0,0.037816532
input_transformers.layers.8.ffn.gate,1,0.033720043
input_transformers.layers.8.ffn.gate,2,0.06354685
input_transformers.layers.8.ffn.gate,3,0.6682991
input_transformers.layers.8.ffn.gate,4,0.05872784
input_transformers.layers.8.ffn.gate,5,0.03199295
input_transformers.layers.8.ffn.gate,6,0.036845546
input_transformers.layers.8.ffn.gate,7,0.06905117
input_transformers.layers.9.ffn.gate,0,0.39001393
input_transformers.layers.9.ffn.gate,1,0.3684718
input_transformers.layers.9.ffn.gate,2,0.035018314
input_transformers.layers.9.ffn.gate,3,0.024504285
input_transformers.layers.9.ffn.gate,4,0.008413799
input_transformers.layers.9.ffn.gate,5,0.11548843
input_transformers.layers.9.ffn.gate,6,0.0266565
input_transformers.layers.9.ffn.gate,7,0.03143293
input_transformers.layers.10.ffn.gate,0,0.01595741
input_transformers.layers.10.ffn.gate,1,0.095230095
input_transformers.layers.10.ffn.gate,2,0.0941522
input_transformers.layers.10.ffn.gate,3,0.060723618
input_transformers.layers.10.ffn.gate,4,0.007846055
input_transformers.layers.10.ffn.gate,5,0.030909285
input_transformers.layers.10.ffn.gate,6,0.65816575
input_transformers.layers.10.ffn.gate,7,0.03701556
input_transformers.layers.11.ffn.gate,0,0.07346026
input_transformers.layers.11.ffn.gate,1,0.038392678
input_transformers.layers.11.ffn.gate,2,0.020469228
input_transformers.layers.11.ffn.gate,3,0.170988
input_transformers.layers.11.ffn.gate,4,0.3887403
input_transformers.layers.11.ffn.gate,5,0.01245718
input_transformers.layers.11.ffn.gate,6,0.27040365
input_transformers.layers.11.ffn.gate,7,0.025088692
