train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.71794873,0.03846154,0.03846154,0.0,0.051282052,0.07692308,0.0,0.07692308
100,1,0.68292683,0.024390243,0.048780486,0.048780486,0.024390243,0.024390243,0.024390243,0.12195122
200,2,0.6292135,0.033707865,0.101123594,0.033707865,0.04494382,0.011235955,0.033707865,0.11235955
300,3,0.53333336,0.057142857,0.06666667,0.08571429,0.04761905,0.08571429,0.06666667,0.057142857
400,4,0.59574467,0.07446808,0.08510638,0.021276595,0.05319149,0.031914894,0.10638298,0.031914894
500,5,0.6086956,0.010869565,0.16304348,0.032608695,0.06521739,0.010869565,0.054347824,0.054347824
600,6,0.70886075,0.03797468,0.025316456,0.06329114,0.03797468,0.03797468,0.03797468,0.050632913
700,7,0.67469877,0.024096385,0.036144577,0.072289154,0.04819277,0.024096385,0.036144577,0.084337346
800,8,0.6511628,0.058139537,0.0,0.023255814,0.046511628,0.10465116,0.011627907,0.10465116
900,9,0.69135803,0.037037037,0.024691358,0.09876543,0.049382716,0.037037037,0.012345679,0.049382716
1000,10,0.68292683,0.024390243,0.048780486,0.036585364,0.12195122,0.048780486,0.0,0.036585364
1100,11,0.56,0.04,0.09,0.06,0.02,0.04,0.04,0.15
1200,12,0.6086956,0.04347826,0.054347824,0.13043478,0.06521739,0.08695652,0.0,0.010869565
1300,13,0.71794873,0.025641026,0.025641026,0.025641026,0.08974359,0.0,0.025641026,0.08974359
1400,14,0.53846157,0.03846154,0.03846154,0.14423077,0.067307696,0.03846154,0.01923077,0.115384616
1500,15,0.5714286,0.020408163,0.020408163,0.030612245,0.05102041,0.08163265,0.1122449,0.1122449
1600,16,0.51376146,0.027522936,0.055045873,0.036697246,0.06422018,0.06422018,0.119266056,0.119266056
1700,17,0.72727275,0.025974026,0.038961038,0.064935066,0.064935066,0.051948052,0.0,0.025974026
1800,18,0.65882355,0.023529412,0.047058824,0.09411765,0.07058824,0.03529412,0.011764706,0.05882353
