step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,4.378555774688721,-14.6402025,
2,5.071738004684448,-14.37517,
3,5.759701728820801,-13.832731,
4,6.4738922119140625,-12.631877,
5,7.158779144287109,-10.44548,
6,7.844117879867554,-7.7429705,
7,8.528988122940063,-4.391436,
8,9.214179039001465,-2.1650226,
9,9.937585592269897,-1.1077265,
10,10.624809980392456,-1.2484086,
11,11.306044816970825,-1.5597851,
12,11.989248752593994,-2.1311839,
13,12.669758319854736,-2.4132926,
14,13.35116720199585,-2.6092417,
15,14.03177809715271,-2.5815208,
16,14.70142912864685,-2.8568497,
17,15.366789817810059,-3.3594866,
18,16.02740478515625,-3.0737624,
19,16.685402631759644,-3.3506052,
20,17.33217191696167,-3.5166197,
21,17.974421977996826,-3.9441285,
22,18.60970687866211,-3.735042,
23,19.23558783531189,-3.794437,
24,19.85419273376465,-4.4917636,
25,20.46212339401245,-4.6845636,
26,21.06626057624817,-4.104322,
27,21.66617774963379,-4.788603,
28,22.263696432113647,-4.2498903,
29,22.862016677856445,-5.2719274,
30,23.457537174224854,-4.287583,
31,24.05272340774536,-4.5961514,
32,24.651302337646484,-5.1154094,
33,25.246434688568115,-5.1439962,
34,25.840819358825684,-4.7552233,
35,26.434279680252075,-6.161168,
36,27.028878450393677,-4.7891603,
37,27.62488627433777,-5.3063097,
38,28.222175359725952,-4.5327,
39,28.818612098693848,-5.7405787,
40,29.41657304763794,-5.05967,
41,30.018365621566772,-5.025275,
42,30.62227153778076,-4.683482,
43,31.236584186553955,-4.0901484,
44,31.8499858379364,-3.7433095,
45,32.463074684143066,-5.02008,
46,33.077545166015625,-3.5920148,
47,33.69218945503235,-4.557413,
48,34.30573797225952,-3.9986024,
49,34.923133850097656,-4.138786,
50,35.53796029090881,-4.116268,
51,36.15393781661987,-5.657822,
52,36.7727689743042,-3.866197,
53,37.391379594802856,-4.040972,
54,38.01179099082947,-4.123844,
55,38.640297651290894,-5.941161,
56,39.27809524536133,-3.472886,
57,39.91594672203064,-3.606377,
58,40.55458736419678,-3.9885697,
59,41.19426131248474,-3.5309796,
60,41.84079313278198,-2.6908998,
61,42.49154877662659,-2.665714,
62,43.15651845932007,-2.6191423,
63,43.830286741256714,-1.643587,
64,44.50450611114502,-1.2520323,
65,45.18103814125061,-1.4912155,
66,45.85908651351929,-4.1197605,
67,46.53830695152283,-2.4147418,
68,47.218467235565186,-1.7744079,
69,47.90146732330322,-1.1339643,
70,48.58533954620361,-1.5264332,
