step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.442075490951538,-13.856001,
2,3.4741344451904297,-14.140359,
3,4.483155250549316,-13.240469,
4,5.492905378341675,-11.7059,
5,6.490914344787598,-9.274918,
6,7.504194021224976,-6.3217897,
7,8.518491506576538,-2.9764395,
8,9.536132574081421,-1.2475533,
9,10.56074857711792,-0.44016242,
10,11.594528198242188,-0.58212596,
11,12.613831043243408,-0.66439813,
12,13.671197175979614,-0.90096885,
13,14.668957948684692,-0.96038276,
14,15.669081211090088,-0.9867133,
15,16.65650749206543,-1.0878243,
16,17.64192485809326,-1.1535794,
17,18.62347960472107,-1.1826025,
18,19.612686157226562,-1.1313568,
19,20.600653409957886,-0.9955715,
20,21.58171033859253,-1.2128838,
21,22.56596088409424,-1.2089972,
22,23.539848804473877,-1.7484655,
23,24.52081561088562,-1.4911256,
24,25.494086265563965,-1.4666088,
25,26.46149444580078,-1.566237,
26,27.4260036945343,-1.3820752,
27,28.405193328857422,-1.6740662,
28,29.377751350402832,-1.4553239,
29,30.340744733810425,-1.533842,
30,31.300937175750732,-1.5475129,
31,32.26913619041443,-1.4626048,
32,33.228782653808594,-1.8702536,
33,34.21318221092224,-1.9425675,
34,35.17042016983032,-2.0225003,
35,36.136985540390015,-1.8778832,
36,37.1071400642395,-1.6707768,
37,38.0586199760437,-1.5331687,
38,39.023666858673096,-1.6259921,
39,40.017436504364014,-1.8464088,
40,40.979862213134766,-1.9764218,
41,41.94773721694946,-1.6698183,
42,42.89690947532654,-2.1287637,
43,43.85619139671326,-1.3616444,
44,44.79854130744934,-1.7867515,
45,45.739800453186035,-2.040675,
46,46.686864614486694,-1.6621218,
47,47.647769927978516,-1.7001737,
48,48.59792900085449,-2.0209057,
49,49.55206918716431,-2.293885,
50,50.50222110748291,-1.7146757,
51,51.461426734924316,-1.7960279,
52,52.42029094696045,-1.6655916,
53,53.384565591812134,-2.2108397,
54,54.34149742126465,-1.7739496,
55,55.307087421417236,-1.7152948,
56,56.30233430862427,-1.5720758,
57,57.266637086868286,-1.7712368,
58,58.21288800239563,-2.052455,
59,59.175092458724976,-1.574043,
60,60.14511489868164,-1.7256969,
61,61.099815130233765,-2.176958,
62,62.061068058013916,-1.701176,
63,63.03563070297241,-2.0437958,
64,63.99611163139343,-2.4886327,
65,64.95921421051025,-1.8085345,
66,65.93365049362183,-1.6147966,
67,66.90906310081482,-1.812807,
68,67.8670666217804,-1.9216685,
69,68.844313621521,-1.4910524,
70,69.8139955997467,-1.4553852,
71,70.78449010848999,-1.6300931,
72,71.75208926200867,-1.6881751,
73,72.72722482681274,-1.2903035,
74,73.70456600189209,-2.695352,
75,74.67965245246887,-2.2384257,
76,75.66436862945557,-1.999033,
77,76.65514731407166,-2.6625195,
78,77.6613781452179,-1.1598192,
79,78.68644046783447,-1.5324078,
80,79.73914575576782,-0.8360798,
81,80.74572467803955,-1.7082701,
82,81.76271319389343,-0.49449503,
83,82.78377723693848,-1.9912452,
84,83.8278284072876,-0.64324236,
85,84.86476278305054,-0.41605866,
86,85.90124368667603,-1.8430463,
87,86.93137383460999,-0.9345688,
88,87.96973872184753,-0.41550133,
89,89.00592613220215,-0.67181605,
90,90.07237815856934,-1.2868456,
91,91.12000060081482,-0.85465974,
92,92.16339993476868,-0.28614235,
93,93.23520255088806,-0.37706953,
94,94.29825353622437,-0.1709724,
95,95.35654211044312,-0.21899648,
96,96.42134523391724,-0.7775911,
97,97.49322271347046,-0.4553359,
98,98.53267168998718,-0.52907133,
99,99.58558440208435,-0.66400254,
100,101.65890383720398,-0.88289905,
101,102.70103120803833,-1.4303864,
102,103.74551820755005,-1.3350383,
103,104.79753279685974,-0.83898175,
104,105.83802604675293,-2.284548,
105,106.8779809474945,-0.73868173,
