step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.6853206157684326,-15.87616,
2,4.449970245361328,-15.967957,
3,6.2867395877838135,-15.9371395,
4,8.126143217086792,-15.873301,
5,9.967935800552368,-15.330139,
6,11.808687448501587,-15.393221,
7,13.650003671646118,-14.877879,
8,15.49373459815979,-14.776106,
9,17.335882663726807,-14.232917,
10,19.178771495819092,-13.851695,
11,21.025054931640625,-13.696733,
12,22.87055802345276,-12.695518,
13,24.718663930892944,-12.653175,
14,26.568168878555298,-12.606521,
15,28.414979219436646,-11.629475,
16,30.265853881835938,-10.193359,
17,32.11468195915222,-9.223237,
18,33.96509766578674,-9.517959,
19,35.81444549560547,-6.598881,
20,37.664883613586426,-8.447816,
21,39.518211364746094,-10.131233,
22,41.371867179870605,-9.517457,
23,43.22313165664673,-12.906475,
24,45.07058596611023,-18.132246,
25,46.9255576133728,-15.598541,
26,48.77701926231384,-14.757537,
27,50.627352476119995,-18.663727,
28,52.47939682006836,-22.523056,
29,54.329108476638794,-21.044233,
30,56.18221664428711,-22.205301,
31,58.03232550621033,-26.699371,
32,59.88638257980347,-23.931435,
33,61.73906350135803,-28.071978,
34,63.5903799533844,-23.294405,
35,65.44315791130066,-28.136744,
36,67.29445481300354,-19.185911,
37,69.14364743232727,-20.781912,
38,70.9973726272583,-22.28286,
39,72.84768223762512,-15.267715,
40,74.69993376731873,-22.920357,
41,76.55308604240417,-19.261063,
42,78.4037675857544,-14.785749,
43,80.25683617591858,-23.940788,
44,82.10889649391174,-12.467456,
45,83.9582724571228,-21.99397,
46,85.8119854927063,-19.61589,
47,87.66074705123901,-25.12437,
48,89.51451110839844,-16.7584,
49,91.3651933670044,-22.06482,
50,93.21501183509827,-13.992817,
51,95.0668888092041,-16.32114,
52,96.91823244094849,-12.753536,
53,98.77323985099792,-16.866543,
54,100.6262879371643,-17.514078,
55,102.47746682167053,-19.416275,
56,104.33024668693542,-21.399763,
57,106.18255972862244,-18.626171,
58,108.03533673286438,-22.365278,
59,109.88879013061523,-20.227774,
60,111.74247360229492,-17.233738,
61,113.59310412406921,-16.918587,
62,115.44685888290405,-14.279596,
63,117.29904556274414,-12.537444,
64,119.15041375160217,-13.128101,
65,121.00314092636108,-17.85424,
66,122.85524106025696,-13.29782,
67,124.70556139945984,-19.15829,
68,126.5592770576477,-23.206774,
69,128.4089159965515,-21.038292,
70,130.2621729373932,-20.109035,
71,132.11685490608215,-15.240989,
72,133.96892189979553,-12.1552,
73,135.82141017913818,-9.46619,
74,137.6750738620758,-10.536971,
75,139.52690362930298,-12.880268,
76,141.38002967834473,-12.392813,
77,143.23444890975952,-14.752515,
78,145.087717294693,-14.257219,
79,146.94017243385315,-19.853985,
80,148.79424118995667,-13.480814,
81,150.64955115318298,-10.693186,
82,152.50156545639038,-8.063766,
83,154.35618782043457,-7.0484877,
84,156.21051955223083,-13.014235,
85,158.0638415813446,-9.468362,
86,159.91776728630066,-13.284988,
87,161.7703230381012,-10.059237,
88,163.6239562034607,-10.084252,
89,165.47827792167664,-8.49604,
90,167.33223962783813,-6.9486938,
91,169.18628454208374,-8.247976,
92,171.03990244865417,-6.003942,
93,172.89260125160217,-6.949053,
94,174.7457559108734,-6.8551507,
95,176.59721541404724,-8.205914,
96,178.4489402770996,-11.278373,
97,180.30389547348022,-6.401703,
98,182.15657544136047,-8.567207,
99,184.01348900794983,-5.336036,
100,185.87170267105103,-6.689907,
101,187.7281310558319,-7.3951354,
102,189.5868158340454,-7.0125184,
103,191.4463906288147,-7.7909765,
104,193.30414748191833,-4.371539,
105,195.16294193267822,-5.0031767,
106,197.02052545547485,-9.24026,
107,198.8788366317749,-6.081526,
108,200.73712134361267,-4.8266215,
109,202.5949251651764,-5.597324,
110,204.45302820205688,-4.8791633,
111,206.311443567276,-4.8323445,
112,208.16931629180908,-6.7322555,
113,210.02573585510254,-6.0687795,
114,211.88404726982117,-5.5133386,
115,213.7403392791748,-5.3182726,
116,215.598797082901,-4.1775146,
117,217.45667481422424,-4.1489906,
118,219.3137481212616,-5.611678,
119,221.17176413536072,-3.8916898,
120,223.03112316131592,-6.5444126,
121,224.8906707763672,-7.368968,
122,226.74861454963684,-3.249047,
123,228.6048069000244,-4.0132732,
124,230.46173214912415,-4.3898525,
125,232.32063508033752,-3.6472883,
126,234.1778438091278,-6.871056,
127,236.03520488739014,-5.2156363,
128,237.89281368255615,-4.816141,
129,239.75164365768433,-4.481194,
130,241.6086184978485,-7.142888,
131,243.46701455116272,-3.9919224,
132,245.3253047466278,-5.049116,
133,247.1830291748047,-5.697399,
134,249.04143142700195,-6.566124,
135,250.89812517166138,-7.2041235,
136,252.75490999221802,-4.438632,
137,254.6109983921051,-6.181357,
138,256.4708456993103,-4.2345214,
139,258.32850527763367,-4.153254,
140,260.18557047843933,-7.2594595,
141,262.04348397254944,-8.48964,
142,263.8999307155609,-3.409667,
143,265.7577154636383,-3.218684,
144,267.6158995628357,-5.4317245,
145,269.475061416626,-3.8578458,
146,271.33484053611755,-3.2907374,
147,273.1941752433777,-5.324652,
148,275.0526747703552,-4.6764507,
149,276.9104404449463,-7.7841544,
150,278.767591714859,-8.046842,
151,280.6229383945465,-4.9983745,
152,282.4814531803131,-4.548092,
153,284.338130235672,-4.761928,
154,286.19631600379944,-7.986664,
155,288.05433773994446,-4.9102817,
156,289.9117591381073,-4.150201,
157,291.77115416526794,-5.6219635,
158,293.6286356449127,-4.7213087,
159,295.4866988658905,-5.031748,
160,297.3449239730835,-4.653181,
161,299.2027087211609,-3.9285185,
162,301.0584421157837,-4.882557,
163,302.91610050201416,-5.2786646,
164,304.77427101135254,-4.378206,
165,306.6323592662811,-3.575201,
166,308.4913160800934,-5.461672,
167,310.3488380908966,-6.1211247,
168,312.2067515850067,-6.565917,
169,314.0644676685333,-6.810856,
170,315.922678232193,-3.2200122,
171,317.7810788154602,-4.886165,
172,319.6399869918823,-3.9099185,
173,321.49853444099426,-4.409489,
174,323.3563220500946,-3.1235611,
175,325.2116684913635,-5.36288,
176,327.06748509407043,-3.6573095,
177,328.92607402801514,-3.266181,
178,330.7830355167389,-4.620697,
179,332.6386709213257,-4.164336,
180,334.49724793434143,-4.494084,
181,336.35737323760986,-4.5602508,
182,338.2156345844269,-3.2664754,
183,340.07243061065674,-3.7888927,
184,341.93199276924133,-8.221307,
185,343.79073333740234,-5.020406,
186,345.6474826335907,-4.8517942,
187,347.5039746761322,-4.570015,
188,349.3603959083557,-4.5217056,
189,351.21955966949463,-2.0588353,
190,353.0765390396118,-2.5224907,
191,354.93156147003174,-3.8567019,
192,356.79124879837036,-3.2531877,
193,358.64893984794617,-4.7577543,
194,360.50748324394226,-2.7399247,
195,362.366005897522,-3.5043504,
196,364.2231414318085,-3.3318903,
197,366.08026456832886,-2.239496,
198,367.9364082813263,-2.1781683,
199,369.7930541038513,-3.0056303,
200,371.6483280658722,-4.406008,
201,373.50510263442993,-3.9458823,
202,375.3650531768799,-6.929662,
203,377.2218017578125,-2.5835993,
204,379.0798816680908,-2.1645072,
205,380.9380614757538,-2.3496099,
206,382.7963225841522,-7.729375,
207,384.6521530151367,-2.534017,
208,386.5090250968933,-2.1814432,
209,388.36659026145935,-6.793731,
210,390.2233877182007,-4.5317106,
211,392.0810618400574,-2.7455468,
212,393.9374768733978,-5.440815,
213,395.795175075531,-5.40174,
214,397.65444135665894,-5.17208,
215,399.5121064186096,-1.7052317,
