step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.389742851257324,-14.576139,
2,3.660235643386841,-14.3314085,
3,4.931682825088501,-14.212187,
4,6.180817604064941,-14.037072,
5,7.456423044204712,-13.610135,
6,8.720324516296387,-12.58633,
7,9.974828243255615,-11.171523,
8,11.270016431808472,-10.309044,
9,12.5169038772583,-10.156601,
10,13.767632246017456,-8.946027,
11,15.037784576416016,-12.023505,
12,16.317481517791748,-9.14871,
13,17.58694100379944,-12.965196,
14,18.852237224578857,-15.804462,
15,20.11578893661499,-15.5617485,
16,21.37097430229187,-15.701124,
17,22.623939037322998,-15.821167,
18,23.8792405128479,-20.336706,
19,25.12323236465454,-12.671317,
20,26.37327551841736,-18.82379,
21,27.61934757232666,-22.88802,
22,28.856117486953735,-18.861935,
23,30.108433723449707,-21.877525,
24,31.35344958305359,-29.246323,
25,32.58503246307373,-19.662811,
26,33.80746364593506,-15.494676,
27,35.02947640419006,-19.2089,
28,36.29471302032471,-21.76886,
29,37.52894997596741,-19.206493,
30,38.76091957092285,-19.099413,
31,40.00136637687683,-23.65467,
32,41.238128900527954,-20.37831,
33,42.501872301101685,-23.325937,
34,43.73872184753418,-17.117474,
35,44.977803468704224,-20.087788,
36,46.22973704338074,-11.553389,
37,47.46693515777588,-13.923113,
38,48.719727516174316,-17.883858,
39,49.96209096908569,-11.0199375,
40,51.20655393600464,-19.80363,
41,52.465357303619385,-13.37721,
42,53.73093557357788,-7.3295264,
43,54.9900438785553,-17.871555,
44,56.25646090507507,-4.9744196,
45,57.56318664550781,-15.904499,
46,58.88673162460327,-13.911209,
47,60.20322275161743,-14.996216,
48,61.467125415802,-8.165917,
49,62.7510347366333,-12.57197,
50,64.01248931884766,-7.2802887,
51,65.27885818481445,-10.403244,
52,66.53959155082703,-8.791959,
53,67.80862259864807,-8.421541,
54,69.07576584815979,-6.5579953,
55,70.35736060142517,-6.2373443,
56,71.61535620689392,-7.000531,
57,72.8912558555603,-6.898124,
58,74.16458225250244,-8.964059,
59,75.43054676055908,-7.50075,
60,76.69888353347778,-8.759687,
61,77.96909785270691,-5.268721,
62,79.24564862251282,-5.148922,
63,80.52886962890625,-4.859848,
64,81.8353259563446,-6.333297,
65,83.1016457080841,-6.66369,
