step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.1937685012817383,-13.972769,
2,3.1905860900878906,-14.203914,
3,4.23262357711792,-13.744686,
4,5.260399580001831,-12.88298,
5,6.294924974441528,-11.434916,
6,7.332967519760132,-9.743591,
7,8.359507322311401,-7.5547585,
8,9.394106149673462,-5.9972706,
9,10.453668594360352,-3.2720723,
10,11.478734016418457,-1.7919226,
11,12.503570795059204,-1.1593716,
12,13.558386087417603,-1.128892,
13,14.594531059265137,-1.710309,
14,15.623781204223633,-2.0216422,
15,16.658335208892822,-1.9873464,
16,17.68282961845398,-1.9094,
17,18.72320866584778,-2.054326,
18,19.75019907951355,-2.8341787,
19,20.787340879440308,-2.6836805,
20,21.810209274291992,-3.3164139,
21,22.821599006652832,-3.124756,
22,23.857587099075317,-3.2371917,
23,24.89451289176941,-3.2591524,
24,25.95417547225952,-3.1492715,
25,26.985963106155396,-3.5891814,
26,27.999815940856934,-4.3842087,
27,29.0059335231781,-3.026485,
28,30.01180911064148,-3.7125506,
29,31.015005111694336,-3.4898589,
30,32.024264335632324,-4.1762886,
31,33.02225685119629,-4.0428762,
32,34.02422046661377,-5.011622,
33,35.01539349555969,-3.0407495,
34,36.01253581047058,-4.0521684,
35,37.02707004547119,-4.808855,
36,38.01309561729431,-4.405641,
37,38.996957778930664,-4.9734488,
38,39.980985164642334,-4.8681107,
39,40.95967888832092,-3.9585943,
40,41.936649560928345,-6.1916256,
41,42.926753282547,-5.7703385,
42,43.914411306381226,-4.161778,
43,44.90816068649292,-4.3231616,
44,45.869056701660156,-4.8874145,
45,46.84552240371704,-4.041909,
46,47.808483362197876,-4.542726,
47,48.78230118751526,-4.2101717,
48,49.765564918518066,-4.6897755,
49,50.73472476005554,-3.680748,
50,51.51358771324158,-4.5441175,
51,52.806841135025024,-4.735952,
52,53.77779197692871,-4.2169504,
53,54.7580029964447,-4.5378036,
54,55.75327777862549,-4.1420164,
55,56.72494292259216,-4.1048627,
56,57.706942319869995,-4.1491394,
57,58.705955028533936,-5.014712,
58,59.68430137634277,-3.521017,
59,60.6663031578064,-4.365348,
60,61.68501329421997,-3.9492097,
61,62.664900064468384,-3.9492598,
62,63.63750386238098,-3.444025,
63,64.62944746017456,-4.603259,
64,65.62872362136841,-4.5700684,
65,66.65839338302612,-4.126257,
66,67.63884139060974,-3.527873,
67,68.62790083885193,-3.4854178,
68,69.62056803703308,-4.4487977,
69,70.61406874656677,-4.102054,
70,71.62397909164429,-4.4896345,
71,72.6408965587616,-4.012303,
72,73.62424755096436,-3.8388448,
73,74.60503506660461,-3.866289,
74,75.58891558647156,-3.659802,
75,76.58830046653748,-3.9586375,
76,77.5726044178009,-4.583614,
77,78.57139587402344,-3.1414413,
78,79.58800339698792,-3.714474,
79,80.57726001739502,-3.367123,
80,81.57052779197693,-4.12811,
81,82.5638153553009,-4.1187882,
82,83.54620695114136,-4.9089985,
83,84.52052927017212,-2.9939537,
84,85.50446915626526,-3.6324694,
85,86.4748809337616,-4.1536703,
86,87.46043539047241,-3.6365116,
87,88.44375944137573,-4.106733,
88,89.4735164642334,-4.0755587,
89,90.46784234046936,-3.4185658,
90,91.47292423248291,-5.2795825,
91,92.4665048122406,-4.767968,
92,93.46800947189331,-3.542698,
93,94.46705651283264,-3.6030245,
94,95.44751954078674,-4.0774674,
95,96.42549014091492,-3.4470491,
96,97.41358375549316,-4.1124606,
97,98.41423892974854,-3.910439,
98,99.44455361366272,-4.215653,
99,100.46132206916809,-3.3019555,
100,102.10240364074707,-4.2236314,
101,103.33326411247253,-4.093294,
102,104.306077003479,-3.8108964,
103,105.28200650215149,-4.0498385,
104,106.25997734069824,-4.011202,
105,107.24432516098022,-3.9094815,
106,108.22492790222168,-3.5840745,
107,109.21546506881714,-4.651851,
108,110.20685124397278,-3.18612,
109,111.20057535171509,-4.0429783,
110,112.20814228057861,-3.512832,
