step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.8825151920318604,-14.6382675,
2,4.647249937057495,-14.268083,
3,6.413158893585205,-14.265688,
4,8.172127723693848,-14.06324,
5,9.9346022605896,-13.619568,
6,11.703063011169434,-12.63793,
7,13.463151454925537,-11.090968,
8,15.229172706604004,-10.25489,
9,16.99568009376526,-10.180735,
10,18.766180753707886,-8.9620495,
11,20.546966314315796,-12.074718,
12,22.313501834869385,-9.133295,
13,24.088581323623657,-12.901052,
14,25.856053352355957,-15.774275,
15,27.62485122680664,-15.613552,
16,29.39185643196106,-15.711683,
17,31.15419101715088,-15.841209,
18,32.91317367553711,-20.313251,
19,34.66257119178772,-12.670196,
20,36.416022539138794,-18.82325,
21,38.161720514297485,-22.941164,
22,39.912672996520996,-18.84574,
23,41.65827536582947,-21.91307,
24,43.3972692489624,-29.19106,
25,45.12249040603638,-19.698076,
26,46.84738063812256,-15.498185,
27,48.56732726097107,-19.206615,
28,50.28521704673767,-21.746647,
29,52.00930166244507,-19.26084,
30,53.72514295578003,-19.138924,
31,55.43330430984497,-23.65921,
32,57.14395785331726,-20.512835,
33,58.8587589263916,-23.329916,
34,60.573280572891235,-17.100409,
35,62.29005527496338,-19.89791,
36,64.00782752037048,-11.650385,
37,65.73311424255371,-13.798696,
38,67.46588397026062,-18.073084,
39,69.19542932510376,-11.07059,
40,70.93059468269348,-20.162848,
41,72.67258095741272,-13.377547,
42,74.41600489616394,-7.481924,
43,76.16427111625671,-18.171402,
44,77.9138514995575,-4.9580026,
45,79.67009043693542,-15.762949,
46,81.42199516296387,-13.311277,
47,83.18139672279358,-14.684242,
48,84.92927050590515,-8.338385,
49,86.68129897117615,-12.162014,
50,88.42464256286621,-7.5837564,
51,90.16951823234558,-10.393115,
52,91.92115998268127,-8.574121,
53,93.67435550689697,-7.740319,
54,95.42082810401917,-6.4926763,
55,97.17601156234741,-6.6213326,
56,98.92326951026917,-7.5724754,
57,100.67383599281311,-7.2079444,
58,102.4152843952179,-8.662048,
59,104.1727237701416,-6.405134,
60,105.92471265792847,-6.963025,
61,107.67635011672974,-4.9849567,
62,109.42250370979309,-4.831735,
63,111.16509532928467,-4.79013,
64,112.907142162323,-6.6746607,
65,114.65246272087097,-7.45575,
66,116.40956020355225,-6.4141464,
67,118.16510796546936,-9.048213,
68,119.91659617424011,-11.109275,
69,121.67676258087158,-8.314496,
70,123.43664407730103,-8.480464,
71,125.19378066062927,-4.830286,
72,126.95528984069824,-4.1562037,
73,128.71230959892273,-4.10813,
74,130.4649419784546,-7.3523836,
75,132.22828364372253,-11.933668,
76,133.99510955810547,-4.346169,
77,135.7575466632843,-4.880622,
78,137.51925897598267,-7.8712616,
79,139.2819950580597,-18.438786,
80,141.0485601425171,-4.9587092,
81,142.81602501869202,-5.3733525,
82,144.57700943946838,-4.9628487,
83,146.344496011734,-4.3756456,
84,148.1096580028534,-13.447971,
85,149.872784614563,-7.2294493,
86,151.64169788360596,-9.941908,
87,153.40798211097717,-6.493495,
88,155.17288637161255,-6.9844627,
89,156.94362688064575,-5.4720535,
90,158.71068286895752,-5.7325315,
91,160.47574853897095,-9.198296,
92,162.23597764968872,-5.340398,
93,164.00690245628357,-5.1186385,
94,165.77983450889587,-5.677002,
95,167.54288816452026,-5.3489647,
96,169.3108582496643,-8.443109,
97,171.0812165737152,-6.0719137,
98,172.84703588485718,-8.81576,
99,174.61364650726318,-5.180131,
100,176.38003420829773,-6.3351,
101,178.14697408676147,-6.5067663,
