step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,23.504919052124023,-14.172597,
2,24.934364557266235,-14.3873625,
3,26.403406858444214,-13.689708,
4,27.883166074752808,-12.732568,
5,29.364530324935913,-11.060152,
6,30.835922241210938,-9.005578,
7,32.313390254974365,-6.6360936,
8,33.79429626464844,-3.9414878,
9,35.27476382255554,-1.6274691,
10,36.7612886428833,-1.188864,
11,38.25061798095703,-1.1789217,
12,39.74775004386902,-1.4011403,
13,41.2479612827301,-1.6831174,
14,42.75136065483093,-1.6939542,
15,44.253594160079956,-2.0962315,
16,45.759681224823,-2.3160481,
17,47.26034116744995,-2.0977445,
18,48.762964725494385,-2.6049542,
19,50.26034379005432,-3.122602,
20,51.76468348503113,-3.044871,
21,53.272889375686646,-3.255282,
22,54.78398537635803,-3.4085035,
23,56.303938150405884,-3.1541235,
24,57.82557916641235,-3.3548725,
25,60.03242635726929,-3.2250674,
26,61.73308348655701,-3.728385,
27,63.25717377662659,-3.961471,
28,64.7911856174469,-4.012731,
29,66.32634735107422,-4.4015,
30,67.85903286933899,-4.3775015,
31,69.3963451385498,-3.7283945,
32,70.93125343322754,-4.837349,
33,72.46767592430115,-4.3543625,
34,74.00642681121826,-4.3237405,
35,75.5556390285492,-4.9339914,
36,77.10630559921265,-4.795184,
37,78.66243481636047,-4.9194307,
38,80.21050715446472,-4.9826584,
39,81.77235245704651,-4.4604363,
40,83.33320426940918,-5.0081735,
41,84.8966875076294,-4.998436,
42,86.46581602096558,-4.133556,
43,88.02949094772339,-4.721064,
44,89.59687376022339,-5.2299976,
45,91.17041611671448,-4.7161074,
46,92.73756766319275,-4.734977,
47,94.30691576004028,-4.770359,
48,95.87588834762573,-4.2822943,
49,97.45171308517456,-4.4460154,
50,98.95301699638367,-4.168724,
51,100.69807004928589,-4.6983047,
52,102.27680659294128,-4.8872423,
53,103.85599446296692,-4.8302584,
54,105.43277621269226,-5.1802764,
55,107.01080822944641,-4.951766,
56,108.59333825111389,-4.089116,
57,110.17924523353577,-5.214904,
58,111.76966333389282,-4.581427,
59,113.35760569572449,-4.42013,
60,114.94889616966248,-4.9018245,
61,116.5406014919281,-4.6076326,
62,118.13204097747803,-4.643414,
63,119.72759628295898,-4.642311,
64,121.33250570297241,-4.131219,
65,122.92283082008362,-4.636138,
66,124.5240204334259,-4.4959307,
67,126.12566113471985,-3.71095,
68,127.73082637786865,-3.575726,
69,129.33436155319214,-2.379631,
70,130.94011616706848,-2.729034,
71,132.53937602043152,-1.663583,
72,134.14911723136902,-1.6101415,
73,135.7607192993164,-1.335039,
74,137.374742269516,-1.0067077,
75,138.8704104423523,-1.1702905,
76,140.63760209083557,-0.8568758,
77,142.22317051887512,-0.83442044,
78,143.80249643325806,-0.90118754,
79,145.39846396446228,-1.3362935,
80,146.99546027183533,-0.72417295,
81,148.5897307395935,-0.52915716,
82,150.18432593345642,-0.8255192,
83,151.77691459655762,-0.6269068,
84,153.37278652191162,-0.6638026,
85,154.97008848190308,-1.0947754,
86,156.57026171684265,-0.73908603,
87,158.16684293746948,-0.7629004,
88,159.7623963356018,-0.612093,
89,161.3615424633026,-0.6048096,
90,162.96382308006287,-0.8724276,
91,164.5678596496582,-0.70367044,
92,166.16329264640808,-0.5168168,
93,167.75968861579895,-0.99722385,
94,169.35423731803894,-0.95679927,
95,170.9557590484619,-0.5921919,
96,172.56060600280762,-0.59217036,
97,174.16872334480286,-0.8897151,
98,175.77435564994812,-0.8031371,
99,177.3779056072235,-0.7686944,
100,179.60631918907166,-1.2376556,
101,181.40292525291443,-0.70143205,
102,183.00496745109558,-1.018338,
103,184.61157631874084,-0.86764735,
104,186.21582913398743,-1.1005955,
105,187.8254837989807,-0.68620855,
106,189.43595480918884,-0.62621903,
107,191.0401155948639,-0.9192556,
108,192.64818382263184,-0.95980155,
109,194.2549319267273,-0.83799326,
110,195.86316084861755,-1.0191163,
111,197.46944403648376,-0.752221,
112,199.08244729042053,-0.8502228,
113,200.68967032432556,-0.770771,
114,202.304790019989,-0.6261548,
115,203.91590309143066,-0.73074853,
116,205.52842450141907,-0.71129,
117,207.1401402950287,-0.65439,
118,208.7576198577881,-0.81501067,
119,210.37102460861206,-0.9483173,
120,211.98781776428223,-0.97003543,
121,213.60418176651,-0.6774018,
122,215.22174072265625,-0.75962365,
123,216.83914351463318,-0.5516162,
124,218.45042824745178,-0.5821998,
125,219.9867582321167,-0.6389316,
126,221.77703428268433,-0.8958255,
127,223.39341378211975,-0.7378356,
128,225.0094029903412,-0.55976975,
129,226.62176036834717,-0.90901744,
130,228.23979020118713,-0.7159963,
131,229.8607988357544,-0.58820593,
132,231.48207926750183,-0.56014204,
133,233.10044503211975,-0.55126464,
134,234.7206952571869,-0.54739684,
135,236.3309326171875,-0.8837942,
136,237.94304847717285,-0.60131216,
137,239.5600299835205,-0.65053916,
138,241.17742729187012,-0.63172877,
139,242.7973117828369,-0.60159934,
140,244.41694974899292,-0.57249856,
141,246.03397035598755,-0.52744436,
142,247.65602016448975,-0.471407,
143,249.28072237968445,-0.58792967,
144,250.90055894851685,-0.8209234,
145,252.51934504508972,-0.5188962,
146,254.13916945457458,-0.5534867,
147,255.76259064674377,-0.64926,
148,257.3882164955139,-0.66318774,
149,259.01644253730774,-0.42956495,
150,260.55427289009094,-0.53893936,
151,262.31916856765747,-0.5070751,
152,263.93627405166626,-0.46498507,
153,265.5512773990631,-0.61466944,
154,267.1737940311432,-0.8456726,
155,268.7902672290802,-0.60031986,
156,270.4106192588806,-0.418595,
157,272.0279026031494,-0.5535858,
158,273.6460769176483,-0.6325711,
159,275.2714695930481,-0.34128773,
160,276.8924493789673,-0.5608716,
161,278.51707315444946,-0.2766385,
162,280.1395733356476,-0.4781732,
163,281.7649931907654,-0.28942853,
164,283.3885431289673,-0.3328889,
165,285.01043367385864,-0.35146585,
166,286.6372277736664,-0.4846529,
167,288.26169776916504,-0.27662492,
168,289.886634349823,-0.50674844,
169,291.50163531303406,-0.58074296,
170,293.1195697784424,-0.45344687,
171,294.7407627105713,-0.43557665,
172,296.3591594696045,-0.3072071,
173,297.97692131996155,-0.46772522,
174,299.59982895851135,-0.4376647,
175,301.1387360095978,-0.3866073,
176,302.9591615200043,-0.42230868,
177,304.5777163505554,-0.37930036,
178,306.2019877433777,-0.33932936,
179,307.8181722164154,-0.3387325,
180,309.4383285045624,-0.33554685,
181,311.0575451850891,-0.4307529,
182,312.674880027771,-0.5354317,
183,314.29370617866516,-0.21275975,
184,315.9165165424347,-0.3643226,
185,317.54192209243774,-0.38848406,
186,319.15933060646057,-0.29790038,
187,320.78013944625854,-0.4752976,
188,322.4060323238373,-0.24499415,
189,324.02691173553467,-0.4517507,
190,325.6519823074341,-0.29092407,
191,327.2774794101715,-0.29291242,
192,328.8986566066742,-0.30470505,
193,330.52915263175964,-0.5435554,
194,332.1542830467224,-0.31248578,
195,333.7812063694,-0.29293457,
196,335.4022545814514,-0.32119668,
197,337.0267617702484,-0.2144309,
198,338.65460658073425,-0.3587463,
199,340.27764225006104,-0.41557473,
200,342.07906126976013,-0.4106484,
201,343.91297149658203,-0.39048263,
202,345.5384895801544,-0.40642112,
203,347.16649413108826,-0.27265787,
204,348.7853708267212,-0.40636218,
205,350.412339925766,-0.51593757,
206,352.03855538368225,-0.32049835,
207,353.6610629558563,-0.34788406,
208,355.2852919101715,-0.29106355,
209,356.91148376464844,-0.36247516,
210,358.5361030101776,-0.3434933,
211,360.1540296077728,-0.31564242,
212,361.7773380279541,-0.32150692,
213,363.406907081604,-0.3240158,
214,365.02894353866577,-0.23881802,
215,366.65079045295715,-0.17545679,
216,368.2762303352356,-0.2592908,
217,369.90006399154663,-0.23460594,
218,371.5253312587738,-0.36192727,
219,373.1559600830078,-0.2634248,
220,374.7849295139313,-0.49960387,
221,376.41847681999207,-0.3881614,
222,378.0422878265381,-0.33296508,
223,379.66899275779724,-0.28072768,
224,381.2948980331421,-0.2490694,
225,382.84491515159607,-0.48485562,
226,384.6810793876648,-0.45492944,
227,386.2972242832184,-0.31783742,
228,387.92282128334045,-0.21052337,
