layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.6444696
input_transformers.layers.0.ffn.gate,1,0.3555304
input_transformers.layers.1.ffn.gate,0,0.8678347
input_transformers.layers.1.ffn.gate,1,0.13216531
input_transformers.layers.2.ffn.gate,0,0.26912686
input_transformers.layers.2.ffn.gate,1,0.73087317
input_transformers.layers.3.ffn.gate,0,0.34914652
input_transformers.layers.3.ffn.gate,1,0.6508535
input_transformers.layers.4.ffn.gate,0,0.25462282
input_transformers.layers.4.ffn.gate,1,0.7453772
input_transformers.layers.5.ffn.gate,0,0.053502314
input_transformers.layers.5.ffn.gate,1,0.94649774
input_transformers.layers.6.ffn.gate,0,0.03320695
input_transformers.layers.6.ffn.gate,1,0.9667932
input_transformers.layers.7.ffn.gate,0,0.88177854
input_transformers.layers.7.ffn.gate,1,0.11822151
input_transformers.layers.8.ffn.gate,0,0.5361833
input_transformers.layers.8.ffn.gate,1,0.4638167
input_transformers.layers.9.ffn.gate,0,0.7565897
input_transformers.layers.9.ffn.gate,1,0.24341026
input_transformers.layers.10.ffn.gate,0,0.0676231
input_transformers.layers.10.ffn.gate,1,0.93237704
input_transformers.layers.11.ffn.gate,0,0.03299112
input_transformers.layers.11.ffn.gate,1,0.967009
