train_step,log_step_index,expert_0,expert_1
0,0,0.90909094,0.09090909
100,1,0.9195402,0.08045977
200,2,0.89385474,0.10614525
300,3,0.9356725,0.064327486
400,4,0.84656084,0.15343915
500,5,0.3469388,0.6530612
600,6,0.5703125,0.4296875
700,7,0.2888889,0.7111111
800,8,0.53515625,0.46484375
900,9,0.5546875,0.4453125
1000,10,0.375,0.625
1100,11,0.60546875,0.39453125
1200,12,0.4765625,0.5234375
1300,13,0.53125,0.46875
1400,14,0.53125,0.46875
1500,15,0.18367347,0.81632656
1600,16,0.13513513,0.8648649
1700,17,0.31034482,0.6896552
1800,18,0.23809524,0.7619048
