step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.965855360031128,-14.281739,
2,3.227682590484619,-14.179122,
3,4.533443927764893,-13.963616,
4,5.839044094085693,-12.789926,
5,7.148695230484009,-11.177463,
6,8.461433410644531,-9.115062,
7,9.754311084747314,-6.6753674,
8,11.084460973739624,-4.689966,
9,12.395697355270386,-1.765672,
10,13.705446481704712,-1.185731,
11,15.01436972618103,-1.2755706,
12,16.329092741012573,-1.4881867,
13,17.6411771774292,-1.6408226,
14,17.78297758102417,-1.6368611,
15,19.44958472251892,-1.9901974,
16,20.759137392044067,-2.156507,
17,22.07508111000061,-2.37163,
18,23.374054431915283,-2.614146,
19,24.70480966567993,-2.5482304,
20,26.02182412147522,-2.8225288,
21,27.33846426010132,-3.221429,
22,28.65671968460083,-3.485208,
23,29.971020936965942,-3.1773536,
24,31.287348747253418,-3.5145645,
25,32.60545372962952,-3.784835,
26,33.92237687110901,-3.8411727,
27,35.23820924758911,-3.7172234,
28,35.380438804626465,-3.5609708,
29,36.99957799911499,-3.8380246,
30,38.32927393913269,-3.8767397,
31,39.64482545852661,-4.0086403,
32,40.963531255722046,-4.175169,
33,42.28155779838562,-3.890262,
34,43.60133981704712,-4.191449,
35,44.917683839797974,-4.6443176,
36,46.23789358139038,-4.924218,
37,47.55451226234436,-4.3796177,
38,48.87398338317871,-4.780061,
39,50.19299626350403,-5.06684,
40,51.50070285797119,-5.0487857,
41,52.83228635787964,-4.8027105,
42,52.97495365142822,-4.5405436,
43,54.615453243255615,-4.818268,
44,55.928943395614624,-4.8037705,
45,57.24901485443115,-4.905488,
46,58.55215239524841,-5.024101,
47,59.882081031799316,-4.614556,
48,61.20831489562988,-4.8964896,
49,62.52673816680908,-5.3409157,
50,63.842005252838135,-5.578722,
51,65.16662073135376,-4.8760614,
52,66.48430395126343,-5.2279496,
53,67.80331611633301,-5.44754,
54,69.12423777580261,-5.33508,
55,70.44499969482422,-4.9907694,
56,70.58644676208496,-4.646981,
57,72.25273966789246,-4.858816,
