layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.5550987
input_transformers.layers.0.ffn.gate,1,0.44490132
input_transformers.layers.1.ffn.gate,0,0.8811386
input_transformers.layers.1.ffn.gate,1,0.118861474
input_transformers.layers.2.ffn.gate,0,0.17334919
input_transformers.layers.2.ffn.gate,1,0.8266508
input_transformers.layers.3.ffn.gate,0,0.23637332
input_transformers.layers.3.ffn.gate,1,0.76362664
input_transformers.layers.4.ffn.gate,0,0.61257404
input_transformers.layers.4.ffn.gate,1,0.38742602
input_transformers.layers.5.ffn.gate,0,0.05457158
input_transformers.layers.5.ffn.gate,1,0.94542843
input_transformers.layers.6.ffn.gate,0,0.03081931
input_transformers.layers.6.ffn.gate,1,0.96918064
input_transformers.layers.7.ffn.gate,0,0.9201638
input_transformers.layers.7.ffn.gate,1,0.07983627
input_transformers.layers.8.ffn.gate,0,0.9291907
input_transformers.layers.8.ffn.gate,1,0.0708093
input_transformers.layers.9.ffn.gate,0,0.18580572
input_transformers.layers.9.ffn.gate,1,0.8141942
input_transformers.layers.10.ffn.gate,0,0.60970694
input_transformers.layers.10.ffn.gate,1,0.39029303
input_transformers.layers.11.ffn.gate,0,0.054590087
input_transformers.layers.11.ffn.gate,1,0.9454098
