train_step,log_step_index,expert_0,expert_1
0,0,0.16120577,0.83879423
100,1,0.15343915,0.84656084
200,2,0.10739191,0.8926081
300,3,0.11966988,0.88033015
400,4,0.12687585,0.8731241
500,5,0.13862719,0.8613728
600,6,0.1160221,0.8839779
700,7,0.15231788,0.8476821
800,8,0.2,0.8
900,9,0.18884665,0.81115335
1000,10,0.17631918,0.8236808
1100,11,0.16010499,0.839895
1200,12,0.18575063,0.81424934
1300,13,0.18781726,0.8121827
1400,14,0.21279213,0.7872079
1500,15,0.2261185,0.7738815
1600,16,0.20792079,0.7920792
1700,17,0.22891566,0.7710843
1800,18,0.24349882,0.7565012
