step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.2363712787628174,-13.915586,
2,1.6965444087982178,-14.093507,
3,2.152585029602051,-13.271315,
4,2.60187029838562,-11.8766,
5,3.060652017593384,-9.3672905,
6,3.5091497898101807,-6.5754433,
7,3.960275411605835,-3.4526474,
8,4.41010046005249,-1.7952046,
9,4.857869863510132,-1.0618027,
10,5.304973125457764,-1.3862572,
11,5.75599479675293,-1.7938793,
12,6.203228235244751,-2.0943942,
13,6.645557165145874,-2.2524924,
14,6.76858925819397,-2.2758057,
15,8.092908382415771,-2.6500928,
16,8.524481773376465,-2.8077452,
17,8.95134449005127,-3.0431142,
18,9.377743005752563,-3.2387056,
19,9.802039384841919,-3.0741816,
20,10.228671550750732,-3.3548772,
21,10.65242338180542,-3.754706,
22,11.072879791259766,-4.0234737,
23,11.492248058319092,-3.6164417,
24,11.905489444732666,-3.9868898,
25,12.322968244552612,-4.281442,
26,12.736451625823975,-4.332678,
27,13.147578716278076,-4.175603,
28,13.26138424873352,-3.9443927,
29,14.583429336547852,-4.2973948,
30,14.98995041847229,-4.3440685,
31,15.395188570022583,-4.502597,
32,15.799874544143677,-4.685656,
33,16.20189332962036,-4.3525896,
34,16.603159189224243,-4.653855,
35,17.004417419433594,-5.112561,
36,17.408369302749634,-5.3592277,
37,17.807758569717407,-4.6722565,
38,18.207900285720825,-5.0058594,
39,18.6061794757843,-5.1655493,
40,19.008140087127686,-5.0332513,
41,19.405159950256348,-4.6710205,
42,19.517576456069946,-3.7434475,
43,20.816203594207764,-4.5494485,
44,21.21156597137451,-4.457303,
45,21.606539249420166,-4.497311,
46,22.002883672714233,-4.624394,
47,22.39687752723694,-4.225152,
48,22.792185306549072,-4.4245467,
49,23.188252687454224,-4.772694,
50,23.58452558517456,-4.8839846,
51,23.98115348815918,-4.119364,
52,24.377155780792236,-4.5662117,
53,24.77480149269104,-4.81089,
54,25.170727491378784,-4.7847285,
55,25.569355726242065,-4.4687533,
56,25.68231225013733,-3.5391624,
57,26.92021894454956,-4.4939203,
58,27.31773591041565,-4.4475346,
59,27.71994161605835,-4.526844,
60,28.118849515914917,-4.5566177,
61,28.519068479537964,-4.1986647,
62,28.918853044509888,-4.336544,
63,29.318905353546143,-4.588461,
64,29.719539642333984,-4.6576304,
65,30.119999885559082,-3.9804184,
66,30.525463819503784,-4.4717607,
67,30.930957078933716,-4.1252904,
68,31.33988380432129,-3.2035508,
69,31.75186276435852,-3.1260118,
70,31.868146181106567,-0.93707144,
71,33.17056345939636,-1.3066837,
72,33.58854579925537,-2.8054585,
73,34.009793758392334,-2.5509374,
74,34.43715786933899,-1.3392501,
75,34.86487817764282,-0.98131603,
76,35.28999733924866,-0.6386822,
77,35.714736223220825,-1.9556792,
78,36.13965177536011,-2.0681577,
79,36.56569695472717,-1.0029628,
80,36.99133634567261,-1.1092501,
81,37.41873121261597,-1.1008309,
82,37.84457564353943,-0.90471065,
83,38.271148443222046,-0.9930033,
84,38.39251470565796,-0.9265902,
85,39.735191822052,-0.9935986,
86,40.163434743881226,-0.967882,
87,40.588725566864014,-0.9646842,
88,41.01768231391907,-1.0521836,
89,41.44696545600891,-0.907814,
90,41.87695074081421,-1.1343943,
91,42.306126832962036,-1.2089216,
92,42.73604083061218,-1.5524457,
93,43.16698598861694,-1.0459914,
94,43.600127935409546,-1.1746792,
95,44.0332453250885,-1.2155788,
96,44.465256690979004,-1.0558002,
97,44.89819550514221,-1.0306964,
98,45.02013850212097,-0.84180844,
99,46.34906506538391,-1.020716,
100,47.43479681015015,-1.0625378,
101,47.86746335029602,-1.0066016,
102,48.298388719558716,-1.2070863,
103,48.73021459579468,-1.1321056,
104,49.1629741191864,-1.1176627,
105,49.59567189216614,-1.2137419,
106,50.02821636199951,-1.70409,
107,50.45983958244324,-0.9129971,
108,50.892993450164795,-1.1145865,
109,51.326882123947144,-1.1457065,
110,51.75981521606445,-1.102074,
111,52.193851709365845,-1.0987668,
112,52.31711006164551,-0.6935238,
113,53.648459911346436,-0.8724893,
114,54.079697370529175,-0.68975306,
115,54.51400399208069,-0.7249913,
116,54.94727969169617,-0.7390087,
117,55.38024592399597,-0.7753387,
118,55.8132586479187,-0.67674536,
119,56.2462739944458,-0.98662966,
120,56.679267168045044,-1.207686,
121,57.11233735084534,-0.63144255,
122,57.54620695114136,-0.75637275,
123,57.97853660583496,-0.72261226,
124,58.41180443763733,-0.8657322,
125,58.845064878463745,-0.65676373,
126,58.96725583076477,-0.65297234,
127,60.2888867855072,-0.7024968,
128,60.72114562988281,-0.6813111,
129,61.15404748916626,-1.0106727,
130,61.587462425231934,-0.7751679,
131,62.01986908912659,-0.66509396,
132,62.45361661911011,-0.72295666,
133,62.885982036590576,-0.804746,
134,63.319332122802734,-1.1193328,
135,63.75091791152954,-0.68037397,
136,64.18373465538025,-0.6267248,
137,64.6166582107544,-0.7222973,
138,65.0505633354187,-0.56543434,
139,65.48495745658875,-0.68901193,
140,65.60844159126282,-0.30396304,
141,66.95820951461792,-0.90992,
142,67.38979458808899,-0.7419955,
143,67.82200980186462,-0.9312569,
144,68.25441527366638,-0.79682976,
