train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.042035397,0.03761062,0.017699115,0.050884955,0.3960177,0.044247787,0.3960177,0.015486726
100,1,0.042410713,0.04017857,0.03794643,0.035714287,0.39955357,0.02232143,0.39955357,0.02232143
200,2,0.019911505,0.07079646,0.06637168,0.03539823,0.3960177,0.055309735,0.30752212,0.048672568
300,3,0.019417476,0.041262135,0.053398058,0.014563107,0.43446603,0.03883495,0.34951457,0.048543688
400,4,0.0,0.022332506,0.029776676,0.049627792,0.44416875,0.039702233,0.32754344,0.08684864
500,5,0.01268499,0.014799154,0.057082452,0.05073996,0.37843552,0.07610994,0.37843552,0.031712472
600,6,0.009803922,0.019607844,0.05882353,0.029411765,0.43137255,0.078431375,0.30392158,0.068627454
700,7,0.01183432,0.03846154,0.0739645,0.03846154,0.5295858,0.15088758,0.09171598,0.06508876
800,8,0.024813896,0.024813896,0.05459057,0.029776676,0.44416875,0.15632755,0.21091811,0.05459057
900,9,0.015025042,0.033388983,0.046744574,0.023372287,0.29883137,0.29883137,0.24874792,0.03505843
1000,10,0.00931677,0.02173913,0.0931677,0.03416149,0.55590063,0.10248447,0.05900621,0.124223605
1100,11,0.0,0.005540166,0.05540166,0.030470913,0.49584487,0.06648199,0.13296399,0.2132964
1200,12,0.006637168,0.015486726,0.06415929,0.03539823,0.3960177,0.059734512,0.36283186,0.059734512
1300,13,0.011904762,0.0,0.083333336,0.05952381,0.52380955,0.011904762,0.1904762,0.11904762
1400,14,0.0025252525,0.017676767,0.0959596,0.012626262,0.4520202,0.012626262,0.28787878,0.11868687
1500,15,0.003236246,0.03236246,0.1197411,0.03236246,0.579288,0.06472492,0.03883495,0.12944984
1600,16,0.0056980057,0.017094018,0.10826211,0.025641026,0.5099715,0.07977208,0.094017096,0.15954416
1700,17,0.0063091484,0.018927446,0.09148265,0.018927446,0.5646688,0.07255521,0.07886435,0.14826499
1800,18,0.00591716,0.00591716,0.0739645,0.03550296,0.5295858,0.14201184,0.06804734,0.13905326
