layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.5555694
input_transformers.layers.0.ffn.gate,1,0.4444306
input_transformers.layers.1.ffn.gate,0,0.8891219
input_transformers.layers.1.ffn.gate,1,0.110878155
input_transformers.layers.2.ffn.gate,0,0.1912584
input_transformers.layers.2.ffn.gate,1,0.8087415
input_transformers.layers.3.ffn.gate,0,0.23342925
input_transformers.layers.3.ffn.gate,1,0.7665708
input_transformers.layers.4.ffn.gate,0,0.6770384
input_transformers.layers.4.ffn.gate,1,0.3229616
input_transformers.layers.5.ffn.gate,0,0.070828065
input_transformers.layers.5.ffn.gate,1,0.92917204
input_transformers.layers.6.ffn.gate,0,0.04055348
input_transformers.layers.6.ffn.gate,1,0.95944655
input_transformers.layers.7.ffn.gate,0,0.7478128
input_transformers.layers.7.ffn.gate,1,0.25218722
input_transformers.layers.8.ffn.gate,0,0.8935274
input_transformers.layers.8.ffn.gate,1,0.106472634
input_transformers.layers.9.ffn.gate,0,0.49271855
input_transformers.layers.9.ffn.gate,1,0.5072815
input_transformers.layers.10.ffn.gate,0,0.08512771
input_transformers.layers.10.ffn.gate,1,0.91487235
input_transformers.layers.11.ffn.gate,0,0.05009039
input_transformers.layers.11.ffn.gate,1,0.9499096
