train_step,log_step_index,expert_0,expert_1
0,0,0.6113281,0.38867188
100,1,0.875513,0.124487005
200,2,0.7025247,0.2974753
300,3,0.839895,0.16010499
400,4,0.9026798,0.09732017
500,5,0.85561496,0.14438502
600,6,0.8839779,0.1160221
700,7,0.89385474,0.10614525
800,8,0.9052334,0.09476662
900,9,0.90014064,0.09985935
1000,10,0.64581233,0.3541877
1100,11,0.03323263,0.9667674
1200,12,0.072463766,0.92753625
1300,13,0.024390243,0.9756098
1400,14,0.096045196,0.9039548
1500,15,0.069767445,0.9302326
1600,16,0.016897082,0.9831029
1700,17,0.016897082,0.9831029
1800,18,0.015384615,0.9846154
