layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.2660181
input_transformers.layers.0.ffn.gate,1,0.19828834
input_transformers.layers.0.ffn.gate,2,0.14761846
input_transformers.layers.0.ffn.gate,3,0.3880751
input_transformers.layers.1.ffn.gate,0,0.29084715
input_transformers.layers.1.ffn.gate,1,0.080931194
input_transformers.layers.1.ffn.gate,2,0.2974773
input_transformers.layers.1.ffn.gate,3,0.33074445
input_transformers.layers.2.ffn.gate,0,0.38703862
input_transformers.layers.2.ffn.gate,1,0.18076226
input_transformers.layers.2.ffn.gate,2,0.15211686
input_transformers.layers.2.ffn.gate,3,0.2800822
input_transformers.layers.3.ffn.gate,0,0.6860052
input_transformers.layers.3.ffn.gate,1,0.021592421
input_transformers.layers.3.ffn.gate,2,0.23971269
input_transformers.layers.3.ffn.gate,3,0.052689597
input_transformers.layers.4.ffn.gate,0,0.38682154
input_transformers.layers.4.ffn.gate,1,0.06736017
input_transformers.layers.4.ffn.gate,2,0.4947806
input_transformers.layers.4.ffn.gate,3,0.051037673
input_transformers.layers.5.ffn.gate,0,0.071670786
input_transformers.layers.5.ffn.gate,1,0.06566384
input_transformers.layers.5.ffn.gate,2,0.81592125
input_transformers.layers.5.ffn.gate,3,0.046744265
input_transformers.layers.6.ffn.gate,0,0.18425186
input_transformers.layers.6.ffn.gate,1,0.06370285
input_transformers.layers.6.ffn.gate,2,0.17677467
input_transformers.layers.6.ffn.gate,3,0.57527053
input_transformers.layers.7.ffn.gate,0,0.1574485
input_transformers.layers.7.ffn.gate,1,0.32693917
input_transformers.layers.7.ffn.gate,2,0.031892926
input_transformers.layers.7.ffn.gate,3,0.48371947
input_transformers.layers.8.ffn.gate,0,0.038827203
input_transformers.layers.8.ffn.gate,1,0.8228804
input_transformers.layers.8.ffn.gate,2,0.118865706
input_transformers.layers.8.ffn.gate,3,0.019426739
input_transformers.layers.9.ffn.gate,0,0.041113675
input_transformers.layers.9.ffn.gate,1,0.07164513
input_transformers.layers.9.ffn.gate,2,0.8208137
input_transformers.layers.9.ffn.gate,3,0.06642745
input_transformers.layers.10.ffn.gate,0,0.44285372
input_transformers.layers.10.ffn.gate,1,0.03134994
input_transformers.layers.10.ffn.gate,2,0.44582236
input_transformers.layers.10.ffn.gate,3,0.07997403
input_transformers.layers.11.ffn.gate,0,0.7836025
input_transformers.layers.11.ffn.gate,1,0.049142335
input_transformers.layers.11.ffn.gate,2,0.1317997
input_transformers.layers.11.ffn.gate,3,0.035455476
