train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.41712707,0.064917125,0.44198895,0.07596685
100,1,0.3360927,0.08609272,0.5298013,0.048013244
200,2,0.41517857,0.065476194,0.47619048,0.04315476
300,3,0.16934046,0.09803922,0.57040995,0.16221035
400,4,0.39821693,0.068350665,0.4754829,0.05794948
500,5,0.41949153,0.074858755,0.4519774,0.053672317
600,6,0.4037267,0.0931677,0.49689442,0.0062111802
700,7,0.45007032,0.05766526,0.45007032,0.042194095
800,8,0.45779684,0.06437768,0.43776825,0.040057223
900,9,0.41678938,0.066273935,0.4712813,0.045655377
1000,10,0.4513399,0.060648803,0.4513399,0.036671367
1100,11,0.3747927,0.049751244,0.53067994,0.04477612
1200,12,0.37641358,0.0549273,0.5169628,0.051696286
1300,13,0.33783785,0.10135135,0.5405405,0.02027027
1400,14,0.44817927,0.04901961,0.44817927,0.05462185
1500,15,0.33846155,0.06153846,0.5470086,0.052991454
1600,16,0.33506945,0.0625,0.5555556,0.046875
1700,17,0.39302695,0.05229794,0.5071315,0.04754358
1800,18,0.4106583,0.04858934,0.5015674,0.039184954
