step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.94534969329834,-14.157318,
2,4.3384623527526855,-14.346892,
3,5.786708354949951,-13.737219,
4,7.226553916931152,-12.745586,
5,8.66962456703186,-11.024757,
6,10.096224784851074,-9.050863,
7,11.063153743743896,-6.497148,
8,13.27737832069397,-4.1888146,
9,14.719501256942749,-1.7783005,
10,16.17785406112671,-1.1165576,
11,17.636380672454834,-1.2425451,
12,19.07518219947815,-1.3999405,
13,20.532032012939453,-1.7323809,
14,21.398165225982666,-1.75741,
15,23.71772575378418,-1.990207,
16,25.174787998199463,-2.2801642,
17,26.617070198059082,-2.4039307,
18,28.053104400634766,-2.753648,
19,29.5088312625885,-2.8067253,
20,30.955414295196533,-3.1885223,
21,31.80001735687256,-2.938966,
22,33.961801528930664,-3.1071644,
23,35.42341089248657,-3.365758,
24,36.882046937942505,-3.368085,
25,38.320828676223755,-3.69066,
26,39.78069496154785,-3.6540399,
27,41.22926926612854,-4.0414743,
28,42.081284284591675,-3.6339493,
29,44.34985423088074,-3.7909083,
30,45.80832242965698,-4.056047,
31,47.24685287475586,-4.019256,
32,48.70704770088196,-4.366766,
33,50.16351890563965,-4.294881,
34,51.60271072387695,-4.7130966,
35,52.460880517959595,-4.207533,
36,54.738795042037964,-4.359871,
37,56.18288826942444,-4.630377,
38,57.638649702072144,-4.55093,
39,59.07736349105835,-4.91026,
40,60.53703784942627,-4.7923565,
41,61.99149990081787,-5.218192,
42,62.84760332107544,-4.6262007,
43,64.98576545715332,-4.751655,
44,66.44451808929443,-5.010551,
45,67.89248728752136,-4.8877535,
46,69.32903289794922,-5.2326713,
47,70.77917647361755,-5.0674863,
48,72.22925615310669,-5.46801,
49,73.08490800857544,-4.8061247,
50,75.212890625,-4.8948584,
51,76.65087151527405,-5.122166,
52,78.10866165161133,-4.954071,
53,79.56541347503662,-5.260748,
54,81.00752544403076,-5.054022,
55,82.47059082984924,-5.409459,
56,83.33890891075134,-4.7154655,
57,85.47039246559143,-4.7667418,
58,86.92084169387817,-4.951513,
59,88.3526680469513,-4.76347,
60,89.8066418170929,-5.03601,
61,91.26612758636475,-4.824995,
62,92.70903778076172,-5.158243,
63,93.56747198104858,-4.50449,
64,95.72442483901978,-4.570053,
65,97.17935633659363,-4.7766223,
66,98.61257433891296,-4.636818,
67,100.07222557067871,-4.947905,
68,101.53041768074036,-4.7774434,
69,102.97427535057068,-5.1501985,
70,103.8508231639862,-4.527095,
71,106.00014233589172,-4.618343,
72,107.16448211669922,-4.8520565,
73,108.37487387657166,-4.719571,
74,109.59814500808716,-5.042868,
75,110.8302493095398,-4.873495,
76,111.97651147842407,-5.2512336,
77,112.70893955230713,-4.608026,
78,114.6443099975586,-4.690632,
79,115.87426781654358,-4.914768,
80,117.09724044799805,-4.771397,
81,118.33218121528625,-5.077856,
82,119.56397819519043,-4.8888893,
83,120.79560327529907,-5.24466,
84,121.52382111549377,-4.5853133,
85,123.54218196868896,-4.651813,
86,124.77330088615417,-4.8626795,
87,126.0180115699768,-4.7156477,
88,127.25738596916199,-5.020291,
89,128.50025081634521,-4.830927,
90,129.58850765228271,-5.175273,
91,130.3281865119934,-4.5267167,
92,132.3745141029358,-4.602201,
93,133.6150815486908,-4.828614,
94,134.8443958759308,-4.7002335,
95,136.0861258506775,-5.02164,
96,137.3198869228363,-4.837879,
97,138.55992698669434,-5.1930423,
98,139.2946150302887,-4.546697,
99,141.24948263168335,-4.628832,
100,142.71995186805725,-4.865711,
101,143.8877203464508,-4.7378416,
102,145.12753820419312,-5.053248,
103,146.36086010932922,-4.8554173,
104,147.58302855491638,-5.19127,
105,148.20481848716736,-4.536916,
106,150.1464548110962,-4.616699,
107,151.37642335891724,-4.8477163,
108,152.60520720481873,-4.719512,
109,153.84912610054016,-5.0248055,
110,155.07846188545227,-4.8202734,
