layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.58141446
input_transformers.layers.0.ffn.gate,1,0.41858554
input_transformers.layers.1.ffn.gate,0,0.8897335
input_transformers.layers.1.ffn.gate,1,0.11026661
input_transformers.layers.2.ffn.gate,0,0.0764572
input_transformers.layers.2.ffn.gate,1,0.9235429
input_transformers.layers.3.ffn.gate,0,0.5678033
input_transformers.layers.3.ffn.gate,1,0.43219668
input_transformers.layers.4.ffn.gate,0,0.6319605
input_transformers.layers.4.ffn.gate,1,0.3680395
input_transformers.layers.5.ffn.gate,0,0.06697272
input_transformers.layers.5.ffn.gate,1,0.93302727
input_transformers.layers.6.ffn.gate,0,0.03808017
input_transformers.layers.6.ffn.gate,1,0.9619199
input_transformers.layers.7.ffn.gate,0,0.88201183
input_transformers.layers.7.ffn.gate,1,0.11798822
input_transformers.layers.8.ffn.gate,0,0.27668998
input_transformers.layers.8.ffn.gate,1,0.72331
input_transformers.layers.9.ffn.gate,0,0.26687944
input_transformers.layers.9.ffn.gate,1,0.73312056
input_transformers.layers.10.ffn.gate,0,0.688868
input_transformers.layers.10.ffn.gate,1,0.31113204
input_transformers.layers.11.ffn.gate,0,0.035540532
input_transformers.layers.11.ffn.gate,1,0.9644595
