train_step,log_step_index,expert_0,expert_1
0,0,1.0,0.0
100,1,0.9005025,0.09949749
200,2,0.90413725,0.09586277
300,3,0.9059656,0.09403438
400,4,0.8827586,0.11724138
500,5,0.05185185,0.94814813
600,6,0.06666667,0.93333334
700,7,0.049840935,0.9501591
800,8,0.049840935,0.9501591
900,9,0.04883227,0.9511677
1000,10,0.04375667,0.95624334
1100,11,0.04477612,0.95522386
1200,12,0.047821466,0.95217854
1300,13,0.03862661,0.9613734
1400,14,0.04477612,0.95522386
1500,15,0.047821466,0.95217854
1600,16,0.049840935,0.9501591
1700,17,0.03655914,0.96344084
1800,18,0.042735044,0.95726496
