step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.715603828430176,-16.219864,
2,5.753943681716919,-16.074665,
3,7.563241958618164,-15.376041,
4,9.374409675598145,-13.430908,
5,11.165883779525757,-11.058031,
6,12.982596158981323,-8.128111,
7,14.347564697265625,-4.598667,
8,16.87221598625183,-1.805892,
9,18.68549942970276,-1.1074691,
10,20.475337743759155,-1.2634794,
11,22.292855501174927,-1.6225731,
12,24.111882209777832,-1.8401855,
13,25.91518998146057,-2.2623973,
14,27.01859402656555,-2.2124658,
15,39.56961131095886,-2.4598799,
16,41.37649369239807,-2.781737,
17,43.153053760528564,-2.8596213,
18,44.93651843070984,-3.1990175,
19,46.69971036911011,-3.2054605,
20,48.48603129386902,-3.576184,
21,49.55863833427429,-3.2169368,
22,52.08199167251587,-3.3570657,
23,53.83641982078552,-3.596541,
24,55.56249952316284,-3.5620682,
25,57.291003942489624,-3.8822694,
26,59.04804253578186,-3.8264668,
27,60.77745056152344,-4.215108,
28,61.86316180229187,-3.776783,
29,64.24775171279907,-3.9260075,
30,65.97689294815063,-4.1923313,
31,67.73020505905151,-4.140094,
32,69.47429370880127,-4.488714,
33,71.2078948020935,-4.407182,
34,72.95230269432068,-4.825222,
35,74.01910185813904,-4.294493,
36,76.55193781852722,-4.438027,
37,78.29242873191833,-4.707449,
38,80.04379367828369,-4.6192226,
39,81.77035593986511,-4.9721985,
40,83.50414228439331,-4.8454447,
41,85.26407790184021,-5.2598786,
42,86.32318925857544,-4.6563263,
43,88.84617877006531,-4.772089,
44,90.59594511985779,-5.0214286,
45,92.32563805580139,-4.8891487,
46,94.05407619476318,-5.217828,
47,95.81517148017883,-5.0391245,
48,97.5458517074585,-5.418089,
49,98.62062811851501,-4.7445498,
50,101.14126300811768,-4.8115644,
51,102.8638608455658,-5.010791,
52,104.59066557884216,-4.8288565,
53,106.343088388443,-5.099779,
54,108.0766499042511,-4.8748035,
55,109.8064706325531,-5.1901865,
56,110.87738418579102,-4.5087137,
57,113.45435357093811,-4.550029,
58,115.18101716041565,-4.7401104,
59,116.90873646736145,-4.5903206,
60,118.65693211555481,-4.8918386,
61,120.38256859779358,-4.7217984,
62,122.10937690734863,-5.0796127,
63,123.18414521217346,-4.452634,
64,125.67141246795654,-4.533531,
65,127.39326238632202,-4.7588763,
66,129.12311363220215,-4.634065,
67,130.86894822120667,-4.9564085,
68,132.5957179069519,-4.7887306,
69,134.25978779792786,-5.152108,
70,134.99043250083923,-4.5144663,
71,137.03470921516418,-4.5940866,
72,138.26557803153992,-4.815523,
73,139.5065586566925,-4.6829033,
74,140.73254561424255,-4.9925947,
75,141.96120834350586,-4.809472,
76,143.18400526046753,-5.151905,
77,144.1420226097107,-4.498405,
78,146.09990191459656,-4.5617323,
79,147.3418529033661,-4.781066,
80,148.5728235244751,-4.647126,
81,149.79215216636658,-4.9506884,
82,151.01368761062622,-4.7545033,
83,152.2462022304535,-5.080568,
84,153.00423169136047,-4.4282017,
85,155.09909510612488,-4.5044727,
86,156.32302713394165,-4.744607,
87,157.5516231060028,-4.6333566,
88,158.77456903457642,-4.9470634,
89,159.99815225601196,-4.7501955,
90,161.2209072113037,-5.067602,
91,161.98296809196472,-4.4188285,
92,164.0999858379364,-4.5117693,
93,165.32594394683838,-4.7659307,
94,166.54835057258606,-4.655984,
95,167.77316617965698,-4.953407,
96,169.01327562332153,-4.7324505,
97,170.23784756660461,-5.033372,
98,170.99299812316895,-4.392368,
99,179.46104669570923,-4.5060034,
100,181.41262793540955,-4.7689657,
101,182.6397213935852,-4.647433,
102,183.87858819961548,-4.923343,
103,185.10520434379578,-4.6893163,
104,186.3334197998047,-4.9998274,
105,187.09254145622253,-4.385183,
106,189.21467185020447,-4.5142393,
107,190.44507122039795,-4.7739964,
108,191.6747636795044,-4.6400642,
109,192.9061200618744,-4.9137735,
110,194.1448221206665,-4.6857953,
111,195.3650860786438,-5.0068126,
112,196.11632895469666,-4.388272,
113,198.09156775474548,-4.511587,
114,199.31121945381165,-4.7651224,
115,200.53388857841492,-4.6293273,
116,201.75704312324524,-4.9011383,
117,202.99700260162354,-4.673813,
118,204.22599506378174,-4.98891,
119,204.97668290138245,-4.370341,
120,206.94393587112427,-4.4978538,
121,208.17688298225403,-4.754426,
122,209.40768194198608,-4.620018,
123,210.64374709129333,-4.8879213,
124,211.87446904182434,-4.656473,
125,213.0983772277832,-4.9754515,
126,213.85151147842407,-4.362275,
127,215.91221165657043,-4.4888544,
128,217.1383101940155,-4.737547,
129,218.36609435081482,-4.5902452,
130,219.58817863464355,-4.846893,
131,220.82748317718506,-4.618614,
132,222.05289435386658,-4.937817,
133,222.80645036697388,-4.3317003,
134,224.8073272705078,-4.449877,
135,226.05984783172607,-4.655094,
136,227.3112096786499,-4.4588823,
137,228.5709478855133,-4.6712017,
138,229.82038617134094,-4.452977,
139,231.08071041107178,-4.8362722,
140,231.84908652305603,-3.7086442,
141,233.94788575172424,-2.7913585,
142,235.20762634277344,-2.515311,
143,236.48070526123047,-5.0301037,
144,237.73852062225342,-5.5112896,
145,238.99602580070496,-5.4650946,
146,240.2284140586853,-5.5836134,
147,240.99061822891235,-4.602605,
148,243.03886461257935,-4.412124,
149,244.29461550712585,-4.5262337,
150,245.54059433937073,-4.4233427,
151,246.79883670806885,-4.7468753,
152,248.04309105873108,-3.8561225,
153,249.30381417274475,-2.7060018,
154,250.06971263885498,-1.261759,
155,252.09034156799316,-0.6087216,
156,253.34497165679932,-0.6259203,
157,254.6053364276886,-0.67941266,
158,255.8661596775055,-1.0974209,
159,257.1191234588623,-0.9207306,
160,258.3735947608948,-1.0452437,
161,259.1378102302551,-0.7009536,
162,261.29892587661743,-0.5528964,
163,262.5471987724304,-0.60520756,
164,263.80664896965027,-0.66220695,
165,265.0567526817322,-0.6159717,
166,266.31600427627563,-0.6911893,
167,267.5655314922333,-0.633227,
168,268.33778190612793,-0.60590893,
169,270.1891350746155,-0.58374864,
170,270.92833614349365,-0.5718242,
171,271.67089080810547,-0.6061509,
172,272.4098536968231,-0.80485296,
173,273.1520540714264,-0.7907738,
174,273.8916311264038,-0.62706774,
175,274.3361394405365,-0.73971903,
176,275.8744795322418,-0.60189337,
177,276.61426186561584,-0.6247968,
178,277.3562219142914,-0.5932603,
179,278.09738993644714,-0.65730596,
180,278.83681440353394,-0.6228317,
181,279.5786609649658,-0.65886486,
182,280.02299213409424,-0.55586684,
183,281.58257389068604,-0.5326734,
184,282.3228404521942,-0.5145031,
185,283.0645625591278,-0.54610914,
186,283.8053529262543,-0.66651237,
187,284.5458402633667,-0.6790563,
188,285.28622698783875,-0.6104143,
189,285.73071002960205,-0.5862261,
190,287.279177904129,-0.6010579,
191,288.01887249946594,-0.57880896,
192,288.75909423828125,-0.5237576,
193,289.4997169971466,-0.6309891,
194,290.240003824234,-0.7373694,
195,290.9788701534271,-0.69973683,
196,291.42485642433167,-0.6386701,
197,292.968364238739,-0.6742429,
198,293.70764780044556,-0.5113719,
199,294.44678950309753,-0.56209314,
200,295.65431785583496,-0.6805594,
201,296.39417910575867,-0.6576035,
202,297.1340925693512,-0.6792257,
203,297.5783169269562,-0.619547,
204,299.1503508090973,-0.5500255,
205,299.8904564380646,-0.58462584,
206,300.62842321395874,-0.5531184,
207,301.3687300682068,-0.6028254,
208,302.1093900203705,-0.6612046,
209,302.84865617752075,-0.6830438,
210,303.29327917099,-0.46878856,
211,304.8526575565338,-0.5638405,
212,305.5902965068817,-0.61967677,
213,306.3302004337311,-0.59810543,
214,307.06994104385376,-0.65483475,
215,307.80888056755066,-0.7068407,
216,308.54808282852173,-0.7518133,
217,308.99175548553467,-0.6619798,
218,310.5586040019989,-0.6142417,
219,311.2981791496277,-0.78007317,
220,312.0394592285156,-0.62232137,
221,312.778258562088,-0.68708646,
222,313.52006363868713,-0.73671615,
223,314.2598412036896,-0.70276475,
224,314.7057385444641,-0.61939716,
225,316.27048110961914,-0.55794376,
226,317.01003432273865,-0.56364846,
227,317.7491919994354,-0.5343038,
228,318.490674495697,-0.6746707,
229,319.2306833267212,-0.52194965,
230,319.9726514816284,-0.55760545,
231,320.4174418449402,-0.56468624,
232,321.99465799331665,-0.5254779,
233,322.7329354286194,-0.52414155,
234,323.47325229644775,-0.5279734,
235,324.21235370635986,-0.6542435,
236,324.9525191783905,-0.66276586,
237,325.6922662258148,-0.6416598,
238,326.13619565963745,-0.69135076,
239,327.74212646484375,-0.6356023,
240,328.48363995552063,-0.61426693,
241,329.2211925983429,-0.61136806,
242,329.9613974094391,-0.6951853,
243,330.7009291648865,-0.6270176,
244,331.4409599304199,-0.6553103,
245,331.88518381118774,-0.64211226,
246,333.3535087108612,-0.6020974,
247,334.0910437107086,-0.538447,
248,334.83041071891785,-0.5322859,
249,335.57021260261536,-0.51753646,
250,336.30966091156006,-0.5738778,
251,337.04932713508606,-0.5883546,
252,337.4935767650604,-0.5458915,
253,339.0712833404541,-0.6200597,
254,339.81333446502686,-0.53403336,
255,340.55617332458496,-0.4681167,
256,341.30209708213806,-0.6538295,
257,342.04496455192566,-0.6350686,
258,342.7857267856598,-0.67425483,
259,343.2328186035156,-0.5738319,
260,344.829806804657,-0.616816,
261,345.57342886924744,-0.58262527,
262,346.3149769306183,-0.5487484,
263,347.0581727027893,-0.5685995,
264,347.8013141155243,-0.56891036,
265,348.5448668003082,-0.5624423,
266,348.9907305240631,-0.50453585,
267,350.5822789669037,-0.4755992,
268,351.32377552986145,-0.5248519,
269,352.06799840927124,-0.51269984,
270,352.8100869655609,-0.60989594,
271,353.5529930591583,-0.5692022,
272,354.2959098815918,-0.56699073,
273,354.76643681526184,-0.6625924,
274,356.44822359085083,-0.54822016,
275,357.3221459388733,-0.5021913,
276,358.0681264400482,-0.5607361,
277,358.81354570388794,-0.57111096,
278,359.5575575828552,-0.62847173,
279,360.30314779281616,-0.5952862,
280,360.7509751319885,-0.5337677,
281,362.3960268497467,-0.54024,
282,363.1386618614197,-0.510862,
283,363.88440132141113,-0.5112466,
284,366.8841927051544,-0.6270454,
285,367.6878705024719,-0.5759522,
286,368.440687417984,-0.6526128,
287,368.88590812683105,-0.573826,
288,370.4326832294464,-0.5054935,
289,371.1699779033661,-0.5205315,
290,371.91099786758423,-0.49911287,
291,372.6503264904022,-0.5615094,
292,373.39108085632324,-0.58412683,
293,374.1309595108032,-0.59797716,
294,374.5759928226471,-0.4856897,
295,376.0739254951477,-0.552741,
296,376.81559801101685,-0.50463104,
297,377.55710530281067,-0.5017474,
298,378.2985875606537,-0.74568444,
299,379.0414650440216,-0.5614786,
300,380.2241723537445,-0.5872652,
301,380.66864228248596,-0.56462103,
302,382.23213267326355,-0.5504308,
303,382.97038888931274,-0.53327966,
304,383.7101836204529,-0.49891722,
305,384.4491844177246,-0.6282627,
306,385.1898126602173,-0.5709151,
307,385.92971658706665,-0.57384026,
308,386.3742711544037,-0.4876197,
309,387.92389607429504,-0.49246973,
310,388.6659245491028,-0.51837236,
311,389.40548849105835,-0.50377524,
312,390.14682054519653,-0.5820304,
313,390.8866753578186,-0.61599207,
314,391.62653136253357,-0.55228347,
315,392.07215452194214,-0.500516,
316,393.682404756546,-0.6077954,
317,394.42126059532166,-0.523651,
318,395.16276383399963,-0.5646767,
319,395.90251541137695,-0.5658758,
320,396.6427867412567,-0.5572971,
321,397.3820810317993,-0.5911173,
322,397.8262069225311,-0.52855986,
323,399.39576053619385,-0.53033394,
324,400.1365661621094,-0.60025233,
325,400.87700033187866,-0.5301614,
326,401.61852383613586,-0.6118723,
327,402.36060786247253,-0.6011978,
328,403.10074830055237,-0.53071785,
329,403.54646944999695,-0.57765466,
330,405.1257712841034,-0.54700506,
331,405.86532163619995,-0.53160226,
332,406.6063480377197,-0.5222807,
333,407.3479998111725,-0.5444944,
334,408.08715319633484,-0.58116937,
335,408.83051228523254,-0.6105331,
336,409.2761266231537,-0.55030704,
337,410.89257979393005,-0.5344317,
338,411.63430190086365,-0.512934,
339,412.3780708312988,-0.56478363,
340,413.1225736141205,-0.5947122,
341,413.8693473339081,-0.64781797,
342,414.6135332584381,-0.5719367,
343,415.06416630744934,-0.5679898,
344,416.6237106323242,-0.6230281,
345,417.36982250213623,-0.56938636,
346,418.1128535270691,-0.55228156,
347,418.85849809646606,-0.63653016,
348,419.6023714542389,-0.74490565,
349,420.3492772579193,-0.64271545,
350,420.79594373703003,-0.62401617,
351,422.4575822353363,-0.49116912,
352,423.20014238357544,-0.5408074,
353,423.9452962875366,-0.5046174,
354,424.69104838371277,-0.5478553,
355,425.4376335144043,-0.55505276,
356,426.18301010131836,-0.56861067,
357,426.63032484054565,-0.48966637,
358,428.16595554351807,-0.526294,
359,428.91181445121765,-0.5112636,
360,429.65620279312134,-0.5597393,
361,430.40286135673523,-0.6503184,
362,431.14820766448975,-0.5948602,
363,431.895259141922,-0.6639105,
364,432.3441593647003,-0.6609409,
365,433.8600025177002,-0.65921855,
366,434.603866815567,-1.2788209,
367,435.3510117530823,-1.0810331,
368,436.0971257686615,-0.7942599,
369,436.8436555862427,-1.0286453,
370,437.58946418762207,-0.7192616,
371,438.03641748428345,-0.9069439,
372,439.5750653743744,-1.0291741,
373,440.31753873825073,-0.6544479,
374,441.0609588623047,-1.0078374,
375,441.8040671348572,-1.3355259,
376,442.5471200942993,-0.9751632,
377,443.28619384765625,-0.76355165,
378,443.7329149246216,-0.5710706,
379,445.2374839782715,-0.59891915,
380,445.9788119792938,-0.63984394,
381,446.7237858772278,-0.5963562,
382,447.47081208229065,-0.6219232,
383,448.2168297767639,-0.5785681,
384,448.9648611545563,-0.5954828,
385,449.4128882884979,-0.6081495,
386,451.0258638858795,-0.558208,
387,451.7704174518585,-0.562592,
388,452.5170223712921,-0.5492035,
389,453.2638216018677,-0.6460328,
390,454.010351896286,-0.77432275,
391,454.756067276001,-0.69803715,
392,455.2060751914978,-0.7162881,
393,456.7538266181946,-0.6526338,
394,457.50073194503784,-0.66905713,
395,458.24800157546997,-0.65431184,
396,458.9965646266937,-0.650918,
397,459.7428722381592,-0.5976052,
398,460.4901120662689,-0.67449623,
399,460.93849897384644,-0.5237339,
400,462.8904113769531,-0.51126134,
401,463.6367156505585,-0.5271782,
402,464.3832893371582,-0.5605565,
403,465.129611492157,-0.6469141,
404,465.87648487091064,-0.5663692,
405,466.62165427207947,-0.71103185,
406,467.0708785057068,-0.6807917,
407,468.6511399745941,-0.5634265,
408,469.39565324783325,-0.6244292,
409,470.14083075523376,-0.62385464,
410,470.8870282173157,-0.7074528,
411,471.63237595558167,-0.62939316,
412,472.3803400993347,-0.6666125,
413,472.8282413482666,-0.59659773,
414,474.39718294143677,-0.6497293,
415,475.14205861091614,-0.64894783,
416,475.8880515098572,-0.5826516,
417,476.63426399230957,-0.5776479,
418,477.3818211555481,-0.60504687,
419,478.12704706192017,-0.68351537,
420,478.5761344432831,-0.6521372,
421,480.17115569114685,-0.66943586,
422,480.91610383987427,-0.71068865,
423,481.66126561164856,-0.60578555,
424,482.4082646369934,-0.79701066,
425,483.1536502838135,-0.77340955,
426,483.900110244751,-0.8945861,
427,484.3481891155243,-0.54818237,
