step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.1358439922332764,-14.526453,
2,3.3013129234313965,-14.632193,
3,4.520632028579712,-14.32918,
4,5.742398500442505,-13.53489,
5,6.965481758117676,-13.16795,
6,8.190623760223389,-12.357067,
7,9.414720058441162,-11.32929,
8,10.641762971878052,-9.568436,
9,11.872220277786255,-8.854918,
10,13.101926803588867,-7.5202036,
11,14.33223819732666,-8.803818,
12,15.566044569015503,-12.600395,
13,16.800671339035034,-11.695675,
14,18.037700414657593,-16.19468,
15,19.274701356887817,-15.317066,
16,20.51386046409607,-19.714016,
17,21.753219604492188,-20.770777,
18,22.992310047149658,-20.947409,
19,24.231900691986084,-21.929768,
20,25.47334098815918,-20.653297,
21,26.715720415115356,-20.801506,
22,27.95744037628174,-19.173223,
23,29.199464082717896,-21.942238,
24,30.445276021957397,-23.494465,
25,31.687763690948486,-20.270233,
26,32.932697772979736,-20.631908,
27,34.17686653137207,-21.098782,
28,35.421119689941406,-21.13001,
29,36.6667685508728,-18.735508,
30,37.91310214996338,-18.153812,
31,39.156513929367065,-20.315456,
32,40.40265679359436,-17.363884,
33,41.648635387420654,-17.352718,
34,42.89663529396057,-19.533138,
35,44.14407539367676,-22.644417,
36,45.39010763168335,-19.551792,
37,46.63689589500427,-17.366589,
38,47.884090423583984,-15.68085,
39,49.13558769226074,-15.778092,
40,50.38659429550171,-18.597435,
41,51.63713788986206,-19.168118,
42,52.88879442214966,-12.313045,
43,54.1405189037323,-12.959894,
44,55.39265537261963,-9.399099,
45,56.644274950027466,-10.280611,
46,57.89527463912964,-8.177018,
47,59.14595985412598,-7.845815,
48,60.39781832695007,-10.475611,
49,61.64854454994202,-9.184976,
50,62.900694131851196,-6.9755926,
51,64.15307521820068,-6.9448767,
52,65.40574979782104,-8.016445,
53,66.65959453582764,-8.695903,
54,67.91233563423157,-8.307656,
55,69.16642212867737,-6.4199324,
56,70.41985058784485,-5.842595,
57,71.67330384254456,-5.6454244,
58,72.92627358436584,-7.2212706,
59,74.1800148487091,-7.8801227,
60,75.43320322036743,-5.0506682,
61,76.68836522102356,-5.556121,
62,77.9434974193573,-5.1705866,
63,79.19728922843933,-5.972434,
64,80.45193719863892,-6.089452,
65,81.70673513412476,-6.0360813,
66,82.9625403881073,-4.565846,
67,84.21744012832642,-4.9026823,
68,85.47048473358154,-5.4016514,
69,86.72526979446411,-7.1548147,
70,87.97905826568604,-5.9667616,
71,89.23437404632568,-5.2759037,
72,90.4909176826477,-4.3785753,
73,91.74675583839417,-4.9596586,
74,93.00224280357361,-7.4701295,
75,94.25627255439758,-6.6887627,
76,95.51306390762329,-5.8896294,
77,96.76866436004639,-7.6268806,
78,98.02313995361328,-7.45379,
79,99.27759742736816,-6.9790545,
80,100.53355574607849,-6.727578,
81,101.7893238067627,-5.3610334,
82,103.04603910446167,-5.173484,
83,104.30052947998047,-6.1619596,
84,105.55579924583435,-6.7630005,
85,106.81230616569519,-5.333723,
86,108.06837892532349,-5.6550455,
87,109.32445979118347,-5.297246,
88,110.58015584945679,-5.1203136,
89,111.83424305915833,-4.3132553,
90,113.09058022499084,-5.9335475,
91,114.3473596572876,-5.53481,
92,115.60286951065063,-5.9776435,
93,116.85879945755005,-6.5480347,
94,118.11505055427551,-7.4789066,
95,119.37196969985962,-3.9794495,
96,120.62749457359314,-4.414343,
97,121.88355088233948,-5.8130465,
98,123.13776659965515,-6.511032,
99,124.3936710357666,-3.6163177,
100,125.64881110191345,-4.905683,
101,126.9040699005127,-5.2877545,
102,128.1576464176178,-4.2609124,
103,129.41265559196472,-5.3505077,
104,130.66740202903748,-3.2654233,
105,131.92416334152222,-6.1360664,
106,133.17998600006104,-4.1268835,
107,134.43619394302368,-4.4022098,
108,135.69083786010742,-5.341332,
109,136.94781494140625,-4.9423027,
110,138.20532083511353,-4.2803087,
111,139.46356058120728,-5.21734,
112,140.71808695793152,-3.735392,
113,141.97343516349792,-5.873284,
114,143.22984433174133,-4.5196886,
115,144.4858100414276,-6.9222918,
116,145.7422525882721,-4.8770266,
117,146.9985089302063,-5.6584187,
118,148.25456738471985,-3.793221,
119,149.51051020622253,-3.558557,
120,150.76707196235657,-6.0293875,
121,152.02260041236877,-3.6746483,
122,153.27866339683533,-3.1958652,
123,154.53544974327087,-3.804939,
124,155.7913899421692,-5.094407,
125,157.04675221443176,-2.9650874,
126,158.30177903175354,-3.613596,
127,159.55739831924438,-2.7339895,
128,160.8118748664856,-3.9472284,
129,162.068829536438,-2.8224905,
130,163.32475876808167,-4.3021345,
131,164.58280897140503,-3.157957,
132,165.84050345420837,-2.6078146,
133,167.09774518013,-2.7197492,
134,168.35420632362366,-5.603863,
135,169.61168932914734,-3.4472377,
