layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.45476973
input_transformers.layers.0.ffn.gate,1,0.54523027
input_transformers.layers.1.ffn.gate,0,0.65762246
input_transformers.layers.1.ffn.gate,1,0.34237754
input_transformers.layers.2.ffn.gate,0,0.44935507
input_transformers.layers.2.ffn.gate,1,0.55064493
input_transformers.layers.3.ffn.gate,0,0.51398027
input_transformers.layers.3.ffn.gate,1,0.48601973
input_transformers.layers.4.ffn.gate,0,0.6495195
input_transformers.layers.4.ffn.gate,1,0.35048044
input_transformers.layers.5.ffn.gate,0,0.27054784
input_transformers.layers.5.ffn.gate,1,0.72945213
input_transformers.layers.6.ffn.gate,0,0.34896588
input_transformers.layers.6.ffn.gate,1,0.6510341
input_transformers.layers.7.ffn.gate,0,0.5888889
input_transformers.layers.7.ffn.gate,1,0.41111115
input_transformers.layers.8.ffn.gate,0,0.5366853
input_transformers.layers.8.ffn.gate,1,0.4633147
input_transformers.layers.9.ffn.gate,0,0.3262685
input_transformers.layers.9.ffn.gate,1,0.67373157
input_transformers.layers.10.ffn.gate,0,0.33858508
input_transformers.layers.10.ffn.gate,1,0.661415
input_transformers.layers.11.ffn.gate,0,0.28363904
input_transformers.layers.11.ffn.gate,1,0.716361
