train_step,log_step_index,expert_0,expert_1
0,0,0.49414062,0.5058594
100,1,0.46679688,0.5332031
200,2,0.390625,0.609375
300,3,0.4326172,0.5673828
400,4,0.40234375,0.59765625
500,5,0.43554688,0.5644531
600,6,0.5205078,0.4794922
700,7,0.3857422,0.6142578
800,8,0.4560547,0.5439453
900,9,0.45507812,0.5449219
1000,10,0.4638672,0.5361328
1100,11,0.44628906,0.55371094
1200,12,0.390625,0.609375
1300,13,0.5410156,0.45898438
1400,14,0.4560547,0.5439453
1500,15,0.5107422,0.4892578
1600,16,0.47460938,0.5253906
1700,17,0.47460938,0.5253906
1800,18,0.44335938,0.5566406
