step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.6520562171936035,-15.256124,
2,2.331359624862671,-15.27601,
3,3.001035213470459,-14.824918,
4,3.669281244277954,-13.72692,
5,4.330636739730835,-12.889925,
6,4.991844892501831,-11.7389555,
7,5.65891170501709,-10.384549,
8,6.322394132614136,-8.461582,
9,6.989361047744751,-9.827127,
10,7.655719995498657,-10.062362,
11,8.322590589523315,-12.515394,
12,8.988427639007568,-17.569649,
13,9.650987386703491,-15.1656685,
14,10.325776100158691,-20.02417,
15,10.99722409248352,-17.69118,
16,11.670148849487305,-21.576252,
17,12.33915901184082,-21.321957,
18,12.997021198272705,-20.287235,
19,13.65660548210144,-20.447079,
20,14.318181276321411,-18.596783,
21,14.979715585708618,-18.708946,
22,15.639791488647461,-17.699429,
23,16.301371812820435,-21.01183,
24,16.961389780044556,-22.053814,
25,17.621423721313477,-18.290543,
26,18.28044104576111,-18.170639,
27,18.940813779830933,-17.43413,
28,19.599721908569336,-16.420813,
29,20.255948066711426,-13.178524,
30,20.917154550552368,-11.663282,
31,21.57767629623413,-13.161734,
32,22.242363452911377,-8.302446,
33,22.904327154159546,-8.989647,
34,23.562483072280884,-13.943696,
35,24.21999454498291,-16.19461,
36,24.882003784179688,-8.462166,
37,25.54147243499756,-6.2960033,
38,26.201603651046753,-5.9742966,
39,26.86220669746399,-7.7346487,
40,27.5210702419281,-11.177458,
41,28.180675745010376,-8.778917,
42,28.84525465965271,-5.634802,
43,29.501941442489624,-6.40219,
44,30.16089677810669,-6.5003633,
45,30.819653749465942,-8.178581,
46,31.480477809906006,-7.4749846,
47,32.13782501220703,-5.6496725,
48,32.79937791824341,-5.6816597,
49,33.45907735824585,-5.493517,
50,34.12003135681152,-6.2573576,
51,34.78121900558472,-5.348021,
52,35.44222116470337,-6.0162487,
53,36.103161096572876,-4.6057024,
54,36.76464772224426,-5.973132,
55,37.421037435531616,-6.0312223,
56,38.07504987716675,-4.92886,
57,38.73234796524048,-5.255559,
58,39.388922691345215,-7.659502,
59,40.04652976989746,-6.7699223,
60,40.70368194580078,-4.8183737,
61,41.35845470428467,-6.4190755,
62,42.01699161529541,-6.750821,
63,42.67643475532532,-6.231889,
64,43.33296227455139,-5.5116425,
65,43.99086570739746,-6.8393393,
66,44.64952516555786,-5.3263464,
67,45.307586431503296,-5.238782,
68,45.965386152267456,-5.503371,
69,46.620107889175415,-6.3528967,
70,47.278528451919556,-5.5800676,
71,47.93362736701965,-5.780371,
72,48.590468645095825,-4.57874,
73,49.2497661113739,-4.5780077,
74,49.90788722038269,-5.471914,
75,50.565784215927124,-5.724967,
76,51.22453331947327,-5.0268326,
77,51.88344717025757,-7.3624244,
78,52.53989505767822,-6.1142287,
79,53.201162815093994,-5.1372194,
80,53.85920596122742,-4.9867935,
81,54.51818084716797,-4.044983,
82,55.1774218082428,-4.4346056,
83,55.8361599445343,-4.190416,
84,56.49415731430054,-5.1596155,
85,57.15293908119202,-4.5218463,
86,57.8106427192688,-5.4794874,
87,58.46875190734863,-3.6442175,
88,59.12421202659607,-3.1526937,
89,59.781795501708984,-3.2728813,
90,60.43951630592346,-4.811016,
91,61.09654140472412,-3.6768327,
92,61.75219249725342,-4.65094,
93,62.40864706039429,-5.071602,
94,63.06665921211243,-6.3601027,
95,63.725436210632324,-2.6891842,
96,64.38340091705322,-3.226471,
97,65.04327654838562,-3.9956021,
98,65.70043301582336,-5.9056444,
99,66.35767674446106,-2.343511,
100,67.52913880348206,-3.7270918,
101,68.18920350074768,-3.8598332,
102,68.8450436592102,-3.036215,
103,69.50109124183655,-4.2864056,
104,70.15988731384277,-2.163058,
105,70.81737875938416,-5.2765484,
106,71.47667574882507,-2.9113936,
107,72.13430333137512,-3.0294752,
108,72.79032754898071,-4.291241,
109,73.44855284690857,-3.8850732,
110,74.10673427581787,-3.473087,
111,74.76288294792175,-4.270646,
112,75.42363595962524,-2.4848866,
113,76.08196187019348,-3.4784024,
114,76.74055457115173,-3.5586967,
115,77.40138459205627,-7.771493,
116,78.0619146823883,-5.134676,
117,78.72467231750488,-4.5475473,
118,79.38612151145935,-2.6528869,
119,80.04137444496155,-3.1959066,
120,80.69882154464722,-3.7981255,
121,81.35670304298401,-3.5114155,
122,82.01296925544739,-3.5839958,
123,82.67004370689392,-3.275944,
124,83.32592916488647,-4.252201,
125,83.98095393180847,-2.378828,
126,84.64155411720276,-2.436047,
127,85.29924178123474,-1.9840782,
128,85.95457291603088,-3.036932,
129,86.61110186576843,-2.6044183,
130,87.26791596412659,-4.3486676,
131,87.92494606971741,-2.8792734,
132,88.58238768577576,-1.8230109,
133,89.23740673065186,-1.8420256,
134,89.8939733505249,-4.0986853,
135,90.55068182945251,-3.1329737,
136,91.20712089538574,-3.3243203,
137,91.86472964286804,-2.4660954,
138,92.52159929275513,-3.0353007,
139,93.17653965950012,-2.5959458,
140,93.8308277130127,-3.4240417,
141,94.48916673660278,-3.0734048,
142,95.14512228965759,-3.0995135,
143,95.8035888671875,-3.0625525,
144,96.45993781089783,-1.2963365,
145,97.1166000366211,-2.2476673,
146,97.77100920677185,-2.5275483,
147,98.42797303199768,-4.1560316,
148,99.08486294746399,-3.8142405,
149,99.74243903160095,-1.4066677,
150,100.39978981018066,-2.7123456,
151,101.05676579475403,-3.0985885,
152,101.7126452922821,-1.7136364,
153,102.36794853210449,-4.629317,
154,103.02454924583435,-2.0918138,
155,103.6801974773407,-2.8025556,
156,104.33795762062073,-2.9332595,
157,104.99496078491211,-2.5735688,
158,105.64884209632874,-3.941649,
159,106.30532193183899,-1.6634517,
160,106.96246337890625,-2.0478477,
161,107.62035751342773,-1.6567097,
162,108.27901124954224,-2.7764797,
163,108.9358913898468,-1.0602937,
164,109.59412384033203,-3.13662,
165,110.25117444992065,-2.0259008,
166,110.90946745872498,-2.8461103,
167,111.56773829460144,-2.040854,
168,112.22490739822388,-1.53916,
169,112.88148069381714,-2.3368363,
170,113.5388240814209,-4.0475674,
171,114.19622373580933,-1.6151776,
172,114.85287594795227,-2.2088368,
173,115.51523852348328,-6.800039,
174,116.17335057258606,-2.4114676,
175,116.82894277572632,-1.7065506,
176,117.48420524597168,-2.4976687,
177,118.14186930656433,-3.7663789,
178,118.79893326759338,-2.2881498,
179,119.4558973312378,-1.3666798,
180,120.11339211463928,-2.8212883,
181,120.77100443840027,-3.252232,
182,121.42803144454956,-2.2417417,
183,122.08229994773865,-2.5615737,
184,122.73610258102417,-4.4981527,
185,123.39375329017639,-1.6579126,
186,124.05136179924011,-1.5530224,
187,124.70568776130676,-1.7832887,
188,125.36145687103271,-3.59178,
189,126.0169427394867,-0.9758472,
190,126.67421102523804,-2.9157312,
191,127.33411860466003,-1.9935951,
192,127.99166464805603,-2.051022,
193,128.64883661270142,-2.656311,
194,129.30596280097961,-2.1910362,
195,129.96209144592285,-2.677206,
196,130.61655020713806,-1.7219709,
197,131.27703213691711,-1.7148015,
198,131.9334123134613,-4.477927,
199,132.5911877155304,-3.0459015,
200,133.71993374824524,-1.752579,
201,134.37608695030212,-3.458333,
202,135.03443694114685,-2.218018,
203,135.6883509159088,-2.2658303,
204,136.34478521347046,-3.2384884,
205,137.0013930797577,-2.7870803,
206,137.6584610939026,-2.6601577,
207,138.31436276435852,-2.0025816,
208,138.96878290176392,-2.6262293,
209,139.62455892562866,-4.362502,
210,140.2807159423828,-3.0668292,
211,140.45641446113586,-2.2614248,
212,142.1931607723236,-3.3942633,
213,142.84902811050415,-2.2299905,
214,143.50671005249023,-2.016879,
215,144.16424822807312,-1.3844409,
216,144.8225336074829,-4.2524014,
217,145.4784414768219,-2.7174568,
218,146.13752961158752,-2.6009219,
219,146.79422998428345,-2.107316,
220,147.45017862319946,-3.050182,
221,148.10729789733887,-2.936792,
222,148.76352739334106,-2.1844673,
223,149.41971802711487,-3.2746723,
224,150.07623720169067,-2.5258856,
225,150.733704328537,-4.895593,
226,151.39056134223938,-2.3843138,
227,152.04690980911255,-3.2230854,
228,152.70287370681763,-2.130997,
229,153.3615550994873,-1.2568465,
230,154.01876854896545,-3.2530618,
231,154.67673707008362,-2.8741443,
232,155.33168697357178,-2.0979834,
233,155.98634243011475,-2.0900626,
234,156.64215850830078,-2.4191344,
235,157.29753255844116,-2.2989473,
236,157.9556484222412,-1.1910055,
237,158.61230325698853,-4.310034,
238,159.27072072029114,-1.6393853,
239,159.92693161964417,-0.9252854,
240,160.5841178894043,-2.5402756,
241,161.24005508422852,-3.4787292,
242,161.89597177505493,-2.354883,
243,162.55197095870972,-2.558004,
244,163.20911812782288,-2.0187163,
245,163.86560678482056,-2.9037695,
246,164.52113151550293,-3.082413,
247,165.17476797103882,-3.3622894,
248,165.82945609092712,-1.1489683,
249,166.48627519607544,-2.3295836,
250,167.14222764968872,-1.3691592,
251,167.80025935173035,-2.6869082,
252,168.4560112953186,-2.9213238,
253,169.11176919937134,-1.3744533,
254,169.76741099357605,-2.5891948,
255,170.4225127696991,-1.6160634,
256,171.07609391212463,-3.0269186,
257,171.73283886909485,-2.430009,
258,172.38845801353455,-1.4605901,
259,173.0443890094757,-2.8082564,
260,173.7012107372284,-2.439646,
261,174.356600522995,-3.5362096,
262,175.01085543632507,-1.9059513,
263,175.66751170158386,-2.191627,
264,176.325124502182,-2.3459105,
265,176.9825737476349,-1.4787261,
266,177.6398675441742,-4.7583604,
267,178.2940902709961,-1.8735168,
268,178.95032453536987,-2.506777,
269,179.60587406158447,-2.4754162,
270,180.26192688941956,-1.3743296,
271,180.91796469688416,-1.7734803,
272,181.5734202861786,-1.6017883,
273,182.23060178756714,-1.5055326,
274,182.8854217529297,-2.1960692,
275,183.54105043411255,-1.8241109,
276,184.19711327552795,-5.0793357,
277,184.8527648448944,-1.0239208,
278,185.50898432731628,-1.4821646,
279,186.16728043556213,-5.210951,
280,186.82521057128906,-2.0967937,
281,187.48265266418457,-1.6554602,
282,188.14130783081055,-2.9229367,
283,188.7959907054901,-2.3748417,
