step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,5.389471054077148,-14.596127,
2,6.198925495147705,-14.49795,
3,7.0045201778411865,-14.11846,
4,7.810084819793701,-12.898597,
5,8.61779236793518,-12.622278,
6,9.425053358078003,-11.387657,
7,10.230014562606812,-10.076504,
8,11.035976886749268,-8.435607,
9,11.840837955474854,-9.932454,
10,12.650902509689331,-10.180198,
11,13.459890604019165,-12.837664,
12,14.265690088272095,-18.265188,
13,15.071716547012329,-16.166634,
14,16.04225754737854,-21.485985,
15,16.837543725967407,-18.966991,
16,17.628966569900513,-22.878166,
17,18.413694381713867,-22.360977,
18,19.194934368133545,-20.930902,
19,19.97615647315979,-20.777546,
20,20.755773067474365,-19.103868,
21,21.53297519683838,-19.245462,
22,22.30629253387451,-18.00025,
23,23.07839584350586,-21.226578,
24,23.852601289749146,-22.047066,
25,24.625120162963867,-17.578114,
26,25.402403116226196,-16.583864,
27,26.17914891242981,-15.873949,
28,26.963390588760376,-15.527399,
29,27.75246810913086,-12.753905,
30,28.550419092178345,-11.515299,
31,29.349194765090942,-11.926218,
32,30.14916229248047,-8.799047,
33,30.95179510116577,-9.927341,
34,31.75166964530945,-14.879751,
35,32.5523247718811,-17.325258,
36,33.354767084121704,-7.574304,
37,34.159154415130615,-6.040206,
38,34.96102547645569,-5.6125765,
39,35.76210808753967,-7.2211027,
40,36.5632963180542,-11.68195,
41,37.36539316177368,-9.546465,
42,38.17062759399414,-5.8542204,
43,38.972169399261475,-6.815089,
44,39.7766547203064,-6.072176,
45,40.578343629837036,-7.910479,
46,41.380436420440674,-6.724744,
47,42.18322467803955,-5.5399294,
48,42.986846685409546,-5.5378585,
49,43.788684606552124,-5.7653365,
50,44.59134268760681,-5.899249,
51,45.395660638809204,-6.321316,
52,46.196763038635254,-6.1210747,
53,46.99989628791809,-6.0509396,
54,47.803420543670654,-7.0028734,
55,48.60512065887451,-6.155758,
56,49.408785581588745,-6.552161,
57,50.210827350616455,-6.5443306,
58,51.01223015785217,-7.2335896,
59,51.8143253326416,-6.4757414,
60,52.616225719451904,-5.461602,
61,53.42135429382324,-6.8854,
62,54.22445344924927,-6.2758293,
63,55.02579593658447,-6.5873437,
64,55.82744598388672,-5.962223,
65,56.631062746047974,-6.3673015,
66,57.433042764663696,-4.6058006,
67,58.2350857257843,-5.8490405,
68,59.039530754089355,-6.3960133,
69,59.84108233451843,-7.147355,
70,60.64384603500366,-5.5511594,
71,61.44673442840576,-5.728291,
72,62.25024485588074,-4.4682255,
73,63.05390930175781,-4.7663503,
74,63.85886001586914,-5.602111,
75,64.66303396224976,-5.26677,
76,65.46667432785034,-5.5460725,
77,66.27215886116028,-7.2373295,
78,67.0762140750885,-5.140175,
79,67.88271379470825,-4.27015,
80,68.68599200248718,-5.6310263,
81,69.49337863922119,-4.3856916,
82,70.29811239242554,-4.0652742,
83,71.10153698921204,-3.8026729,
84,71.90531611442566,-5.0122843,
85,72.71045327186584,-3.9288259,
86,73.51473736763,-5.4864984,
87,74.31689357757568,-3.4495716,
88,75.12021207809448,-2.9073634,
89,75.92554664611816,-3.0954719,
90,76.73085069656372,-4.914857,
91,77.53697943687439,-3.8606071,
92,78.3422417640686,-4.0782824,
93,79.14626812934875,-4.3681107,
94,79.9493317604065,-6.3143373,
95,80.75202488899231,-2.4111848,
96,81.55629420280457,-3.2616751,
97,82.35775327682495,-3.7404249,
98,83.16250824928284,-4.732434,
99,84.07792496681213,-2.3486607,
100,85.50995779037476,-3.553781,
101,86.31668591499329,-4.612438,
102,87.12535429000854,-3.4312806,
103,87.93557953834534,-3.9065654,
104,88.74343371391296,-2.0926285,
105,89.55038166046143,-5.25655,
106,90.35603284835815,-3.273037,
107,91.16265797615051,-4.1149707,
108,91.97074484825134,-3.9941304,
109,92.77771353721619,-3.1986442,
110,93.58499646186829,-3.6128154,
111,94.39193177223206,-4.935857,
112,95.19893956184387,-3.0185757,
113,96.00562787055969,-4.6394744,
114,96.8129415512085,-3.3252242,
115,97.6194715499878,-5.8013287,
116,98.42826509475708,-3.7180414,
117,99.23524785041809,-4.7792864,
118,100.04084897041321,-3.0440695,
119,100.84685397148132,-3.4621031,
120,101.65485715866089,-5.09216,
121,102.4612991809845,-2.7193067,
122,103.2681736946106,-2.5169315,
123,104.07326865196228,-2.797357,
124,104.877756357193,-5.273,
125,105.68660831451416,-2.4973354,
126,106.49343705177307,-2.3784597,
127,107.3007378578186,-1.9332851,
128,108.10587358474731,-3.1390316,
129,108.91261625289917,-2.625454,
130,109.71664929389954,-3.88664,
131,110.52264833450317,-2.9494953,
132,111.32903289794922,-1.9855878,
133,112.1375789642334,-1.9695885,
134,112.94432044029236,-4.338423,
135,113.75136041641235,-2.8924794,
136,114.55652928352356,-3.3112922,
137,115.3660683631897,-2.2561722,
138,116.17221522331238,-2.7677815,
139,116.97980618476868,-2.799594,
140,117.78675985336304,-4.191234,
141,118.59155559539795,-3.4229128,
142,119.39921569824219,-2.6743782,
143,120.204425573349,-3.0501814,
144,121.0121009349823,-1.5761242,
145,121.81835436820984,-2.7018752,
146,122.62555956840515,-2.8201914,
147,123.43218731880188,-3.6786878,
148,124.23978281021118,-3.4635105,
149,125.04656553268433,-1.5088553,
150,125.85376930236816,-2.6464849,
151,126.66118359565735,-4.1545415,
152,127.46564531326294,-1.719223,
153,128.2702660560608,-4.4028406,
154,129.07906365394592,-1.8612968,
155,129.88546991348267,-2.7702112,
156,130.6933455467224,-2.732527,
157,131.49766039848328,-2.797816,
158,132.301739692688,-4.5769153,
159,133.10615515708923,-1.8123507,
160,133.91414594650269,-1.9736316,
161,134.72118282318115,-1.528156,
162,135.53111672401428,-2.4744253,
163,136.33475399017334,-1.0044483,
164,137.14171504974365,-2.8535857,
165,137.9468114376068,-2.4315803,
166,138.75239825248718,-3.385335,
167,139.55586671829224,-2.6304224,
168,140.36050462722778,-1.5781946,
169,141.1658501625061,-2.356987,
170,141.97274661064148,-3.1445484,
171,142.77812242507935,-1.7128756,
172,143.5828058719635,-2.3812685,
173,144.38706612586975,-7.996937,
174,145.19095993041992,-2.6400092,
175,145.99503302574158,-1.7888372,
176,146.8009352684021,-2.4812253,
177,147.60976147651672,-2.984496,
178,148.41660809516907,-2.028317,
179,149.2233579158783,-1.671365,
180,150.03020524978638,-2.7656677,
181,150.83676719665527,-4.019706,
182,151.6428747177124,-2.4307165,
183,152.4511957168579,-2.2575455,
184,153.25791358947754,-3.2956288,
185,154.0665237903595,-1.5777926,
186,154.87190437316895,-1.8759897,
187,155.6776475906372,-2.2503877,
188,156.48237228393555,-3.834538,
189,157.28534770011902,-0.89323723,
190,158.09184503555298,-2.619027,
191,158.89822101593018,-2.0184581,
192,159.70383429527283,-2.5549357,
193,160.5093216896057,-3.019631,
194,161.31579422950745,-2.3132315,
195,162.12253785133362,-2.493054,
196,162.92850399017334,-1.6155213,
197,163.73477935791016,-1.9182452,
198,164.54132771492004,-5.4854302,
199,165.3456163406372,-3.1738183,
200,166.7291135787964,-1.8328772,
